包含以下主要诊断：
A00.000x001 古典生物型霍乱
K40.906 复发性腹股沟疝
K40.907 阴囊疝
K41.000 双侧股疝，伴有梗阻，不伴有坏疽
K41.100x001 双侧股疝伴坏疽
K41.200x001 双侧股疝
K41.300x002 单侧绞窄性股疝
K41.300x003 单侧股疝伴梗阻
K41.301 绞窄性股疝
K41.302 嵌顿性股疝
K41.400x001 单侧股疝伴坏疽
K41.900x001 股疝
K42.000x001 脐疝伴梗阻
K42.001 嵌顿性脐疝
K42.100x001 坏疽性脐疝
K42.900 脐疝，不伴有梗阻或坏疽
K42.901 脐旁疝
K42.902 复发性脐疝
K43.000 切口疝，伴有梗阻，不伴有坏疽
K43.001 梗阻性切口疝
K43.002 嵌顿性切口疝伴梗阻
K43.003 不可复性切口疝
K43.004 狭窄性切口疝
K43.100 切口疝，伴有坏疽
K43.200 切口疝，不伴有梗阻和坏疽
K43.301 梗阻性造口旁疝
K43.302 嵌顿性造口旁疝，不伴坏疽
K43.303 不可复性造口旁疝
K43.304 狭窄性造口旁疝
K43.400 坏疽性造口旁疝
K43.500 造口旁疝，不伴梗阻和坏疽
K43.601 上腹疝伴梗阻
K43.602 下腹疝伴梗阻
K43.603 腹中线疝伴梗阻
K43.604 半月线疝伴梗阻
K43.605 剑突下疝伴梗阻
K43.700 其他未特指的坏疽性腹疝
K44.000x001 膈疝伴梗阻
K44.000x002 绞窄性膈疝伴梗阻
K44.100x001 坏疽性膈疝
K44.900x001 膈疝
K44.901 食管裂孔疝
K45.000 腹疝，伴有梗阻，不伴有坏疽，其他特指~~的
K45.002 嵌顿性闭孔疝
K45.003 绞窄性腹疝伴肠梗阻
K45.100 腹疝，伴有坏疽，其他特指的
K45.800 腹疝，不伴有梗阻或坏疽,其他特指的
K45.801 坐骨大孔疝
K45.802 闭孔疝
K45.804 绞窄性闭孔疝
K45.805 库珀疝
K45.806 人工肛门处疝
K45.807 腰疝
K45.808 特赖茨窝上疝
K46.000 腹疝，伴有梗阻，不伴有坏疽
K46.000x002 腹内疝伴肠梗阻
K46.001 绞窄性小肠疝
K46.002 嵌顿性小肠疝
K46.100 腹疝，伴有坏疽
K46.100x001 腹内疝伴坏疽
K46.101 坏疽性小肠疝
K46.900 腹疝，不伴有梗阻或坏疽
K46.900x002 腹内疝
K46.900x003 输入袢内疝
K46.900x004 网膜裂孔疝
K46.900x012 大肠疝
K46.901 肠系膜裂孔疝
K46.902 肠系膜内疝
K46.903 阑尾疝
K46.905 小肠疝
K50.000 小肠克罗恩病
K50.000x001 末端性回肠炎
K50.000x005 十二指肠克罗恩病
K50.001 空肠克罗恩病
K50.002 回肠克罗恩病
K50.101 肉芽肿性结肠炎
K50.102 结肠克罗恩病
K50.103 直肠克罗恩病
K50.104 肉芽肿性盲肠炎
K50.800 克罗恩病，其他的
K50.800x001 大肠和小肠克罗恩病
K50.801 食管克罗恩病
K50.900 克罗恩病
K51.000 溃疡性(慢性)全结肠炎
K51.001 溃疡性全结肠炎，轻度
K51.002 溃疡性全结肠炎，中度
K51.003 溃疡性全结肠炎，重度
K51.200x001 溃疡性直肠炎
K51.201 溃疡性直肠炎，轻度
K51.202 溃疡性直肠炎，中度
K51.203 溃疡性直肠炎，重度
K51.300 慢性溃疡性直肠乙状结肠炎
K51.301 溃疡性直肠乙状结肠炎，轻度
K51.302 溃疡性直肠乙状结肠炎，中度
K51.303 溃疡性直肠乙状结肠炎，重度
K51.400 炎性息肉
K51.401 结肠炎性息肉
K51.500 左侧结肠炎
K51.800x001 溃疡性结肠炎伴出血
K51.900 溃疡性结肠炎
K51.901 溃疡性结肠炎，轻度
K51.902 溃疡性结肠炎，中度
K51.903 溃疡性结肠炎，重度
K52.000 放射性胃肠炎和结肠炎
K52.000x001 放射性肠炎
K52.000x001 放射性肠炎
K52.001 放射性结肠炎
K52.101 中毒性胃肠炎
K52.102 中毒性肠炎
K52.103 中毒性腹泻
K52.104 药物性胃肠炎和结肠炎
K52.200x004 胃肠道过敏症
K52.201 过敏性腹泻
K52.202 过敏性结肠炎
K52.203 过敏性肠炎
K52.204 饮食性腹泻
K52.300 未定型结肠炎
K52.800x003 嗜酸细胞性小肠炎
K52.801 胶原性结肠炎
K52.802 淋巴细胞性结肠炎
K52.803 嗜酸性细胞性胃炎
K52.804 嗜酸细胞性胃肠炎
K52.901 非感染性胃肠炎
K52.902 非感染性腹泻
K52.903 非感染性回盲部炎症
K52.904 非感染性急性肠炎
K52.907 慢性肠炎
K52.908 慢性腹泻
K52.909 慢性胃肠炎
K52.910 慢性结肠炎
K52.911 盲肠炎
K52.912 非感染性乙状结肠炎
K52.914 肠炎性包块
K52.917 非感染性小儿肠炎
K52.918 非感染性婴儿肠炎
K52.919 非感染性幼儿腹泻
K55.000 肠急性血管疾患
K55.000x005 缺血性结肠炎
K55.000x010 肠系膜上静脉血栓形成
K55.000x011 肠缺血梗死
K55.001 急性肠血管梗死
K55.002 急性缺血性肠坏死
K55.003 出血性肠梗死
K55.004 肠坏死
K55.005 肠系膜坏疽
K55.006 肠系膜动脉栓塞
K55.007 肠系膜静脉血栓形成伴肠坏死
K55.008 肠系膜动脉血栓形成
K55.009 肠系膜动脉栓塞伴肠坏死
K55.010 肠系膜静脉血栓形成
K55.011 肠系膜静脉栓塞
K55.012 肠系膜梗死
K55.013 大网膜坏死
K55.100 肠慢性血管疾患
K55.100x001 肠道慢性缺血性综合征
K55.100x005 慢性肠道血管功能不全
K55.100x006 慢性缺血性结肠炎
K55.100x008 慢性缺血性结肠小肠炎
K55.101 肠系膜动脉狭窄
K55.102 肠系膜上动脉狭窄
K55.103 肠系膜动脉硬化
K55.104 肠系膜动脉供血不足
K55.105 肠系膜上动脉压迫综合征
K55.106 慢性缺血性小肠炎
K55.200 结肠血管发育不良
K55.200x013 肠血管增生
K55.201 结肠血管扩张症
K55.201 结肠血管扩张症
K55.201 结肠血管扩张症
K55.202 肠血管发育不良
K55.300 小肠血管发育不良
K55.300x001 小肠毛细血管扩张
K55.800x003 十二指肠动脉破裂
K55.800x004 十二指肠动脉压迫综合征
K55.801 肠系膜动脉炎
K55.900 肠血管疾患
K55.900x004 缺血性肠病伴出血
K55.901 缺血性小肠炎
K55.902 缺血性肠病
K56.000 麻痹性肠梗阻
K56.001 神经源性肠梗阻
K56.100 肠套叠
K56.101 结肠套叠
K56.102 直肠套叠
K56.200 肠扭转
K56.200x003 肠系膜扭转
K56.200x011 空肠扭转
K56.201 绞窄性肠梗阻
K56.202 肠绞窄
K56.203 结肠扭转
K56.300 胆石性肠梗阻
K56.400x001 粪便嵌塞
K56.400x003 肠嵌塞
K56.401 肠结石
K56.500x003 粘连性肠梗阻
K56.501 腹膜粘连伴肠梗阻
K56.503 肠粘连性狭窄
K56.600x001 肠绞窄坏死
K56.600x005 痉挛性肠梗阻
K56.600x008 结肠梗阻
K56.601 肠狭窄
K56.602 乙状结肠狭窄
K56.603 肠梗阻伴坏死
K56.604 机械性肠梗阻
K56.700 肠梗阻
K56.700x003 完全性肠梗阻
K56.701 不完全性肠梗阻
K57.000 小肠憩室病伴有穿孔和脓肿
K57.001 小肠憩室伴脓肿
K57.002 小肠憩室病伴腹膜炎
K57.003 十二指肠憩室伴穿孔
K57.100x005 小肠憩室
K57.101 十二指肠憩室梗阻性黄疸综合征
K57.102 回盲部憩室
K57.103 空肠憩室
K57.104 十二指肠憩室
K57.105 回肠憩室
K57.106 小肠憩室炎
K57.107 空肠憩室炎
K57.108 十二指肠憩室炎
K57.200x001 大肠憩室伴穿孔
K57.201 大肠憩室病伴有脓肿
K57.202 结肠憩室伴腹膜炎
K57.300x006 大肠憩室
K57.301 盲肠憩室
K57.302 直肠憩室
K57.303 结肠憩室
K57.304 结肠憩室炎
K57.305 盲肠憩室炎
K57.400 小肠和大肠憩室病伴有穿孔和脓肿
K57.401 小肠和大肠憩室病伴腹膜炎
K57.500 小肠和大肠憩室病不伴有穿孔或脓肿
K57.800 肠憩室病，伴有穿孔和脓肿
K57.800x001 肠憩室病伴有穿孔和脓肿
K57.801 肠憩室病伴腹膜炎
K57.900 肠憩室病，不伴有穿孔或脓肿
K57.900x001 肠憩室伴憩室炎
K58.100 腹泻型肠易激综合征[IBS-D]
K58.800 其他和未特指的肠易激综合征
K58.800 其他和未特指的肠易激综合征
K58.800 其他和未特指的肠易激综合征
K58.801 肠易激综合征
K59.000 便秘
K59.002 粪便潴留
K59.003 慢传输型便秘
K59.100 功能性腹泻
K59.101 肠道菌群失调
K59.200 神经源性肠
K59.200x002 神经源性直肠
K59.200x003 神经源性肠道功能障碍
K59.301 结肠扩张
K59.302 后天性巨结肠
K59.303 中毒性巨结肠
K59.400 肛门痉挛
K59.400x002 痉挛性肛部痛
K59.401 盆底肌痉挛综合征
K59.800x002 肠扩张
K59.800x005 结肠松弛
K59.801 脾曲综合征
K59.900x001 肠功能紊乱
K59.900x002 结肠功能紊乱
K60.000 急性肛裂
K60.100 慢性肛裂
K60.200 肛裂
K60.300 肛瘘
K60.301 高位肛瘘
K60.302 低位肛瘘
K60.303 复杂性肛瘘
K60.400 直肠瘘
K60.400x003 肛门会阴瘘
K60.401 直肠会阴瘘
K60.402 直肠皮肤瘘
K60.403 直肠阴囊皮肤瘘
K60.500 肛门直肠瘘
K61.000 肛门脓肿
K61.001 肛周脓肿
K61.002 肛门蜂窝织炎
K61.100 直肠脓肿
K61.101 直肠周围脓肿
K61.200 肛门直肠脓肿
K61.300 坐骨直肠窝脓肿
K61.400 括约肌内脓肿
K62.000 肛门息肉
K62.001 肛管息肉
K62.100 直肠息肉
K62.100x002 直肠息肉伴出血
K62.200 脱肛
K62.200x001 肛门脱垂
K62.201 肛管脱垂
K62.202 肛门括约肌脱垂
K62.300 直肠脱垂
K62.300x003 直肠黏膜松弛
K62.301 直肠黏膜脱垂
K62.400x002 直肠狭窄
K62.400x003 肛门括约肌失缓症
K62.400x004 肛门闭锁
K62.401 肛门狭窄
K62.402 直肠梗阻
K62.500x001 直肠出血
K62.501 肛门出血
K62.600x002 直肠溃疡
K62.601 肛管溃疡
K62.602 肛门周围溃疡
K62.700 放射性直肠炎
K62.800x001 出血性直肠炎
K62.800x005 肛周感染
K62.800x009 慢性直肠炎
K62.800x010 直肠穿孔
K62.800x012 直肠前突
K62.800x017 耻骨直肠肌肥厚症
K62.800x021 直肠周围炎
K62.801 肛窦炎
K62.802 肛管炎
K62.803 巨直肠
K62.804 直肠吻合口瘢痕
K62.805 直肠不典型增生
K62.806 直肠纤维钙化
K62.807 直肠吻合口炎
K62.808 直肠肉芽肿
K62.809 直肠瘢痕
K62.810 直肠囊肿
K62.811 直肠炎
K62.812 直肠痛
K62.813 肛门括约肌松弛
K62.814 肛管炎性肿物
K62.815 肛周炎
K62.816 肛乳头肥大
K62.817 肛门白斑
K62.818 肛管囊肿
K62.819 肛门囊肿
K62.820 肛门痛
K62.821 肛门炎
K62.822 慢性肛管直肠炎
K62.901 肛旁肿物
K62.902 肛管肿物
K62.903 直肠肿物
K63.000 肠脓肿
K63.001 小肠脓肿
K63.100x001 非创伤性肠穿孔
K63.101 空肠穿孔
K63.102 回肠穿孔
K63.103 结肠穿孔
K63.104 回盲部溃疡伴穿孔
K63.105 乙状结肠穿孔
K63.107 肠破裂
K63.108 小肠穿孔
K63.200 肠瘘
K63.200x003 盲管瘘
K63.200x008 盆腔腹壁瘘
K63.201 腹壁肠瘘
K63.202 腹壁盲肠瘘
K63.203 腹壁窦道
K63.204 结肠瘘
K63.205 手术后结肠瘘
K63.206 手术后盲肠瘘
K63.207 手术后空肠瘘
K63.208 手术后回肠瘘
K63.209 手术后肠腹壁瘘
K63.210 手术后肠吻合口瘘
K63.211 手术后小肠结肠瘘
K63.212 手术后结肠直肠瘘
K63.213 手术后肠瘘
K63.214 腹壁瘘
K63.215 手术后大肠瘘
K63.216 手术后小肠瘘
K63.301 回肠溃疡
K63.302 小肠溃疡
K63.303 小肠黏膜糜烂
K63.304 原发性小肠溃疡
K63.305 结肠溃疡
K63.306 盲肠溃疡
K63.307 直肠乙状结肠溃疡
K63.308 肠糜烂
K63.400 肠下垂
K63.401 结肠下垂
K63.402 回肠黏膜脱垂
K63.403 内脏下垂
K63.500 结肠息肉
K63.500x002 色素沉着性结肠息肉
K63.500x084 横结肠息肉
K63.501 升结肠息肉
K63.502 降结肠息肉
K63.503 乙状结肠息肉
K63.504 多发性结肠息肉
K63.801 肠脂肪垂
K63.802 小肠囊肿
K63.803 小肠息肉
K63.804 小肠肿物
K63.805 小肠肉芽肿
K63.806 小肠不典型增生
K63.807 十二指肠囊肿
K63.809 结肠积气
K63.810 结肠囊肿
K63.812 结肠黑变病
K63.813 回盲部息肉
K63.814 回盲部肉芽肿
K63.815 回盲部黏液性囊肿
K63.816 盲肠息肉
K63.817 直肠乙状结肠炎
K63.818 大肠不典型增生
K63.819 肠肉芽肿
K63.900x001 结肠肿物
K63.900x002 肠上皮化生
K63.900x003 肠系膜肿物
K63.900x005 盲肠瘀滞症
K63.901 回盲部肿物
K63.902 功能性肠病
K64.000 I 度痔
K64.100 Ⅱ度痔
K64.200 Ⅲ度痔
K64.300 Ⅳ度痔
K64.400 残留痔皮赘
K64.401 肛门皮赘
K64.402 直肠皮赘
K64.500 肛周静脉血栓形成
K64.501 肛周血肿
K64.801 血栓性内痔
K64.802 出血性内痔
K64.803 脱垂性内痔
K64.804 直肠静脉曲张破裂
K64.805 内痔
K64.806 血栓性外痔
K64.807 出血性外痔
K64.808 溃疡性外痔
K64.809 外痔
K64.810 血栓性痔
K64.811 混合痔
K64.900 痔
K64.901 出血性痔
K65.000 急性腹膜炎
K65.000x014 盲肠脓肿
K65.001 急性化脓性弥漫性腹膜炎
K65.002 急性化脓性腹膜炎
K65.003 急性弥漫性腹膜炎
K65.004 腹膜脓肿
K65.005 腹腔脓肿
K65.006 腹膜后脓肿
K65.008 肝周脓肿
K65.009 膈下脓肿
K65.010 网膜脓肿
K65.011 盲肠后脓肿
K65.012 肠系膜脓肿
K65.016 细菌性腹膜炎
K65.017 继发性腹膜炎
K65.800x001 肠系膜炎
K65.800x002 出血性腹膜炎
K65.801 肠系膜脂肪坏死
K65.802 慢性腹膜炎
K65.803 胆汁性腹膜炎
K65.804 硬化性腹膜炎
K65.805 多浆膜炎
K65.806 多浆膜腔积液
K65.807 嗜酸性粒细胞性腹膜炎
K65.900 腹膜炎
K65.901 局限性腹膜炎
K65.902 自发性腹膜炎
K65.903 腹腔感染
K65.904 腹膜后感染
K65.905 大网膜炎
K65.906 原发性腹膜炎
K66.000 腹膜粘连
K66.000x007 腹壁粘连
K66.001 回盲部粘连
K66.002 肠粘连
K66.003 胃粘连
K66.004 肠系膜粘连
K66.005 膈肌粘连
K66.006 大网膜粘连
K66.007 腹腔粘连
K66.008 十二指肠粘连
K66.100 腹腔积血
K66.101 腹膜出血
K66.102 腹膜后血肿
K66.103 肠系膜出血
K66.200 腹膜后纤维化
K66.201 奥蒙德病
K66.800 腹膜其他特指的疾患
K66.800x008 网膜肉芽肿性炎
K66.800x009 腹膜憩室
K66.801 网膜囊肿
K66.802 肠系膜囊肿
K66.803 肠系膜钙化
K66.805 腹膜后囊肿
K66.806 腹壁肉芽肿
K66.807 腹腔囊肿
K66.808 腹膜囊肿
K66.809 腹膜肉芽肿
K66.810 腹膜后肉芽肿
K66.811 膈下囊肿
K66.812 骶前囊肿
K66.901 腹膜后肿物
K90.000 乳糜泻[腹腔病]
K90.000x001 非热带性口炎性腹泻
K90.001 谷胶肠病
K90.002 特发性脂肪痢
K90.100x001 热带性口炎性腹泻
K90.100x002 口炎性腹泻
K90.100x003 热带性脂肪痢
K90.200 盲袢综合征
K90.200x001 非手术性盲袢综合征
K90.300x001 胰源性腹泻
K90.400x003 肠原性脂肪代谢障碍
K90.401 脂肪痢
K90.402 蛋白丢失性胃肠病
K90.404 蛋白吸收不良
K90.406 脂肪吸收不良
K90.801 原发性小肠吸收不良综合征
K90.802+M14.8* 惠普尔病
K90.900x002 肠吸收障碍
K90.901 小肠吸收不良综合征(非手术性)
K91.000 胃肠手术后呕吐
K91.100 胃手术后综合征
K91.100x001 迟发型倾倒综合征
K91.101 倾倒综合征
K91.102 残窦综合征
K91.103 迷走神经切断后综合征
K91.200x002 手术后吸收不良综合征
K91.201 短肠综合征
K91.202 手术后盲袢综合征
K91.300 手术后肠梗阻
K91.300x002 手术后肠道狭窄
K91.301 回肠肛管吻合口狭窄
K91.302 手术后小肠储袋梗阻
K91.303 手术后肠肠吻合口狭窄
K91.305 直肠吻合口狭窄
K91.401 小肠造口术后功能障碍
K91.402 肠造口术后功能障碍
K91.404 结肠造口术后狭窄
K91.405 结肠造口脱垂
K91.406 人工肛门脱垂
K91.408 人工肛门狭窄
K91.800x007 手术后食管破裂
K91.800x102 残胃炎伴出血
K91.800x103 残胃溃疡伴出血
K91.800x106 胃肠吻合口炎伴出血
K91.800x111 胃肠吻合术后输入袢梗阻
K91.800x116 手术后胃缺血性坏死
K91.800x117 手术后急性胃扩张
K91.800x206 手术后结肠-直肠瘘
K91.800x412 手术后胆肠吻合口炎
K91.800x501 胰腺空肠吻合口溃疡伴出血
K91.800x601 手术后造瘘口旁疝
K91.800x602 手术后造瘘口狭窄
K91.800x702 人工肛门出血
K91.801 胰胃吻合口狭窄
K91.802 残胃吻合口炎
K91.803 肠代食管吻合口狭窄
K91.804 肠造瘘术后肠黏膜脱垂
K91.805 胆囊空肠吻合口狭窄
K91.808 结肠吻合口炎
K91.809 食管胃吻合口狭窄
K91.810 食管胃吻合口瘘
K91.811 食管胃吻合口炎
K91.812 食管空肠吻合口狭窄
K91.813 食管空肠吻合口瘘
K91.814 食管空肠吻合口炎
K91.815 食管吻合口瘘
K91.816 食管十二指肠吻合口瘘
K91.817 食管结肠吻合口狭窄
K91.818 手术后胃肠功能紊乱
K91.819 手术后胃肠吻合口狭窄
K91.820 手术后肠粘连
K91.821 手术后肠吻合口炎
K91.824 手术后肛门括约肌失禁
K91.828 手术后胃排空障碍
K91.829 手术后胃肠吻合口炎
K91.830 手术后胃瘫综合征
K91.831 手术后幽门梗阻
K91.832 胃肠吻合口功能障碍
K91.833 胃肠吻合口水肿
K91.834 胃肠吻合口炎
K91.835 胃肠道手术后腹泻
K91.836 输入袢综合征
K91.837 手术后腹膜炎
K91.839 肠吻合口狭窄
K91.842 胃肠吻合术后输出袢梗阻
K91.900 消化系统的操作后疾患
K92.000 呕血
K92.100x001 黑便
K92.200x001 便血
K92.200x005 胃肠道出血
K92.201 胃出血
K92.202 残胃出血
K92.203 十二指肠出血
K92.204 肠出血
K92.205 盲肠出血
K92.206 结肠出血
K92.207 急性上消化道出血
K92.208 上消化道出血
K92.209 下消化道出血
K92.210 消化道出血
K92.800x001 食管癌伴出血
K92.800x002 胃癌伴出血
K92.800x003 残胃溃疡癌变伴出血
K92.800x004 小肠淋巴瘤伴出血
K92.800x005 结肠癌伴出血
K92.800x007 直肠癌伴出血
K92.800x011 十二指肠癌伴出血
K92.801 门脉高压性胃肠病
K92.901 胃肠功能紊乱
M32.112+K93.8* 狼疮性胃肠道损害
N88.803 宫颈囊肿
Q27.810 先天性大肠血管畸形
Q39.000x001 先天性食管闭锁
Q39.100 食管闭锁伴有气管食管瘘
Q39.100x011 先天性食管闭锁伴气管和食管上段~~瘘
Q39.100x021 先天性食管闭锁伴气管和食管下段~~瘘
Q39.200x011 先天性气管食管瘘
Q39.300 先天性食管狭窄
Q39.400 先天性食管蹼
Q39.501 先天性食管失弛缓症
Q39.600 食管憩室
Q39.601 先天性咽食管憩室
Q39.602 先天性食管中段憩室
Q39.800x201 先天性食管假梗阻
Q39.800x903 先天性食管缺如
Q39.800x904 先天性食管移位
Q39.800x905 食管异位组织
Q39.801 食管重复畸形
Q39.802 先天性短食管
Q39.803 先天性食管囊肿
Q39.900 食管先天性畸形
Q40.000 先天性肥大性幽门狭窄
Q40.002 先天性幽门闭锁
Q40.003 先天性幽门痉挛
Q40.100 先天性食管裂孔疝
Q40.200x004 先天性贲门痉挛
Q40.200x005 先天性沙漏状胃
Q40.200x010 十二指肠隔膜
Q40.201 胃重复畸形
Q40.202 先天性小胃畸形
Q40.203 先天性巨胃
Q40.204 先天性胃壁肌层缺损
Q40.205 先天性胃黏膜异位
Q40.206 先天性胃扭转
Q40.207 先天性胃憩室
Q40.208 先天性胃移位
Q40.209 食管胃黏膜异位
Q40.300 胃先天性畸形
Q40.800 上消化道其他特指的先天性畸形
Q40.900 上消化道先天性畸形
Q41.001 先天性十二指肠缺如
Q41.002 先天性十二指肠狭窄
Q41.003 先天性十二指肠闭锁
Q41.101 先天性空肠狭窄
Q41.102 先天性空肠闭锁
Q41.103 苹果皮综合征
Q41.104 先天性空肠缺如
Q41.201 先天性回肠缺如
Q41.202 先天性回肠狭窄
Q41.203 先天性回肠闭锁
Q41.800 小肠其他特指部位的先天性缺如、闭锁和~~狭窄
Q41.901 先天性小肠狭窄
Q41.902 先天性小肠缺如
Q41.903 先天性小肠闭锁
Q42.000x101 先天性直肠闭锁伴直肠尿道瘘
Q42.000x201 先天性直肠闭锁伴直肠膀胱瘘
Q42.000x301 先天性直肠闭锁伴直肠外阴瘘
Q42.000x401 先天性直肠闭锁伴直肠皮肤瘘
Q42.000x501 先天性直肠闭锁伴直肠结肠瘘
Q42.001 直肠先天性狭窄，伴有瘘
Q42.002 直肠先天性闭锁，伴有瘘
Q42.101 直肠先天性狭窄，不伴有瘘
Q42.102 直肠先天性闭锁，不伴有瘘
Q42.200x901 先天性肛门闭锁伴直肠尿道瘘
Q42.200x902 先天性肛门闭锁伴直肠阴道瘘
Q42.200x903 先天性肛门闭锁伴直肠外阴瘘
Q42.200x904 先天性肛门闭锁伴直肠前庭瘘
Q42.200x905 先天性肛门闭锁伴直肠皮肤瘘
Q42.201 肛门先天性狭窄，伴有瘘
Q42.202 肛门先天性闭锁，伴有瘘
Q42.301 肛门先天性狭窄，不伴有瘘
Q42.302 肛门先天性闭锁，不伴有瘘
Q42.800x002 先天性结肠缺如
Q42.800x003 先天性结肠狭窄
Q42.801 阑尾闭锁
Q42.802 阑尾缺如
Q42.803 先天性结肠闭锁
Q42.901 先天性大肠闭锁
Q42.902 先天性大肠狭窄
Q42.903 先天性大肠缺如
Q43.000 麦克尔憩室
Q43.001 先天性卵黄管囊肿
Q43.002 先天性脐窦
Q43.003 先天性脐瘘
Q43.004 先天性脐茸
Q43.100 先天无神经节性巨结肠[赫希施斯普龙~~病]
Q43.101 先天性短段型巨结肠
Q43.102 先天性长段型巨结肠
Q43.103 先天性普通型巨结肠
Q43.104 先天性超短段型巨结肠
Q43.105 先天性巨结肠类源病
Q43.106 先天性全结肠型巨结肠
Q43.200 结肠的其他先天性功能性疾患
Q43.200x002 巨结肠类缘病
Q43.200x003 巨膀胱-小结肠-肠蠕动不良综合征
Q43.201 先天性结肠扩张
Q43.300x201 先天性肠粘连
Q43.300x901 先天性杰克逊膜
Q43.301 先天性肠旋转不良
Q43.401 结肠重复畸形
Q43.402 双阑尾
Q43.403 小肠重复畸形
Q43.404 直肠重复畸形
Q43.500 异位肛门
Q43.601 先天性肛瘘
Q43.602 先天性直肠瘘
Q43.700 永存泄殖腔
Q43.800x006 先天性小结肠
Q43.800x008 先天性游离盲肠
Q43.800x009 先天性空肠异位
Q43.800x012 先天性小肠发育异常
Q43.800x014 先天性十二指肠憩室
Q43.800x015 先天性小肠憩室
Q43.800x017 先天性盲肠憩室
Q43.800x018 先天性乙状结肠憩室
Q43.800x019 先天性直肠憩室
Q43.801 肠源性囊肿
Q43.802 先天性小肠黏膜异位
Q43.803 小左结肠综合征
Q43.804 先天性巨十二指肠
Q43.805 先天性十二指肠瓣膜
Q43.806 盲肠异位
Q43.807 先天性盲袢综合征
Q43.808 先天性巨阑尾
Q43.809 间位结肠
Q43.810 先天性短结肠
Q43.811 先天性结肠憩室
Q43.812 先天性长结肠
Q43.900 肠先天性畸形
Q43.901 先天性肛门畸形
Q44.500x008 先天性胃内胆管异位
Q45.300x102 食道异位胰腺
Q45.300x103 十二指肠异位胰腺
Q45.300x104 胃内异位胰腺
Q45.300x105 空肠异位胰腺
Q45.801 肝脾异位
Q45.900 消化系统先天性畸形
Q51.702 先天性子宫直肠瘘
Q79.200 脐疝
Q79.201 先天性脐膨出
Q79.300 腹裂
Q79.301 先天性腹壁缺损
Q79.400 干梅腹综合征
Q79.500 腹壁的其他先天性畸形
Q79.501 先天性脐畸形
Q85.900x002 肠错构瘤
Q85.900x036 腹壁错构瘤
Q85.902 腹膜后错构瘤
Q85.906 胃错构瘤
Q85.913 结肠错构瘤
Q89.300 内脏反位
Q89.300x001 内脏移位
Q89.301 卡塔格内综合征
Q89.302 原发性纤毛运动障碍综合征
R10.000 急腹症
R10.000x004 严重腹痛伴腹部强直
R10.101 上腹痛
R10.102 胃痛
R10.103 消化不良
R10.301 下腹痛
R10.400x002 功能性腹痛
R10.400x004 婴儿型腹部绞痛
R10.401 肠绞痛
R10.402 腹痛
R12.x00 胃灼热
R12.x00x002 反酸
R14.x00x001 胃胀气
R14.x00x002 嗳气
R14.x00x003 气胀痛
R14.x00x006 腹胀
R14.x00x007 肠胀气
R15.x00 大便失禁
R19.000x005 盆腔内弥漫性肿胀
R19.100 异常肠鸣音
R19.100x001 肠鸣音亢进
R19.100x002 肠鸣音消失
R19.200 可见性蠕动
R19.200x002 蠕动过强
R19.300 腹强直
R19.400 大便习惯改变
R19.500x002 大便颜色异常
R19.500x003 脓血便
R19.500x004 粘液便
R19.501 便潜血
R19.600 口臭
R19.800x001 排便困难
R58.x01 腹腔内出血
R85.000 消化器官和腹腔标本的酶水平异常
R85.100 消化器官和腹腔标本的激素水平异常
R85.200 消化器官和腹腔标本的其他药物、药剂和~~生物制剂水平异常
R85.300 消化器官和腹腔标本的主要为非药用性~~物质的水平异常
R85.400 消化器官和腹腔标本的异常的免疫学所~~见
R85.500 消化器官和腹腔标本的异常的微生物学~~所见
R85.600 消化器官和腹腔标本的异常的细胞学所~~见
R85.700 消化器官和腹腔标本的异常的组织学所~~见
R85.800 消化器官和腹腔标本的其他异常所见
R93.300x001 消化道诊断性影像异常
R93.300x003 结肠占位性病变
R93.300x004 直肠占位性病变
R93.303 胃占位性病变
R93.500x001 腹部诊断性影像异常
S11.202 开放性颈部食管损伤
S30.102 创伤性髂腰肌血肿
S36.300 胃损伤
S36.301 创伤性胃破裂
S36.310 开放性胃破裂
S36.400 小肠损伤
S36.400x091 空肠损伤
S36.400x093 回肠损伤
S36.400x095 小肠多处损伤
S36.401 创伤性十二指肠破裂
S36.402 创伤性空肠破裂
S36.403 创伤性回肠破裂
S36.404 创伤性小肠破裂
S36.405 十二指肠损伤
S36.411 开放性小肠破裂
S36.412 开放性十二指肠破裂
S36.413 开放性空肠破裂
S36.414 开放性回肠破裂
S36.500 结肠损伤
S36.500x011 升结肠损伤
S36.500x021 横结肠损伤
S36.500x031 降结肠损伤
S36.500x041 乙状结肠损伤
S36.500x091 结肠多处损伤
S36.500x092 阑尾损伤
S36.500x093 盲肠损伤
S36.501 创伤性结肠破裂
S36.511 开放性结肠破裂
S36.600 直肠损伤
S36.600x003 直肠多处损伤
S36.601 创伤性直肠破裂
S36.611 开放性直肠破裂
S36.700 多个腹内器官损伤
S36.701 创伤性腹内多器官破裂
S36.800x022 肠系膜损伤
S36.801 腹膜损伤
S36.802 肠系膜裂伤
S36.803 创伤性腹膜后血肿
S36.810 开放性特指腹内器官损伤
S36.811 开放性肠系膜血肿
S36.812 开放性肠系膜裂伤
S36.813 开放性腹膜后血肿
S36.814 开放性大网膜破裂
S36.900 腹内器官的损伤
S36.901 创伤性肠破裂
S36.910 开放性腹内器官损伤
S39.905 肛门损伤
S39.909 腹部金属异物
