头颈部创伤
包含以下主要诊断：
S01.800x011 开放性脑损伤伴颅骨骨折
S68.800x001 掌部创伤性切断
S68.900 腕和手水平的创伤性切断
S69.800 腕和手其他特指的损伤
T02.200x001 单上肢多发性骨折
T02.210 开放性多发性单上肢骨折
T02.400x001 双上肢多发性骨折
T02.410 开放性多发性双上肢骨折
T02.600x001 上肢伴下肢多发性骨折
T02.600x011 上肢伴下肢多发性开放性骨折
T02.610 开放性多发性肢体骨折
T04.200x001 上肢多处挤压伤
T05.000 双手创伤性切断
T05.100x001 手和对侧臂创伤性切断
T05.200x001 双臂创伤性切断
T10.x00 上肢骨折
T10.x10 开放性上肢骨折
T11.400 上肢血管的损伤
T11.600 上肢创伤性切断
T11.600x001 臂创伤性切断
T79.600x004 上肢骨筋膜室综合征
下肢创伤
包含以下主要诊断：
S71.800x011 髋部开放性损伤伴骨折
S71.800x012 股部开放性损伤伴骨折
S71.800x021 髋部开放性损伤伴脱位
S71.800x022 股部开放性损伤伴脱位
S71.801 开放性骨盆带损伤
S72.000 股骨颈骨折
S72.000x011 股骨关节囊内骨折
S72.000x021 股骨头骨骺分离
S72.000x031 股骨颈头下骨折
S72.000x041 股骨颈经颈骨折
S72.000x051 股骨颈基底骨折
S72.000x081 股骨头骨折
S72.000x082 股骨髋部骨折
S72.010 开放性股骨颈骨折
S72.100x001 股骨大粗隆骨折
S72.100x002 股骨小粗隆骨折
S72.101 股骨粗隆间骨折
S72.110 开放性股骨粗隆间骨折
S72.200x001 股骨粗隆下骨折
S72.210 开放性股骨粗隆下骨折
S72.300 股骨干骨折
S72.310 开放性股骨干骨折
S72.400x001 股骨远端骨折
S72.400x012 股骨内髁骨折
S72.400x013 股骨外髁骨折
S72.400x021 股骨远端骨骺分离
S72.400x031 股骨髁上骨折
S72.400x041 股骨髁间骨折
S72.401 股骨髁骨折
S72.410 开放性股骨下端骨折
S72.700 股骨多处骨折
S72.710 开放性多发性股骨骨折
S72.900 股骨骨折
S74.000x001 坐骨神经损伤
S74.000x002 髋部坐骨神经损伤
S74.000x003 大腿坐骨神经损伤
S74.100x001 股神经损伤
S74.100x002 髋部股神经损伤
S74.100x003 大腿股神经损伤
S74.700x001 髋部多处神经损伤
S74.700x002 大腿多处神经损伤
S74.900x001 髋部神经损伤
S74.900x002 大腿神经损伤
S75.000 股动脉损伤
S75.000x002 股浅动脉损伤
S75.000x003 股深动脉损伤
S75.000x004 创伤性股动脉瘤
S75.000x005 创伤性股假性动脉瘤
S75.001 创伤性股深动脉破裂
S75.100x001 股静脉损伤
S75.100x002 髋部股静脉损伤
S75.100x003 大腿股静脉损伤
S75.200 在髋和大腿水平的大隐静脉损伤
S75.200x001 大腿大隐静脉损伤
S75.700x001 髋部多处血管损伤
S75.700x002 大腿多处血管损伤
S75.900x001 髋部血管损伤
S75.900x002 大腿血管损伤
S75.901 创伤性股动静脉瘘
S77.000 髋部挤压伤
S77.100 大腿挤压伤
S77.200 髋伴有大腿挤压伤
S78.000 髋部创伤性切断
S78.100x001 大腿部切断
S81.800x011 小腿开放性损伤伴骨折
S81.800x021 小腿开放性损伤伴脱位
S81.800x081 腓部开放性损伤
S81.800x082 腘窝开放性损伤
S81.800x083 胫部开放性损伤
S82.000 髌骨骨折
S82.000x002 髌骨软骨骨折
S82.000x004 髌骨袖套状骨折
S82.010 开放性髌骨骨折
S82.100x011 胫骨近端骨折伴腓骨骨折
S82.100x012 胫骨平台伴腓骨骨折
S82.100x081 胫骨近端骨折
S82.100x082 胫骨近端骨骺分离
S82.100x084 胫骨髁骨折
S82.100x085 胫骨髁间棘骨折
S82.100x086 胫骨外髁骨折
S82.100x087 胫骨平台骨折
S82.100x088 胫骨平台伴髁间骨折
S82.100x089 胫骨结节骨折
S82.101 闭合性胫骨平台骨折
S82.102 胫骨头骨折
S82.110 开放性胫骨上端骨折
S82.111 开放性胫骨头骨折
S82.200x011 胫骨干骨折伴腓骨骨折
S82.200x081 胫骨干骨折
S82.201 胫腓骨干骨折
S82.202 胫骨骨折
S82.203 胫腓骨闭合性骨折
S82.210 开放性胫骨骨干骨折
S82.211 开放性胫骨骨折
S82.212 开放性胫腓骨干骨折
S82.300x011 胫骨远端骨折伴腓骨骨折
S82.300x012 胫腓骨下端骨骺分离
S82.300x081 胫骨远端骨折
S82.300x082 胫骨远端骨骺分离
S82.300x083 Pilon 骨折
S82.301 胫腓骨下端骨折
S82.310 开放性胫骨下端骨折
S82.311 开放性胫腓骨下端骨折
S82.400x001 腓骨骨折
S82.400x002 腓骨远端骨骺分离
S82.400x011 腓骨近端骨折
S82.400x012 腓骨头骨折
S82.400x013 腓骨颈骨折
S82.400x014 腓骨小头骨折
S82.400x091 腓骨多发性骨折
S82.401 腓骨干骨折
S82.410 开放性腓骨骨折
S82.411 开放性腓骨干骨折
S82.500 内踝骨折
S82.501 胫骨骨折累及踝关节
S82.510 开放性内踝骨折
S82.600 外踝骨折
S82.601 腓骨骨折累及踝关节
S82.610 开放性外踝骨折
S82.800x081 踝骨骨折
S82.800x082 踝关节骨折
S82.801 三踝骨折
S82.802 双踝骨折
S82.803 踝骨闭合性骨折
S82.810 开放性小腿特指部位骨折
S82.811 开放性三踝骨折
S82.812 开放性双踝骨折
S82.900 小腿骨折
S82.910 开放性小腿骨折
S84.000x001 胫后神经损伤
S84.000x002 胫神经损伤
S84.100x001 腓神经损伤
S84.700x001 小腿多处神经损伤
S84.800x001 腓总神经损伤
S84.800x002 腓肠神经损伤
S84.900x001 小腿神经损伤
S85.000 腘动脉损伤
S85.100x002 胫前动脉损伤
S85.101 胫后动脉损伤
S85.102 创伤性胫后动脉血栓形成
S85.200 腓动脉损伤
S85.300x001 小腿大隐静脉损伤
S85.400x001 小腿小隐静脉损伤
S85.500 腘静脉损伤
S85.700x001 小腿多处血管损伤
S85.800x001 胫后血管损伤
S85.801 创伤性胫后动静脉损伤
S85.900x001 小腿血管损伤
S86.001 跟腱断裂
S86.100x001 小腿后部肌群和肌腱损伤
S86.300x002 腓侧肌群肌肉损伤
S86.300x003 腓侧肌群肌腱损伤
S86.300x004 腓肠肌断裂
S86.300x006 创伤性腓骨肌腱滑脱
S86.700x001 小腿多处肌肉和肌腱损伤
S86.700x002 胫腓肌腱断裂
S86.701 小腿水平多发性肌腱损伤
S87.000 膝挤压伤
S87.801 小腿挤压伤
S88.000x001 膝部切断
S88.100x001 小腿部切断
S91.300x813 足部开放性损伤伴骨折
S94.200x001 踝和足腓深神经损伤
S94.200x002 腓深神经外侧支末端损伤
S94.700x001 踝和足多处神经损伤
S94.900x001 踝和足神经损伤
S95.000 足背动脉损伤
S95.100 足底动脉损伤
S95.200 足背静脉损伤
S95.700x001 踝和足多处血管损伤
S95.900x001 踝和足血管损伤
S98.000x001 踝部切断
S98.100x001 单趾切断
S98.200x001 两趾切断
S98.200x002 多趾切断
T02.300x001 单下肢多发性骨折
T02.310 开放性多发性单下肢骨折
T02.500x001 双下肢多发性骨折
T02.510 开放性多发性双下肢骨折
T04.300x001 下肢多处挤压伤
T05.300 双足创伤性切断
T05.300x002 双足部分创伤性切断
T05.400x001 足和对侧小腿创伤性切断
T05.500x001 双小腿创伤性切断
T05.600x001 上肢和下肢创伤性切断
T13.300 下肢神经的损伤
T13.600 下肢创伤性切断
T79.600x006 下肢骨筋膜室综合征
