包含以下主要诊断：
A18.300x009+K93.0* 腹腔结核
Q43.106 先天性全结肠型巨结肠
Q43.200 结肠的其他先天性功能性疾患
Q43.200x002 巨结肠类缘病
Q43.200x003 巨膀胱-小结肠-肠蠕动不良综合征
Q43.201 先天性结肠扩张
Q43.300x201 先天性肠粘连
Q43.300x901 先天性杰克逊膜
Q43.301 先天性肠旋转不良
Q43.401 结肠重复畸形
Q43.402 双阑尾
Q43.403 小肠重复畸形
Q43.404 直肠重复畸形
Q43.500 异位肛门
Q43.601 先天性肛瘘
Q43.602 先天性直肠瘘
Q43.700 永存泄殖腔
Q43.800x006 先天性小结肠
Q43.800x008 先天性游离盲肠
Q43.800x009 先天性空肠异位
Q43.800x012 先天性小肠发育异常
Q43.800x014 先天性十二指肠憩室
Q43.800x015 先天性小肠憩室
Q43.800x017 先天性盲肠憩室
Q43.800x018 先天性乙状结肠憩室
Q43.800x019 先天性直肠憩室
Q43.801 肠源性囊肿
Q43.802 先天性小肠黏膜异位
Q43.803 小左结肠综合征
Q43.804 先天性巨十二指肠
Q43.805 先天性十二指肠瓣膜
Q43.806 盲肠异位
Q43.807 先天性盲袢综合征
Q43.808 先天性巨阑尾
Q43.809 间位结肠
Q43.810 先天性短结肠
Q43.811 先天性结肠憩室
Q43.812 先天性长结肠
Q43.900 肠先天性畸形
Q43.901 先天性肛门畸形
Q44.500x008 先天性胃内胆管异位
Q45.300x102 食道异位胰腺
Q45.300x103 十二指肠异位胰腺
Q45.300x104 胃内异位胰腺
Q45.300x105 空肠异位胰腺
Q45.801 肝脾异位
Q45.900 消化系统先天性畸形
Q51.702 先天性子宫直肠瘘
Q79.200 脐疝
Q79.201 先天性脐膨出
Q79.300 腹裂
Q79.301 先天性腹壁缺损
Q79.400 干梅腹综合征
Q79.500 腹壁的其他先天性畸形
Q79.501 先天性脐畸形
Q85.900x002 肠错构瘤
Q85.900x036 腹壁错构瘤
Q85.902 腹膜后错构瘤
Q85.906 胃错构瘤
Q85.913 结肠错构瘤
Q89.300 内脏反位
Q89.300x001 内脏移位
Q89.301 卡塔格内综合征
Q89.302 原发性纤毛运动障碍综合征
R10.102 胃痛
R10.103 消化不良
R12.x00 胃灼热
R12.x00x002 反酸
R14.x00x001 胃胀气
R14.x00x002 嗳气
R14.x00x003 气胀痛
R14.x00x006 腹胀
R14.x00x007 肠胀气
R15.x00 大便失禁
R19.000x005 盆腔内弥漫性肿胀
R19.100 异常肠鸣音
R19.100x001 肠鸣音亢进
R19.100x002 肠鸣音消失
R19.200 可见性蠕动
R19.200x002 蠕动过强
R19.300 腹强直
R19.400 大便习惯改变
R19.500x002 大便颜色异常
R19.500x003 脓血便
R19.500x004 粘液便
R19.600 口臭
R19.800x001 排便困难
R58.x01 腹腔内出血
R85.000 消化器官和腹腔标本的酶水平异常
R85.100 消化器官和腹腔标本的激素水平异常
R85.200 消化器官和腹腔标本的其他药物、药剂和~~生物制剂水平异常
R85.300 消化器官和腹腔标本的主要为非药用性物~~质的水平异常
R85.400 消化器官和腹腔标本的异常的免疫学所见
R85.500 消化器官和腹腔标本的异常的微生物学所~~见
R85.600 消化器官和腹腔标本的异常的细胞学所见
R85.700 消化器官和腹腔标本的异常的组织学所见
R85.800 消化器官和腹腔标本的其他异常所见
R93.300x001 消化道诊断性影像异常
R93.300x003 结肠占位性病变
R93.300x004 直肠占位性病变
R93.303 胃占位性病变
R93.500x001 腹部诊断性影像异常
S11.202 开放性颈部食管损伤
S30.102 创伤性髂腰肌血肿
S36.300 胃损伤
S36.301 创伤性胃破裂
S36.310 开放性胃破裂
S36.400 小肠损伤
S36.400x091 空肠损伤
S36.400x093 回肠损伤
S36.400x095 小肠多处损伤
S36.401 创伤性十二指肠破裂
S36.402 创伤性空肠破裂
S36.403 创伤性回肠破裂
S36.404 创伤性小肠破裂
S36.405 十二指肠损伤
S36.411 开放性小肠破裂
S36.412 开放性十二指肠破裂
S36.413 开放性空肠破裂
S36.414 开放性回肠破裂
S36.500 结肠损伤
S36.500x011 升结肠损伤
S36.500x021 横结肠损伤
S36.500x031 降结肠损伤
S36.500x041 乙状结肠损伤
S36.500x091 结肠多处损伤
S36.500x092 阑尾损伤
S36.500x093 盲肠损伤
S36.501 创伤性结肠破裂
S36.511 开放性结肠破裂
S36.600 直肠损伤
S36.600x003 直肠多处损伤
S36.601 创伤性直肠破裂
S36.611 开放性直肠破裂
S36.700 多个腹内器官损伤
S36.701 创伤性腹内多器官破裂
S36.800x022 肠系膜损伤
S36.801 腹膜损伤
S36.802 肠系膜裂伤
S36.803 创伤性腹膜后血肿
S36.810 开放性特指腹内器官损伤
S36.811 开放性肠系膜血肿
S36.812 开放性肠系膜裂伤
S36.813 开放性腹膜后血肿
S36.814 开放性大网膜破裂
S36.900 腹内器官的损伤
S36.901 创伤性肠破裂
S36.910 开放性腹内器官损伤
S39.905 肛门损伤
S39.909 腹部金属异物
T18.100 食管内异物
T18.200 胃内异物
T18.300 小肠内异物
T18.300x003 空肠内异物
T18.301 十二指肠异物
T18.400 结肠内异物
T18.500x004 直肠乙状结肠连接部异物
T18.501 肛门内异物
T18.502 直肠内异物
T18.801 多发性消化道异物
T18.900 消化道内异物
T28.100 食管烧伤
T28.200x001 胃部烧伤
T28.200x002 消化道烧伤
T28.600 食管腐蚀伤
T28.700x002 消化道腐蚀伤
T28.701 胃化学性烧伤
T28.702 肠道的腐蚀伤
T80.200x001 腹膜透析相关性腹膜炎
T98.300x001 闸门综合征
