包含以下主要诊断：
A06.700 皮肤阿米巴病
L51.200 中毒性表皮坏死松解症[莱尔]
L51.802 渗出性多形红斑
L51.900 多形性红斑
L52.x00 结节性红斑
L53.000 中毒性红斑
L53.100 离心性环状红斑
L53.101 风湿性环形红斑
L53.200 边缘性红斑
L53.300 慢性回状红斑，其他的
L53.800 红斑性情况，其他特指的
L53.801 猩红热样红斑
L53.900 红斑性情况
L53.901 红皮病
L55.000 Ⅰ度晒斑[晒伤]
L55.100 Ⅱ度晒斑[晒伤]
L55.200 Ⅲ度晒斑[晒伤]
L55.800 晒斑[晒伤]，其他的
L55.900 晒斑[晒伤]
L56.000 药物光毒性反应
L56.100 药物光变应性反应
L56.200 光接触性皮炎[香料皮炎]
L56.300 日光性荨麻疹
L56.400 多形性日光疹
L56.401 牛痘样水疱
L56.800 紫外线辐射引起的其他特指的急性皮肤~~改变
L56.900 紫外线辐射引起的急性皮肤改变
L57.000 光线性角化病
L57.001 灰泥角化症
L57.100 光线性类网状细胞增多症
L57.200 颈部菱形皮
L57.300 西瓦特皮肤异色病
L57.400 老年性皮肤松垂
L57.401 获得性皮肤松弛症
L57.402 皮肤松弛
L57.500 光线性肉芽肿
L57.800x004 非年龄性上肢皮肤松驰
L57.800x005 非年龄性下肢皮肤松驰
L57.800x006 非年龄性躯干皮肤松驰
L57.801 慢性光化性皮炎
L57.802 日光性皮炎
L57.803 光线性痒疹
L57.900 慢性暴露于非电离辐射下引起的皮肤改~~变
L58.000 急性放射性皮炎
L58.100 慢性放射性皮炎
L58.101 放射性皮肤溃疡
L58.900 放射性皮炎
L59.000 火激红斑[火激皮炎]
L59.801 慢性光化性皮炎，与辐射相关
L59.900 与辐射有关的皮肤和皮下组织疾患
L60.000 嵌甲
L60.100 甲剥离
L60.200 甲弯曲
L60.201 甲肥厚
L60.300 甲营养不良
L60.301 脆甲症
L60.400 博氏线
L60.500 黄甲综合征
L60.800x004 白甲
L60.800x005 甲萎缩
L60.800x006 甲纵沟
L60.800x007 甲纵裂
L60.800x008 甲纵嵴
L60.800x009 甲胬肉
L60.800x010 对半甲
L60.800x011 黑甲和褐甲
L60.800x012 红甲
L60.800x013 甲横沟
L60.800x014 甲凹点
L60.800x015 软甲
L60.800x016 绿甲综合征
L60.800x017 绿色条纹甲
L60.800x018 马克尔线
L60.800x019 特里甲
L60.800x020 天蓝甲半月
L60.800x021 多甲
L60.800x022 红色甲半月
L60.800x023 甲反向胬肉
L60.800x024 蓝甲
L60.800x025 米斯线
L60.800x026 逆剥
L60.800x027 薄甲
L60.800x028 扁平甲
L60.800x029 黄甲
L60.800x030 灰甲
L60.800x031 甲板染色
L60.800x032 甲层裂
L60.800x033 甲床紫癜
L60.800x034 球拍状甲
L60.801 甲床角化过度
L60.802 指甲下出血
L60.803 趾甲下出血
L60.900 甲疾患
L63.000 头部全秃
L63.100 普秃
L63.200 匐行性脱发
L63.800 斑秃，其他的
L63.900 斑秃
L64.000 药物性雄激素性脱发
L64.801 早老性脱发
L64.900 雄激素性脱发
L65.000 静止期脱发
L65.100 再生期脱发
L65.200 黏蛋白性脱发
L65.800x003 牵拉性脱发
L65.800x004 生长期头发松动
L65.800x005 生长期脱发
L65.801 感染后脱发
L65.802 神经性脱发
L65.901 眉缺损
L65.902 脱发
L65.903 脂溢性脱发
L65.904 毛发稀少症
L66.000 假性斑秃
L66.100 毛发扁平苔藓
L66.200 脱发性毛囊炎
L66.300 脓肿性头部毛囊周围炎
L66.400 网状红斑性毛囊炎
L66.800 瘢痕性脱发，其他的
L66.900 瘢痕性脱发
L67.000 结节性脆发病
L67.100 发色变异
L67.101 白发
L67.102 白睫毛
L67.103 白眉毛
L67.104 后天性白发
L67.105 灰发
L67.106 局限性白发
L67.800 毛色和毛干异常，其他的
L67.900 毛色和毛干异常
L68.000 男性型多毛症
L68.100 后天性胎毛过多
L68.200 局限性多毛症
L68.300 多毛症(基因变异)
L68.800 多毛症，其他的
L68.900 多毛症
L70.000 寻常痤疮
L70.001 粉刺
L70.002 结节性痤疮
L70.003 囊肿型痤疮
L70.004 脓疱性痤疮
L70.005 硬结性痤疮
L70.100 聚会性痤疮
L70.200 痘样痤疮
L70.201 额面痤疮
L70.202 粟粒坏死性痤疮
L70.203 萎缩性痤疮
L70.300 热带痤疮
L70.400 婴儿痤疮
L70.500 表皮脱落性痤疮
L70.801 恶病质痤疮
L70.802 人工性痤疮
L70.803 职业性痤疮
L70.900 痤疮
L70.900x002 成簇性眼眶周围痤疮
L71.000 口周皮炎
L71.100 肥大性酒渣鼻
L71.800 酒渣鼻，其他的
L71.900 酒渣鼻
L72.000 表皮囊肿
L72.000x006 脓疱性粟粒疹
L72.000x007 红色粟粒疹
L72.000x010 晶形粟粒疹
L72.000x011 深部粟粒疹
L72.100 毛根鞘囊肿
L72.101 面部皮脂腺囊肿
L72.102 头颈皮脂腺囊肿
L72.103 躯干皮脂腺囊肿
L72.104 四肢皮脂腺囊肿
L72.105 皮脂腺囊肿
L72.106 会阴皮脂腺囊肿
L72.200 多发性皮脂腺囊肿
L72.800x001 发疹性毳毛囊肿
L72.800x003 色素性毛囊囊肿
L72.800x004 皮肤黏液样囊肿
L72.900x001 耳后囊肿
L72.900x002 皮下囊肿
L72.900x003 皮肤纤毛性囊肿
L72.901 头颈部囊肿
L72.902 面部囊肿
L72.903 躯干囊肿
L72.904 腹股沟区皮肤囊肿
L72.905 四肢囊肿
L73.000 瘢瘤性痤疮
L73.100 须部假性毛囊炎
L73.200 化脓性汗腺炎
L73.800 毛囊疾患，其他特指的
L73.800x005 鼻毛假性毛囊炎
L73.800x006 铜绿假单胞菌毛囊炎
L73.800x007 细菌性毛囊炎
L73.801 狼疮样须疮
L73.802 毛囊闭锁三联征
L73.803 皮脂腺增生
L73.804 须疮
L73.805 寻常须疮
L73.900 毛囊疾患
L74.000 红痱
L74.001 痱子
L74.100 晶状痱
L74.200 深部痱
L74.300 痱
L74.400 无汗症
L74.801 红鼻肉芽肿
L74.900 外分泌汗腺疾患
L75.000 臭汗症
L75.100 色汗症
L75.200 顶浆分泌腺粟疹
L75.200x001 干性粟粒疹综合征
L75.201 福克斯-福代斯病
L75.800 顶浆分泌汗腺疾患，其他的
L75.900 顶浆分泌汗腺疾患
L80.x00 白癜风
L81.000 炎症后色素沉着过度
L81.100 黄褐斑
L81.200 雀斑
L81.300 咖啡牛乳色斑
L81.400 其他黑色素沉着过度
L81.400x001 着色病
L81.401 黑皮病
L81.402 黑变病
L81.403 焦油性黑变病
L81.404 里尔黑变病
L81.405 雀斑痣
L81.407 中毒性黑变病
L81.500 白斑病，不可归类在他处者
L81.600 黑色素形成减少的其他疾患
L81.601 皮肤异色病
L81.700x002 匍行性血管瘤
L81.701 进行性色素性皮肤病
L81.702 毛细血管扩张性环状紫癜
L81.703 尚贝格色素皮肤病
L81.800 色素沉着其他特指的疾患
L81.800x003 色素分界线
L81.800x005 斑蝥黄沉着
L81.801 铁色素沉着
L81.802 文身色素沉着
L81.803 地方性砷中毒
L81.900 色素沉着的疾患
L82.x00 脂溢性角化病
L82.x00x001 老年疣
L82.x01 黑色丘疹性皮肤病
L82.x02 莱泽-特雷拉特病
L83.x00 黑棘皮病
L83.x01 融合性网状乳头瘤病
L83.x02 假黑棘皮病
L84.x00x001 鸡眼
L84.x00x002 胼胝
L84.x01 感染性胼胝
L85.000 获得性鱼鳞癣
L85.100 后天性掌跖角化病[皮肤角化病]
L85.200 点状角化病(掌跖)
L85.300 皮肤干燥症
L85.800 表皮增厚，其他特指的
L85.801 角化棘皮瘤
L85.802 毛发角化病
L85.803 皮角
L85.804 砷角化病
L85.900 表皮增厚
L85.900x001 皮脂腺痣
L87.001 穿入性毛囊角化过度
L87.200 匐行穿孔性弹性组织变性
L87.800 经表皮排除疾患，其他的
L87.900 经表皮排除疾患
L88.x00 坏疽性脓皮症
L89.000 受压区Ⅰ期压疮
L89.001 骶尾区Ⅰ期压疮
L89.002 坐骨区Ⅰ期压疮
L89.003 股骨区Ⅰ期压疮
L89.004 跟骨区Ⅰ期压疮
L89.005 足踝区Ⅰ期压疮
L89.006 肩胛区Ⅰ期压疮
L89.007 枕骨区Ⅰ期压疮
L89.008 多处Ⅰ期压疮
L89.100 受压区Ⅱ期压疮
L89.101 骶尾区Ⅱ期压疮
L89.102 坐骨区Ⅱ期压疮
L89.103 股骨区Ⅱ期压疮
L89.104 跟骨区Ⅱ期压疮
L89.105 足踝区Ⅱ期压疮
L89.106 肩胛区Ⅱ期压疮
L89.107 枕骨区Ⅱ期压疮
L89.108 多处Ⅱ期压疮
L89.200 受压区Ⅲ期压疮
L89.201 骶尾区Ⅲ期压疮
L89.202 坐骨区Ⅲ期压疮
L89.203 股骨区Ⅲ期压疮
L89.204 跟骨区Ⅲ期压疮
L89.205 足踝区Ⅲ期压疮
L89.206 肩胛区Ⅲ期压疮
L89.207 枕骨区Ⅲ期压疮
L89.208 多处Ⅲ期压疮
L89.300 受压区Ⅳ期压疮
L89.301 骶尾区Ⅳ期压疮
L89.302 坐骨区Ⅳ期压疮
L89.303 股骨区Ⅳ期压疮
L89.304 跟骨区Ⅳ期压疮
L89.305 足踝区Ⅳ期压疮
L89.306 肩胛区Ⅳ期压疮
L89.307 枕骨区Ⅳ期压疮
L89.308 多处Ⅳ期压疮
L89.900 受压区压疮
L90.000 硬化萎缩性苔藓
L90.100 施韦宁格-布齐皮肤松弛
L90.200 雅达松-佩利扎里皮肤松弛
L90.300 特发性皮肤萎缩
L90.400 慢性萎缩性肢端皮炎
L90.401 特发性弥漫性皮肤萎缩
L90.500x006 头皮瘢痕
L90.500x007 枕部瘢痕
L90.500x008 鬓角瘢痕
L90.500x009 面部瘢痕
L90.500x010 额部瘢痕
L90.500x011 颞部瘢痕
L90.500x012 颧部瘢痕
L90.500x013 颌部瘢痕
L90.500x014 颏部瘢痕
L90.500x015 颊部瘢痕
L90.500x016 眼睑瘢痕
L90.500x017 内眦瘢痕
L90.500x018 上睑瘢痕
L90.500x019 下睑瘢痕
L90.500x020 外眦瘢痕
L90.500x021 眼眶瘢痕
L90.500x022 眉部瘢痕
L90.500x023 鼻部瘢痕
L90.500x024 鼻翼瘢痕
L90.500x025 口部瘢痕
L90.500x026 上唇瘢痕
L90.500x027 下唇瘢痕
L90.500x028 口角瘢痕
L90.500x029 耳部瘢痕
L90.500x030 耳垂瘢痕
L90.500x031 上肢瘢痕
L90.500x032 肩部瘢痕
L90.500x033 腋部瘢痕
L90.500x034 上臂瘢痕
L90.500x035 肘部瘢痕
L90.500x036 前臂瘢痕
L90.500x037 腕部瘢痕
L90.500x038 下肢瘢痕
L90.500x039 大腿瘢痕
L90.500x040 膝部瘢痕
L90.500x041 小腿瘢痕
L90.500x042 踝部瘢痕
L90.500x043 臀部瘢痕
L90.500x044 腘窝瘢痕
L90.500x045 乳房瘢痕
L90.500x046 乳头瘢痕
L90.500x047 乳晕瘢痕
L90.500x048 手部瘢痕
L90.500x049 手背瘢痕
L90.500x050 手掌瘢痕
L90.500x051 虎口瘢痕
L90.500x052 手指瘢痕
L90.500x053 拇指瘢痕
L90.500x054 足部瘢痕
L90.500x055 足背瘢痕
L90.500x056 足掌瘢痕
L90.500x057 足跟瘢痕
L90.500x058 足趾瘢痕
L90.500x059 (足母)趾瘢痕
L90.500x060 躯干瘢痕
L90.500x061 颈部瘢痕
L90.500x062 胸部瘢痕
L90.500x063 腹部瘢痕
L90.500x064 背部瘢痕
L90.500x065 腰部瘢痕
L90.500x066 脐部瘢痕
L90.500x067 全身多处瘢痕
L90.500x071 男性生殖器瘢痕
L90.500x072 睾丸瘢痕
L90.500x073 阴囊瘢痕
L90.500x074 男性外阴瘢痕
L90.501 瘢痕
L90.502 瘢痕挛缩
L90.503 瘢痕粘连
L90.504 痛性瘢痕
L90.505 手术后瘢痕
L90.600 萎缩纹
L90.800 皮肤的其他萎缩性疾患
L90.801 斑疹性皮肤萎缩
L90.803 老年性皮肤萎缩
L90.804 神经性皮肤萎缩
L90.805 Moulin 线状皮肤萎缩
L90.900x001 糖皮质激素局部注射引起的皮肤萎~~缩
L90.901 面部萎缩
L90.902 斑状皮肤萎缩
L91.001 瘢痕疙瘩
L91.002 瘤样瘢痕
L91.800 皮肤其他的肥厚性疾患
L91.801 皮肤赘生物
L91.900 皮肤肥厚性疾患
L92.000 环状肉芽肿
L92.100 脂质渐进性坏死，不可归类在他处者
L92.200 面部肉芽肿[皮肤嗜酸细胞肉芽肿]
L92.300 皮肤和皮下组织异物性肉芽肿
L92.301 皮肤硅肉芽肿
L92.302 皮肤铍肉芽肿
L92.800 皮肤和皮下组织其他肉芽肿性疾患
L92.801 脐肉芽肿
L92.901 皮下组织肉芽肿
L92.903 皮肤肉芽肿
L93.000 盘状红斑狼疮
L93.001 红斑狼疮
L93.100 亚急性皮肤红斑狼疮
L93.200 局限性红斑狼疮，其他的
L93.200x003 肿胀性(瘤样)狼疮
L93.201 狼疮性脂膜炎
L93.202 深在性红斑狼疮
L94.000 局限性硬皮病[硬斑病]
L94.100 线状硬皮病
L94.200 皮肤钙质沉着症
L94.300 指端硬化
L94.301 趾端硬化
L94.400 戈特龙丘疹
L94.500 血管萎缩性皮肤异色病
L94.600 阿洪病
L94.800 局限性结缔组织疾患，其他特指的
L94.900 局限性结缔组织疾患
L95.000 青斑血管炎
L95.100 持久性隆起性红斑
L95.800 局限于皮肤的其他血管炎
L95.800x004 恶性萎缩性丘疹病
L95.801 结节性血管炎
L95.802 皮肤变应性血管炎
L95.900 局限于皮肤的血管炎
L95.900x001 白细胞碎裂性血管炎
L95.901 荨麻疹性血管炎
L97.x00 下肢溃疡，不可归类在他处者
L98.000 生脓性肉芽肿
L98.001 毛细管扩张性肉芽肿
L98.101 神经性表皮脱落
L98.200 热性中性粒细胞皮肤病[斯威特]
L98.300 嗜酸细胞性蜂窝织炎[韦尔斯]
L98.400 皮肤慢性溃疡，不可归类在他处者
L98.401 热带溃疡
L98.500 皮肤黏蛋白沉积症
L98.501 局部粘蛋白沉积症
L98.502 黏液水肿性苔藓
L98.503 网状红斑性黏蛋白沉积症
L98.600 皮肤和皮下组织其他的浸润性疾患
L98.701 皮肤松弛，未特指
L98.702 皮肤松弛伴随减重(减肥手术)(饮食)
L98.800 皮肤和皮下组织其他特指的疾患
L98.800x001 Kimurus 病(伴嗜酸性白细胞的血管~~增生)
L98.800x007 月经疹
L98.800x010 黑色萎缩
L98.800x011 扩张孔
L98.800x012 弥漫性皮肤肥大细胞增生病
L98.800x013 系统性肥大细胞增生病
L98.800x014 贫血痣
L98.800x015 粟丘疹
L98.800x016 女阴假性湿疣
L98.800x017 症状性苔藓样疹
L98.800x018 皮脂缺乏症
L98.800x020 具脂肪瘤样痣的褶皱皮肤
L98.800x021 丘疹性血管增生
L98.800x022 粘蛋白性汗管化生
L98.800x023 丘疹型血管角化瘤
L98.800x026 发疹性假性血管瘤病
L98.800x027 儿童不对称性曲侧周围疹
L98.801 面颊部痣样增生
L98.802 皮肤窦道
L98.803 皮肤淋巴细胞瘤
L98.804 皮肤瘘管
L98.900x002 胶样粟丘疹
M31.000x005 变应性皮肤血管炎
M34.000 进行性全身性硬皮病
M34.100 全身性钙质沉着综合征[CR(E)ST]
M34.200 药物和化学物质诱发的全身性硬皮病
M34.803 蒂比耶日-魏森巴赫综合征
M35.600 复发性脂膜炎[韦伯-克里斯琴]
M54.001 颈部脂膜炎
M54.002 骶部脂膜炎
M54.003 背部脂膜炎
M79.400 髌下脂肪垫肥大
M79.401 膝脂肪垫肥大
M79.403 髌前脂肪垫肥大
M79.404 髌后脂肪垫肥大
M79.801 上肢肿胀
M79.802 下肢肿胀
M79.803 巨手
M79.804 手肿胀
M79.805 脚趾肿胀
M79.806 足肿胀
M79.807 筋膜腐坏
M79.809 普罗菲谢病
M79.811 脂肪液化
N60.000 乳房孤立囊肿
N60.000x001 乳腺囊肿
N60.000x002 乳腺单发囊肿
N60.100 弥漫性囊性乳腺病
N60.100x002 慢性囊性乳腺病
N60.100x003 乳腺囊性增生病
N60.101 男性乳腺囊性增生
N60.200 乳房纤维囊性乳腺病
N60.201 乳腺腺病
N60.202 乳腺纤维囊性增生
N60.300 乳房纤维硬化
N60.400 乳管扩张症
N60.801 乳腺不典型增生
N60.900 良性乳腺发育不良
N61.x00x004 乳头炎
N61.x00x013 乳腺窦道
N61.x00x014 慢性乳腺炎
N61.x01 乳房炎性肉芽肿
N61.x02 乳腺导管瘘
N61.x03 乳腺脓肿
N61.x04 乳腺炎
N61.x05 急性乳腺炎
N61.x06 浆细胞性乳腺炎
N61.x07 乳房炎性肿物
N62.x00 乳房肥大
N62.x00x001 巨乳症
N62.x00x004 乳腺增生
N62.x00x007 乳头肥大
N62.x01 青春期乳房肥大
N62.x02 男性乳房发育
N63.x00 乳房肿块
N63.x01 乳房结节
N64.001 乳头皲裂
N64.002 乳头瘘
N64.100 乳房脂肪坏死
N64.200 乳房萎缩
N64.200x001 乳房松弛症
N64.300x001 非哺乳期溢乳
N64.400 乳痛症
N64.501 乳房硬结
N64.502 乳头凹陷
N64.503 乳头溢血
N64.504 乳头溢液
N64.801 乳房复旧不全
N64.802 乳房下垂
N64.803 乳房血肿
N64.804 乳头变性
N64.805 乳液囊肿
N64.900x001 乳房肿物
N90.800x024 大阴唇瘢痕
N90.800x025 小阴唇瘢痕
Q18.301 翼状颈皮综合征
Q18.902 先天性颜面畸形
Q80.000 寻常性鱼鳞病
Q80.100 性联鱼鳞病
Q80.200 片层状鱼鳞癣
Q80.200x002 胶样婴儿
Q80.300 先天性大疱性鱼鳞病样红皮病
Q80.400 斑色胎儿
Q80.800 先天性鱼鳞病，其他的
Q80.800x001 非大疱型红皮病型鱼鳞病
Q80.900 先天性鱼鳞病
Q81.000 单纯性大疱性表皮松解症
Q81.100 致死性大疱性表皮松解症
Q81.200 营养不良性大疱性表皮松解症
Q81.800 大疱性表皮松解症，其他的
Q81.900 大疱性表皮松解症
Q82.000 遗传性淋巴水肿
Q82.100 着色性干皮病
Q82.200 肥大细胞增生病
Q82.201 色素性荨麻疹
Q82.300 色素失调症
Q82.400 外胚层发育不良症(无汗的)
Q82.500x005 蒙古斑
Q82.501 单侧痣
Q82.502 粉刺样痣
Q82.503 葡萄酒色斑
Q82.504 葡萄酒色痣
Q82.505 胎记
Q82.506 血管痣
Q82.507 疣状表皮痣
Q82.508 小汗腺痣
Q82.800x001 先天性弹性纤维假黄瘤
Q82.800x003 先天性掌跖角化病
Q82.800x004 先天性掌皱褶异常
Q82.800x006 先天性腋蹼
Q82.800x010 毛发苔藓
Q82.800x011 先天性面部皮肤松弛
Q82.800x018 遗传性对称性色素异常症
Q82.801 蓝色橡皮-疱痣综合征
Q82.802 良性家族性天疱疮
Q82.803 毛囊角化病
Q82.804 汗管角化症
Q82.805 疣状肢端角化症
Q82.806 遗传性掌跖角化症
Q82.807 先天性皮肤赘片
Q82.808 异常手掌皱褶
Q82.809 弹性组织瘤
Q82.810 弹性纤维假黄瘤
Q83.000 先天性无乳房和乳头
Q83.100 副乳房
Q83.100x001 副乳腺囊性增生
Q83.100x002 副乳腺腺病
Q83.200 无乳头
Q83.300 副乳头
Q83.800x004 先天性小乳
Q83.800x005 先天性乳头肥大
Q83.801 乳房异位
Q83.802 先天性乳头内陷
Q83.803 乳房发育不良
Q83.900 乳房先天性畸形
Q84.000 先天性秃发
Q84.200 毛发的其他先天性畸形
Q84.201 先天性多毛症
Q84.202 先天性眉畸形
Q84.300 甲缺如
Q84.400 先天性白甲
Q84.500 指甲增大和增生
Q84.501 先天性甲肥厚
Q84.502 趾甲增大和增生
Q84.600x001 先天性趾甲畸形
Q84.600x002 先天性指甲畸形
Q84.600x003 先天性反甲
Q84.600x004 先天性杵状甲
Q84.601 先天性甲营养不良
Q84.602 趾甲的其他先天性畸形
Q84.800x012 先天性皮肤缺失
Q84.801 先天性皮肤发育不全
Q85.900 斑痣性错构瘤病
Q85.900x009 乳房错构瘤
Q85.900x022 神经皮肤综合征
Q85.900x024 毛囊皮脂腺囊性错构瘤
Q85.900x025 毛盘瘤
Q85.900x026 念珠状错构瘤
Q85.900x028 神经毛囊错构瘤
Q85.900x049 色素血管性斑痣性错构瘤病
Q85.915 乳腺错构瘤
R21.x00x001 过敏性皮疹
R21.x00x003 痤疮样皮疹
R21.x00x004 青少年春季疹
R21.x01 非特异性斑疹
R21.x02 皮疹
R22.000x003 面部肿胀
R22.000x004 头部肿胀
R22.000x005 头部肿物
R22.002 头皮肿物
R22.003 鼻部肿物
R22.004 颊部肿物
R22.005 面部肿物
R22.006 耳部肿物
R22.100x001 颈部肿物
R22.100x002 颈部肿胀
R22.200x001 躯干肿胀
R22.200x002 躯干肿物
R22.200x004 胸部肿物
R22.202 胸壁肿物
R22.203 腹壁肿物
R22.204 腹股沟肿物
R22.205 背部肿物
R22.206 骶尾部肿物
R22.207 臀部肿物
R22.300x001 上肢肿物
R22.300x002 手肿物
R22.302 肩部肿物
R22.400x002 下肢肿物
R22.400x003 足肿物
R22.402 髋部肿物
R22.700x001 多部位肿胀
R22.700x002 多部位肿物
R22.901 局部肿物
R22.902 皮下肿物
R22.903 皮肤肿物
R22.904 皮下结节
R23.400x001 皮肤脱落
R23.400x003 皮肤脱屑
R23.401 皮肤硬结
R23.800x001 丘疹
R23.800x002 珍珠状阴茎丘疹
R23.801 皮肤改变
R58.x00x004 粘膜出血
R58.x02 瘀斑
R60.900x004 儿童急性出血性水肿
R92.x00 乳房诊断性影像检查的异常所见
S20.000 乳房挫伤
S20.101 乳房浅表损伤
S20.200 胸部挫伤
S20.200x003 胸骨前区挫伤
S20.201 胸壁挫伤
S20.202 肩胛间区挫伤
S20.300x001 胸前壁浅表损伤
S20.301 胸部皮肤擦伤
S20.400x001 胸后壁浅表损伤
S20.700 胸部多处浅表损伤
S20.800x002 胸前缘域浅表损伤
S20.801 胸壁浅表损伤
S20.802 胸部浅表损伤
S20.803 胸壁擦伤
S21.000 乳房开放性伤口
S30.000x001 背部挫伤
S30.000x003 腰部挫伤
S30.000x004 骶骨区挫伤
S30.001 腰背部挫伤
S30.002 骶尾部挫伤
S30.003 臀部挫伤
S30.100 腹壁挫伤
S30.100x001 腹部挫伤
S30.100x002 胁腹挫伤
S30.100x004 髂区挫伤
S30.100x007 髂窝血肿
S30.101 创伤性髂部血肿
S30.104 腹股沟挫伤
S30.200x005 会阴挫伤
S30.200x006 外阴挫伤
S30.700 腹部、下背和骨盆多处浅表损伤
S30.800x001 臀部浅表损伤
S30.800x002 腹上部浅表损伤
S30.800x003 外生殖器浅表损伤
S30.800x004 胁腹浅表损伤
S30.801 腹壁浅表异物
S30.900x001 腹部浅表损伤
S30.900x002 下背浅表损伤
S30.900x003 骨盆浅表损伤
S31.001 创伤性会阴裂伤
S31.002 腰背部皮肤撕脱伤
S39.910 腰部软组织损伤
S39.911 腹壁软组织损伤
S40.000x001 肩部挫伤
S40.000x002 肩胛区挫伤
S40.000x003 腋窝区挫伤
S40.001 上臂挫伤
S40.700 肩和上臂多处浅表损伤
S40.701 肩臂多处挫伤
S40.800x011 肩部擦伤
S40.800x012 上臂擦伤
S40.800x021 肩部水泡
S40.800x022 上臂水泡
S40.800x031 肩部虫咬伤
S40.800x032 上臂虫咬伤
S40.800x041 肩部浅表异物
S40.800x042 上臂浅表异物
S40.900 肩和上臂的浅表损伤
S50.000 肘挫伤
S50.101 前臂挫伤
S50.700 前臂的多处浅表损伤
S50.701 前臂多处擦伤
S50.800x011 前臂擦伤
S50.800x021 前臂水泡
S50.800x031 前臂虫咬伤
S50.800x041 前臂浅表异物
S50.800x081 肘关节浅表损伤
S50.900 前臂浅表损伤
S50.901 肘浅表损伤
S60.000x001 手指挫伤
S60.100x001 手指挫伤伴指甲损伤
S60.201 腕部挫伤
S60.202 手挫伤
S60.700 腕和手多处浅表损伤
S60.701 手多发浅表损伤
S60.800x011 腕和手擦伤
S60.800x012 腕部擦伤
S60.800x021 腕和手水泡
S60.800x022 手部水泡
S60.800x023 腕部水泡
S60.800x031 腕和手虫咬伤
S60.800x032 腕部虫咬伤
S60.800x033 手部虫咬伤
S60.800x041 腕和手浅表异物
S60.800x042 腕部浅表异物
S60.800x043 手部浅表异物
S60.801 手指浅表异物
S60.900 腕和手的浅表损伤
S60.900x002 腕部浅表损伤
S60.901 手浅表损伤
S60.902 手擦伤
S70.000 髋挫伤
S70.100 大腿挫伤
S70.700x001 大腿多处浅表损伤
S70.700x002 髋部多处浅表损伤
S70.800x011 髋部擦伤
S70.800x012 股部擦伤
S70.800x021 髋部水泡
S70.800x022 股部水泡
S70.800x031 髋部虫咬伤
S70.800x032 股部虫咬伤
S70.800x041 髋部浅表异物
S70.800x042 股部浅表异物
S70.900x001 髋部浅表损伤
S70.900x002 大腿浅表损伤
S70.900x003 股部浅表损伤
S70.901 大腿血肿
S80.000 膝挫伤
S80.100x002 小腿血肿
S80.101 小腿挫伤
S80.700 小腿多处浅表损伤
S80.800x011 小腿擦伤
S80.800x012 膝部擦伤
S80.800x013 腘窝擦伤
S80.800x021 小腿水泡
S80.800x022 膝部水泡
S80.800x023 腘窝水泡
S80.800x031 小腿虫咬伤
S80.800x032 膝部虫咬伤
S80.800x033 腘窝虫咬伤
S80.800x041 小腿浅表异物
S80.800x042 膝部浅表异物
S80.800x043 腘窝浅表异物
S80.900 小腿浅表损伤
S80.901 膝部血肿
S90.000 踝挫伤
S90.100 趾挫伤不伴有趾甲损坏
S90.200 趾挫伤伴有趾甲损坏
S90.300x001 副舟骨损伤
S90.300x002 距骨骨软骨损伤
S90.300x003 距骨后三角骨损伤
S90.301 足挫伤
S90.700 踝和足多处浅表损伤
S90.800x011 踝和足擦伤
S90.800x012 踝部擦伤
S90.800x013 足部擦伤
S90.800x021 踝足部水泡
S90.800x022 踝部水泡
S90.800x023 足部水泡
S90.800x031 踝和足虫咬伤
S90.800x032 踝部虫咬伤
S90.800x033 足部虫咬伤
S90.800x041 踝和足浅表异物
S90.800x042 踝部浅表异物
S90.800x043 足部浅表异物
S90.900x002 踝部浅表损伤
S90.900x003 足部浅表损伤
S90.901 趾甲血肿
T00.000x001 头和颈浅表损伤
T00.100x001 胸伴腹和下背及骨盆浅表损伤
T00.200x001 上肢多处浅表损伤
T00.300x001 下肢多处浅表损伤
T00.600x001 上肢和下肢多处浅表损伤
T00.800x001 身体复合部位的浅表损伤
T00.900 多处浅表损伤
T00.900x002 多处皮肤浅表擦伤
T00.900x003 多处皮肤浅表水疱
T00.900x004 多处皮肤浅表青肿
T00.900x005 多处皮肤浅表挫伤
T00.900x006 多处皮肤浅表血肿
T00.900x007 多处皮肤浅表无毒昆虫咬伤
T00.901 多处挫伤
T00.902 多处皮肤破损
T01.301 下肢皮肤套脱伤
T01.800x001 身体复合部位的开放性损伤
T09.000 躯干浅表损伤
T09.000x011 躯干浅表擦伤
T09.000x021 躯干浅表水疱
T09.000x031 躯干浅表昆虫咬伤
T09.000x041 躯干浅表异物
T09.000x051 躯干浅表挫伤
T11.000 上肢浅表损伤
T11.000x021 上肢浅表水疱
T11.000x031 上肢浅表昆虫咬伤
T11.000x041 上肢浅表异物
T11.000x051 上肢浅表挫伤
T11.001 上肢擦伤
T11.101 上肢皮肤裂伤
T13.000 下肢浅表损伤
T13.000x011 下肢浅表擦伤
T13.000x021 下肢浅表水疱
T13.000x031 下肢浅表昆虫咬伤
T13.000x041 下肢浅表异物
T13.000x051 下肢浅表挫伤
T14.000x003 冲浪运动员结节
T14.000x011 身体浅表擦伤
T14.000x021 身体浅表水疱
T14.000x031 身体浅表昆虫咬伤
T14.000x041 身体浅表异物
T14.001 皮肤挫伤
T14.002 无毒蜘蛛咬伤
T14.003 皮下血肿
T14.101 皮肤裂伤
