包含以下主要诊断：
A18.200x002 颌下淋巴结结核
H70.000 急性乳突炎
H70.000x007 乳突脓肿
H70.000x009 急性乳突积脓
H70.001 耳后脓肿
H70.002 急性化脓性乳突炎
H70.003 颈部贝佐尔德脓肿
H70.004 乳突囊肿
H70.100 慢性乳突炎
H70.101 耳后瘘管
H70.102 乳突骨疽
H70.103 乳突瘘
H70.200 岩锥炎
H70.201 岩锥脓肿
H70.800 乳突炎和有关情况,其他的
H70.800x001 岩尖病变
H70.800x002 颞部感染
H70.900 乳突炎
H71.x00 中耳胆脂瘤
H71.x01 慢性化脓性中耳炎胆脂瘤型
H71.x02 中耳肉芽肿
H71.x03 鼓室胆脂瘤
H71.x04 乳突胆脂瘤
H71.x05 颞骨胆脂瘤
H72.000 鼓膜中心穿孔
H72.001 鼓膜紧张部穿孔
H72.100 鼓膜鼓室上隐窝穿孔
H72.101 鼓膜松弛部穿孔
H72.200 鼓膜其他边缘性穿孔
H72.800 鼓膜的其他穿孔
H72.900 鼓膜穿孔
H73.000 急性鼓膜炎
H73.001 大疱性鼓膜炎
H73.100 慢性鼓膜炎
H73.101 慢性鼓室炎
H73.102 慢性肉芽性鼓膜炎
H73.800x005 血鼓室
H73.801 鼓室粘连
H73.802 鼓膜炎
H73.803 鼓室炎
H73.804 鼓膜萎缩
H73.900 鼓膜疾患
H74.000 鼓室硬化
H74.101 粘连性中耳炎
H74.201 听骨链中断
H74.300 听骨其他后天性异常
H74.300x003 听骨部分丧失
H74.300x004 听骨关节强硬
H74.400 中耳息肉
H74.801 中耳瘘
H74.802 慢性化脓性中耳炎骨疡型
H74.900 中耳和乳突疾患
H80.000x001 非闭塞性耳硬化累及前庭窗
H80.000x002 非闭塞性镫骨耳硬化
H80.100x001 闭塞性耳硬化累及前庭窗
H80.100x002 闭塞性镫骨耳硬化
H80.200 耳蜗性耳硬化症
H80.800x001 其他耳硬化
H80.900 耳硬化
H81.000 梅尼埃［美尼尔］病
H81.100 良性阵发性眩晕
H81.101 儿童良性阵发性眩晕
H81.200 前庭神经元炎
H81.301 莱穆瓦耶综合征
H81.302 耳源性眩晕
H81.303 前庭周围性眩晕
H81.400 中枢性眩晕
H81.400x003 中枢性位置性眼球震颤
H81.800 前庭功能的其他疾患
H81.900 前庭功能疾患
H81.901 眩晕综合征
H81.902 前庭系统病变
H83.000 迷路炎
H83.000x001 迷路炎[内耳炎]
H83.000x002 迷路周围炎
H83.100 迷路瘘管
H83.101 半规管瘘
H83.200 迷路功能障碍
H83.200x001 半规管轻瘫
H83.200x002 迷路机能减退
H83.200x003 前庭功能丧失
H83.300x001 爆震性聋
H83.301 声创伤
H83.302 噪音性耳聋
H83.800x002 自发性圆窗膜破裂
H83.800x003 迷路卒中
H83.800x004 上半规管裂综合征
H83.801 迷路出血
H83.900x001 内耳道肿物
H90.000 双侧传导性听觉丧失
H90.100 单侧传导性听觉丧失，对侧听觉不受限制
H90.200 传导性听觉丧失
H90.300 双侧感音神经性听觉丧失
H90.400 单侧感音神经性听觉丧失，对侧听觉不受~~限制
H90.500 感音神经性听觉丧失
H90.501 先天性耳聋
H90.502 非综合征性耳聋
H90.600 双侧混合性传导性和感音神经性听觉丧~~失
H90.700 单侧混合性传导性和感音神经性听觉丧~~失，对侧听觉不受限制
H90.801 混合性耳聋
H91.000 耳毒性听觉丧失
H91.001 药物性耳聋
H91.100 老年聋
H91.200 突发特发性听觉丧失
H91.200x001 突发性聋
H91.300x001 聋哑症
H91.801 创伤性耳聋
H91.900 听觉丧失
H91.900x002 听力减退
H91.900x004 低频率耳聋
H91.901 高频率耳聋
H92.000 耳痛
H92.100 耳漏
H92.100x001 耳流脓
H92.200 耳出血
H93.001 短暂缺血性聋
H93.100 耳鸣
H93.101 血管性耳鸣
H93.102 神经性耳鸣
H93.103 噪声性耳鸣
H93.200x002 听功能障碍
H93.200x005 听觉过敏
H93.201 复听
H93.300 听神经疾患
H93.301 听神经炎
H93.800x001 耳廓血肿机化
H93.900x001 耳甲腔囊肿
H93.901 耳后肿物
H95.000x001 胆脂瘤术后复发
H95.101 乳突切除术后空腔肉芽形成
H95.102 乳突切除术后空腔感染
H95.800 耳和乳突的其他操作后疾患
H95.900 耳和乳突的操作后疾患操作后并发症
H95.900x001 鼓室成形术后操作后并发症
H95.900x002 乳突根治术后操作后并发症
I77.001 头面部动静脉瘘
I77.003 耳廓动静脉瘘
I86.000 舌下静脉曲张
I88.101 慢性颈淋巴结炎
I88.102 慢性颌下淋巴结炎
I88.103 慢性颏下淋巴结炎
I88.104 慢性腮腺淋巴结炎
I88.900x004 颌下淋巴结炎
I88.900x007 腮腺肉芽肿性淋巴结炎
I89.000x014 头面部淋巴水肿
J00.x00 急性鼻咽炎［感冒］
J00.x00x004 急性鼻炎
J00.x00x006 感染性鼻炎
J00.x00x007 感染性鼻咽炎
J00.x00x008 急性卡他性鼻炎
J01.000 急性上颌窦炎
J01.001 急性化脓性上颌窦炎
J01.100 急性额窦炎
J01.200 急性筛窦炎
J01.300 急性蝶窦炎
J01.400 急性全鼻窦炎
J01.800 急性鼻窦炎，其他的
J01.900 急性鼻窦炎
J01.900x003 急性鼻窦脓肿
J01.901 急性化脓性鼻窦炎
J02.000 链球菌性咽炎
J02.801 病毒性咽炎
J02.802 病毒性咽喉痛
J02.900 急性咽炎
J02.900x002 急性化脓性咽峡炎
J02.900x005 急性咽喉痛
J02.901 急性化脓性咽炎
J02.902 急性咽峡炎
J02.903 溃疡性咽炎
J02.905 咽喉痛
J03.000 链球菌性扁桃体炎
J03.800 急性扁桃体炎,其他特指病原体引起的
J03.900 急性扁桃体炎
J03.900x001 扁桃体残根炎
J03.900x006 急性滤泡性扁桃体炎
J03.901 急性化脓性扁桃体炎
J03.902 急性腺样体炎
J04.000 急性喉炎
J04.000x004 急性感染性喉炎
J04.000x006 急性声门下喉炎
J04.000x008 急性溃疡性喉炎
J04.001 急性化脓性喉炎
J04.002 急性水肿性喉炎
J04.003 急性痉挛性喉炎
J04.004 链球菌性喉炎
J04.005 溃疡性喉炎
J04.100 急性气管炎
J04.200 急性喉气管炎
J05.000 急性梗阻性喉炎［哮吼］
J05.100 急性会厌炎
J06.000 急性咽喉炎
J06.000x002 过敏性咽喉炎
J06.800x001 急性咽气管炎
J06.900 急性上呼吸道感染
J06.900x001 病毒性上呼吸道感染
J09.x05+H67.1* 流感，人畜共患或大流行性流感~~病毒性中耳炎
J10.100 流行性感冒伴有其他呼吸道表现，季节性~~流感病毒被标明
J10.100x001 已知病毒的流行性感冒
J10.100x002 已知病毒的流感性急性上呼吸道感~~染
J10.100x003 已知病毒的流感性咽炎
J10.100x004 已知病毒的流感性喉炎
J10.101 甲型 H1N1 流行性感冒
J10.800 流行性感冒伴有其他表现，季节性流感病~~毒被标明
J10.803+H67.1* 已确认的季节性流感病毒性中耳~~炎
J10.804+G05.1* 已确认的季节性流感病毒性脑炎
J10.805+G05.1* 流行性感冒性脑炎，其他流感病~~毒被标明
J11.100x001 未知病毒的流感性感冒
J11.100x002 未知病毒的流感性急性上呼吸道感~~染
J11.100x003 未知病毒的流感性咽炎
J11.100x004 未知病毒的流感性喉炎
J11.102 流行性感冒伴胸膜渗漏
J11.802+H67.1* 未确认的流感病毒性中耳炎
J30.000 血管运动性鼻炎
J30.100 花粉引起的变应性鼻炎
J30.101 花粉症
J30.200 季节性变应性鼻炎，其他的
J30.300x001 药物性鼻炎
J30.300x002 全年性变应性鼻炎
J30.400 变应性鼻炎
J31.000 慢性鼻炎
J31.001 肥大性鼻炎
J31.002 溃疡性鼻炎
J31.003 肉芽肿性鼻炎
J31.004 萎缩性鼻炎
J31.005 干燥性鼻炎
J31.100 慢性鼻咽炎
J31.200 慢性咽炎
J31.201 慢性咽喉痛
J31.202 慢性咽峡炎
J31.203 肥大性咽炎
J31.204 萎缩性咽炎
J32.000 慢性上颌窦炎
J32.000x005 上颌窦肉芽肿
J32.000x009 出血性坏死性上颌窦炎
J32.001 慢性化脓性上颌窦炎
J32.002 坏死性上颌窦炎
J32.003 上颌窦瘘
J32.004 上颌窦脓肿
J32.005 口腔上颌窦瘘
J32.006 隐匿性鼻窦综合征
J32.100 慢性额窦炎
J32.100x005 额窦肉芽肿
J32.101 慢性化脓性额窦炎
J32.102 额窦脓肿
J32.200 慢性筛窦炎
J32.200x004 筛窦脓肿
J32.200x005 筛窦肉芽肿
J32.201 慢性化脓性筛窦炎
J32.300 慢性蝶窦炎
J32.300x004 蝶窦脓肿
J32.301 慢性化脓性蝶窦炎
J32.302 蝶窦肉芽肿
J32.400 慢性全鼻窦炎
J32.400x001 全组鼻窦炎
J32.800x001 额窦上颌窦炎
J32.800x002 额窦筛窦炎
J32.800x003 额窦蝶窦炎
J32.800x004 上颌窦蝶窦炎
J32.800x006 额窦筛窦上颌窦炎
J32.800x007 额窦上颌窦蝶窦炎
J32.800x008 筛窦上颌窦蝶窦炎
J32.800x009 筛窦蝶窦炎
J32.800x011 额窦筛窦蝶窦炎
J32.801 上颌窦筛窦炎
J32.802 额筛窦脓肿
J32.803 慢性多鼻窦炎
J32.900 慢性鼻窦炎
J32.900x007 鼻窦滴漏综合征
J32.900x008 上颌窦肿物
J32.900x009 筛窦肿物
J32.900x010 额窦肿物
J32.900x011 蝶窦肿物
J32.901 慢性化脓性鼻窦炎
J32.902 慢性牙源性鼻窦炎
J32.903 鼻窦瘘
J32.904 鼻窦肉芽肿
J32.905 鼻窦脓肿
J32.906 鼻窦肿物
J33.000 鼻腔息肉
J33.000x002 鼻咽部毛息肉
J33.001 鼻咽息肉
J33.002 鼻中隔息肉
J33.003 鼻后孔息肉
J33.100 鼻窦息肉样退行性变
J33.800x002 额窦息肉
J33.801 鼻窦息肉
J33.802 鼻甲息肉
J33.803 蝶窦息肉
J33.804 筛窦息肉
J33.805 上颌窦息肉
J33.900 鼻息肉
J34.000x004 鼻坏死
J34.000x010 鼻中隔肉芽肿
J34.001 鼻部脓肿
J34.002 鼻疖
J34.003 鼻溃疡
J34.004 鼻痈
J34.005 鼻中隔坏死
J34.006 鼻中隔溃疡
J34.007 鼻中隔脓肿
J34.008 鼻蜂窝织炎
J34.100x008 鼻窦粘液囊肿
J34.101 蝶窦囊肿
J34.102 额窦囊肿
J34.103 筛窦囊肿
J34.104 上颌窦囊肿
J34.105 鼻囊肿
J34.106 鼻窦囊肿
J34.107 鼻甲囊肿
J34.108 鼻前庭囊肿
J34.200 鼻中隔偏曲
J34.300 鼻甲肥大
J34.800x001 鼻部感染
J34.800x002 鼻部瘘管
J34.800x004 钩突肥大
J34.800x006 铬鼻病
J34.800x009 后天性鼻孔狭窄
J34.800x019 鼻中隔血肿
J34.800x020 泡性中鼻甲
J34.800x033 鼻前庭肿物
J34.800x034 鼻中隔肿物
J34.801 鼻中隔-鼻甲粘连
J34.802 后天性鼻腔闭锁
J34.803 鼻漏
J34.804 鼻石
J34.805 鼻孔狭窄
J34.806 鼻前庭炎
J34.807 鼻甲粘连
J34.809 鼻腔粘连
J34.810 鼻腔肿物
J34.811 鼻腔狭窄
J34.812 鼻翼肥大
J34.813 鼻中隔穿孔
J35.000 慢性扁桃体炎
J35.100 扁桃体肥大
J35.200 腺样体肥大
J35.300 扁桃体肥大伴有腺样体肥大
J35.800x008 扁桃体瘢痕
J35.800x009 腺样体瘢痕
J35.801 扁桃体残体
J35.802 扁桃体溃疡
J35.803 扁桃体囊肿
J35.804 扁桃体结石
J35.805 扁桃体息肉
J35.806 扁桃体角化病
J35.807 扁桃体腺样体瘢痕
J35.808 腺样体残体
J35.809 腺样体赘生物
J35.901 扁桃体肿物
J36.x00 扁桃体周脓肿
J36.x00x001 扁桃体脓肿
J36.x00x003 扁桃体周围炎
J36.x00x004 扁桃体周围蜂窝组织炎
J37.000 慢性喉炎
J37.001 慢性喉咽炎
J37.002 慢性会厌炎
J37.003 肥厚性喉炎
J37.004 会厌炎性假瘤
J37.005 干燥性喉炎
J37.100 慢性喉气管炎
J38.000x001 喉上神经麻痹
J38.000x002 喉神经麻痹
J38.000x005 声门麻痹
J38.000x006 声带活动不良
J38.000x011 单侧不完全声带麻痹
J38.000x012 单侧不完全喉麻痹
J38.000x021 单侧完全声带麻痹
J38.000x022 单侧完全喉麻痹
J38.000x031 双侧不完全声带麻痹
J38.000x032 双侧不完全喉麻痹
J38.001 喉麻痹
J38.002 声带麻痹
J38.101 喉息肉
J38.102 声带息肉
J38.200 声带结节
J38.200x001 歌手结节
J38.200x002 教师结节
J38.201 声带炎
J38.300x008 声带粘连
J38.300x011 声带增生
J38.300x013 声带蜂窝织炎
J38.300x015 声带鳞状上皮不典型性增生
J38.300x016 声带沟
J38.300x018 声带闭合不全
J38.301 声带白斑
J38.302 声带出血
J38.303 声带固定
J38.304 声带囊肿
J38.305 声带脓肿
J38.307 声带松弛
J38.308 声带肿物
J38.309 声带角化症
J38.310 声带瘢痕粘连
J38.311 声带不典型性增生
J38.312 声带肉芽肿
J38.313 声带肥厚
J38.400 喉水肿
J38.400x002 声门下水肿
J38.400x003 声门上水肿
J38.400x004 声门水肿
J38.401 声带任克氏间隙水肿
J38.402 声带水肿
J38.500 喉痉挛
J38.600 喉狭窄
J38.601 喉梗阻
J38.700x001 喉室带囊肿
J38.700x003 喉肌弱症
J38.700x007 喉内炎性肿物
J38.700x009 喉坏死
J38.700x013 环杓关节炎
J38.700x017 室带肥厚
J38.700x021 喉蜂窝织炎
J38.700x022 喉软骨膜炎
J38.700x027 喉粘膜不典型增生
J38.701 后天性喉瘘
J38.702 创伤性喉蹼
J38.703 喉瘢痕
J38.704 喉溃疡
J38.705 喉囊肿
J38.706 喉白斑
J38.707 喉脓肿
J38.708 喉肿物
J38.709 喉皮肥厚
J38.710 喉肉芽肿
J38.711 喉硬结病
J38.712 喉角化症
J38.714 会厌溃疡
J38.715 会厌囊肿
J38.716 会厌脓肿
J38.717 会厌肉芽肿
J38.718 会厌增生
J38.719 声门狭窄
J38.720 环杓关节强硬
J38.721 舌骨大角综合征
J39.000x001 咽侧壁炎性肿物
J39.001 咽后脓肿
J39.002 咽周脓肿
J39.003 咽旁脓肿
J39.101 咽蜂窝织炎
J39.200x004 咽下部囊肿
J39.200x008 喉咽部狭窄
J39.200x009 咽下部狭窄
J39.200x015 咽肌麻痹
J39.200x016 鼻咽肿物
J39.200x020 鼻咽溃疡
J39.201 瘢痕性咽狭窄
J39.202 鼻咽瘘
J39.203 鼻咽囊肿
J39.204 鼻咽狭窄
J39.205 鼻咽粘连
J39.206 鼻咽黏膜溃疡
J39.207 腭咽增生
J39.208 梨状窝囊肿
J39.209 梨状窝息肉
J39.210 咽瘘
J39.212 咽水肿
J39.213 咽狭窄
J39.214 咽角化症
J39.215 咽部囊肿
J39.216 咽喉溃疡
J39.217 咽喉粘连
J39.218 咽肌痉挛
J39.219 咽部肿物
J39.220 咽旁间隙感染
J39.221 咽旁间隙囊肿
J39.222 环咽肌痉挛
J39.223 手术后咽瘘
J39.224 鼻咽部病变
J39.225 鼻咽淋巴组织增生
J39.300 上呼吸道过敏反应
J39.809 气管坏死
J39.811 后天性气管憩室
J39.900 上呼吸道疾病
J70.900 外部物质引起的呼吸性情况
J95.000 气管造口术功能不全
J95.000x001 气管造口术后吻合口脓毒病
J95.000x002 气管切开术后拔管困难
J95.000x007 气管造口术后口出血
J95.001 气管造口术后气管皮肤瘘
J95.003 气管造口术后狭窄
J95.004 气管造口术后气管食管瘘
J95.005 气管造口术后气道阻塞
J95.400 门德尔松综合征
J95.500 操作后的声门下狭窄
J95.501 手术后喉狭窄
J95.800x001 气管插管后喉水肿
J95.800x010 气管吻合口狭窄
J95.800x012 手术后气管食管瘘
J95.800x013 手术后气管瘘
J95.803 空鼻综合征
J95.805 手术后喉水肿
J95.806 手术后声带麻痹
J95.807 手术后声带粘连
J95.809 手术后喉粘连
K00.000 无牙症
K00.000x003 少牙畸形
K00.000x004 先天缺牙
K00.001 牙齿发育不全
K00.002 牙齿缺少
K00.100x001 多生牙
K00.101 第四臼齿
K00.200x001 巨牙症
K00.200x002 釉珠
K00.200x003 过小牙
K00.200x005 牛牙症
K00.200x009 畸形中央尖
K00.200x010 牙内陷
K00.201 双生牙
K00.202 结合齿
K00.203 套叠齿
K00.204 融合齿
K00.205 圆锥齿
K00.206 齿前突
K00.207 齿中突
K00.300x002 无氟釉质不透明
K00.301 氟牙症
K00.400 牙形成障碍
K00.400x001 弯曲牙
K00.400x002 特奈牙
K00.400x004 牙根发育不良
K00.401 区域性牙齿发育异常
K00.402 釉质发育不全(新生儿)(生后)(生前)
K00.500x002 壳状牙
K00.501 牙本质发育不全
K00.502 牙生长不全
K00.503 釉质发生不全
K00.600x002 诞生牙
K00.600x006 恒牙萌出过迟
K00.600x007 恒牙早萌
K00.600x008 低位乳牙
K00.601 个别乳磨牙早失
K00.602 新生儿牙
K00.603 牙齿萌出过早
K00.604 牙齿萌出过晚
K00.605 乳齿过早脱落
K00.608 乳牙滞留
K00.700 出牙综合征
K00.800x002 四环素牙
K00.801 牙齿形成期间颜色改变
K00.900 牙发育疾患
K01.000 埋伏牙
K01.100 阻生牙
K02.000 牙釉质龋
K02.001 牙齿白斑点损害
K02.100 牙本质龋
K02.101 乳牙中龋
K02.200 牙骨质龋
K02.300 静止龋
K02.400x001 牙折断
K02.400x002 婴儿黑牙病
K02.400x003 黑牙折断
K02.500 龋齿伴牙髓暴露
K02.800x001 继发龋
K02.800x002 急性龋
K02.800x003 乳牙浅龋
K02.800x005 乳牙深龋
K02.800x006 恒牙浅龋
K02.800x007 恒牙中龋
K02.800x008 恒牙深龋
K02.900x001 龋病
K02.901 蔓延性龋
K03.000 牙过度磨耗
K03.000x002 牙齿颌面磨损
K03.001 邻面磨损
K03.100x001 牙齿磨损
K03.101 牙齿楔状缺损
K03.102 净齿剂牙磨损
K03.103 习惯性牙磨损
K03.104 职业性牙磨损
K03.105 宗教仪式性牙磨损
K03.106 传统性牙磨损
K03.200x002 牙酸蚀病
K03.201 特发性牙腐蚀
K03.202 药物性牙腐蚀
K03.203 职业性牙腐蚀
K03.204 持续性呕吐致牙腐蚀
K03.300 牙病理性吸收
K03.300x001 牙髓内部肉芽肿
K03.300x002 牙根外吸收
K03.300x003 牙内吸收
K03.400 牙骨质增生
K03.401 齿槽骨质增生
K03.500 牙骨粘连
K03.600x001 牙齿变色
K03.601 牙石
K03.602 龈下牙石(龈下垢)
K03.603 龈上牙石(龈上垢)
K03.604 牙上沉积物
K03.700 牙硬组织萌出后颜色改变
K03.800x001 辐照性牙釉质
K03.800x002 牙本质过敏症
K03.800x003 牙隐裂
K03.800x005 牙震荡
K03.801 牙根纵裂
K03.900 牙硬组织疾病
K04.000 牙髓炎
K04.000x007 溃疡性牙髓炎
K04.000x008 增生性牙髓炎
K04.001 急性牙髓炎
K04.002 慢性牙髓炎
K04.006 可逆性牙髓炎
K04.007 不可逆性牙髓炎
K04.100 牙髓坏死
K04.101 牙髓坏疽
K04.200 牙髓变性
K04.200x003 牙髓钙化
K04.201 牙髓石
K04.300 牙髓异常硬组织形成
K04.400 急性牙髓源性根尖牙周炎
K04.401 急性根尖周炎
K04.500 慢性根尖牙周炎
K04.500x001 慢性根尖周炎
K04.501 根尖肉芽肿
K04.600 根尖周脓肿伴有窦道
K04.700 根尖周脓肿不伴有窦道
K04.701 根尖脓肿
K04.702 牙槽脓肿
K04.703 剩余牙根脓肿
K04.800 牙根囊肿
K04.801 根尖囊肿
K04.802 根尖周囊肿
K04.803 残余牙根囊肿
K04.900 牙髓和根尖周组织其他和未特指的疾病
K04.901 牙髓和根尖周组织疾病
K04.902 牙周牙髓综合征
K05.000 急性龈炎
K05.000x002 急性龈乳头炎
K05.100 慢性龈炎
K05.100x005 龈炎
K05.100x008 青春期龈炎
K05.100x010 龈乳头炎
K05.100x011 菌斑性龈炎
K05.100x012 萌出性龈炎
K05.100x013 浆细胞龈炎
K05.101 化脓性牙龈炎
K05.102 增生性牙龈炎
K05.103 溃疡性龈炎
K05.104 边缘性龈炎
K05.105 肥大性龈炎
K05.106 脱屑性龈炎
K05.200 急性牙周炎
K05.200x002 急性多发性龈脓肿
K05.201 牙周脓肿
K05.202 牙冠周脓肿
K05.203 牙龈脓肿
K05.204 急性冠周炎
K05.300 慢性牙周炎
K05.300x002 复合性牙周炎
K05.301 单纯性牙周炎
K05.400 牙周变性
K05.400x002 幼年牙周变性
K05.500x001 咬合创伤
K05.500x002 侵袭性牙周炎
K05.500x003 根分歧病变
K05.500x005 种植体周围炎
K05.600 牙周病
K06.000 牙龈退缩
K06.000x002 局部性牙龈退缩
K06.000x003 感染后牙龈退缩
K06.000x004 手术后牙龈退缩
K06.100 牙龈增厚
K06.100x001 牙龈增生
K06.100x002 药物性牙龈增生
K06.100x003 遗传性龈纤维瘤病
K06.200 与创伤有关的牙龈和无牙牙槽嵴损害
K06.800x009 牙周巨细胞肉芽肿
K06.800x012 牙龈黑斑
K06.800x013 牙龈粘膜色素沉着
K06.800x014 种植体周围黏膜炎
K06.800x015 白血病的龈病损
K06.801 牙龈化脓性肉芽肿
K06.802 巨细胞性牙龈瘤
K06.803 牙龈瘤
K06.804 牙龈出血
K06.805 牙龈瘘管
K06.806 牙龈溃疡
K06.807 牙龈息肉
K06.808 牙槽嵴松弛
K06.809 纤维性牙龈瘤
K06.810 龈沟赘生物
K06.900 牙龈和无牙牙槽嵴疾患
K06.901 牙龈肿物
K07.000x002 上颌骨纤维增生
K07.000x004 下颌骨增生
K07.000x007 巨上颌
K07.000x008 小下颌
K07.000x009 小上颌
K07.000x011 颏后缩
K07.000x012 方颏畸形
K07.000x013 颏部畸形
K07.002 巨颌症
K07.003 颌骨发育不全
K07.004 上颌骨骨质增生
K07.005 上颌骨发育不全
K07.006 下颌骨骨质增生
K07.007 下颌发育不全
K07.008 下颌角肥大
K07.009 下颌角肥大伴咬肌肥大
K07.010 小颌畸形
K07.011 小颏畸形
K07.012 唇腭裂术后颌骨发育不全
K07.100x008 错??畸形骨性 I 类
K07.100x009 错??畸形骨性Ⅱ类
K07.100x010 错??畸形骨性Ⅲ类
K07.100x011 颏部前突
K07.100x012 上颌前突下颌后缩
K07.100x014 上颌后缩下颌前突
K07.100x015 长面综合征
K07.100x016 短面综合征
K07.100x017 下颌前突偏斜
K07.101 偏颌畸形
K07.102 双突颌畸形
K07.103 上颌后缩
K07.104 上颌前突
K07.105 上下颌前突畸形
K07.106 下颌后缩
K07.107 下颌偏斜
K07.108 下颌前突
K07.109 颌后缩
K07.110 颌骨不对称
K07.200x001 后牙开??
K07.200x002 后牙锁合
K07.200x003 前牙反??
K07.200x005 深覆??
K07.200x011 错??畸形安氏 I 类
K07.200x012 错??畸形安氏Ⅱ类
K07.200x013 错??畸形安氏Ⅲ类
K07.200x014 深覆盖
K07.201 覆咬合
K07.202 前牙开??
K07.203 牙弓中线偏离
K07.204 咬合异常
K07.205 反??
K07.300x003 牙齿位置异常
K07.300x005 牙齿间隙
K07.300x006 牙齿扭转
K07.300x007 牙齿移位
K07.300x008 第一恒磨牙异位萌出
K07.300x009 牙的病理性移位
K07.301 牙错位
K07.302 牙列不齐
K07.303 牙体缺损
K07.304 牙拥挤
K07.305 异位牙
K07.400x001 错??畸形
K07.500x002 颌骨闭合异常
K07.600 颞下颌关节疾患
K07.600x001 颞下颌关节紊乱病
K07.600x003 颞下颌关节强直
K07.602 颞颌关节综合征
K07.603 颞颌关节骨关节病
K07.604 颞颌关节炎
K07.800x001 颜面部缺损
K07.900 牙面畸形
K07.901 下颌畸形
K07.902 颌骨畸形
K07.903 颌骨先天畸形
K08.000 全身性疾病引起的牙脱落
K08.101 单颌牙列缺失
K08.102 外伤性牙齿缺失
K08.103 后天性牙齿缺失
K08.104 牙列部分缺失
K08.201 无牙牙槽突萎缩
K08.202 牙槽骨萎缩
K08.203 牙槽嵴萎缩
K08.204 牙槽突萎缩
K08.300x002 残留牙根
K08.302 残冠
K08.801 牙痛
K08.802 牙槽嵴裂
K08.803 牙槽突不齐
K08.804 牙槽嵴黏膜角化过度
K08.805 牙槽突裂
K08.806 牙槽出血
K08.807 牙槽隐性裂
K08.808 牙槽嵴增大
K08.809 牙槽骨缺损
K08.900 牙及支持结构疾患
K09.000 发育性牙源性囊肿
K09.000x005 颌骨发育性牙源性囊肿
K09.000x007 颌骨始基囊肿
K09.001 含牙囊肿
K09.002 萌牙囊肿
K09.003 牙龈囊肿
K09.004 颌骨含牙囊肿
K09.005 始基囊肿
K09.100x001 腭骨囊肿
K09.100x003 球上颌囊肿
K09.100x004 口腔发育性(非牙源性)囊肿
K09.100x006 鼻腭囊肿
K09.102 鼻牙槽囊肿
K09.103 鼻腭管囊肿
K09.200 颌的其他囊肿
K09.200x001 颌骨囊肿
K09.201 颌出血性囊肿
K09.202 颌动脉瘤性囊肿
K09.203 髁状突囊肿
K09.204 上颌骨囊肿
K09.205 下颌骨囊肿
K09.800x005 爱泼斯坦小结[口底皮样囊肿]
K09.801 腮腺淋巴上皮囊肿
K09.804 颏部皮样囊肿
K09.805 颊囊肿
K09.806 口腔表皮样囊肿
K09.807 口腔皮样囊肿
K09.808 口腔黏液腺囊肿
K09.809 口腔淋巴上皮囊肿
K09.900x001 口腔囊肿
K10.000 颌的发育性疾患
K10.000x002 腭隆凸
K10.000x003 颌的潜伏性骨囊肿
K10.000x004 斯塔夫尼囊肿
K10.001 下颌隆凸
K10.002 腭裂手术后畸形
K10.100 中心性巨细胞肉芽肿
K10.100x001 颌骨中枢性巨细胞病变
K10.100x003 颌下区肉芽肿
K10.101 颌骨巨细胞修复性肉芽肿
K10.102 颌骨巨细胞肉芽肿
K10.103 颌肉芽肿
K10.201 放射性颌骨坏死
K10.204 颌骨炎性增生
K10.205 颌骨骨炎
K10.206 颌骨死骨
K10.208 髁状突炎
K10.211 慢性颌骨炎
K10.212 下颌炎性窦道
K10.213 下颌骨局限坏死
K10.214 翼腭窝炎
K10.300x003 颌骨牙槽炎
K10.301 牙槽骨骨炎
K10.302 干槽症
K10.800x002 腭血肿
K10.800x005 颌骨纤维异常增殖症
K10.800x006 颌骨骨质增生
K10.800x008 家族性巨颌症
K10.800x010 颌骨单侧髁突增生
K10.800x011 颌骨单侧髁突发育不全
K10.800x012 髁突肥大
K10.801 单侧髁状突肥大
K10.802 髁状突骨疣
K10.803 后天性腭畸形
K10.804 颌骨纤维结构发育不良
K10.805 颌外生性骨疣
K10.808 上腭穿孔
K10.809 颌部瘤样纤维组织增生
K10.900x002 颌骨缺损
K10.901 颌骨肿物
K11.000 涎腺萎缩
K11.100x002 下颌下腺良性增生
K11.100x004 唾液腺肥大
K11.101 腮腺肥大
K11.102 颌下腺肥大
K11.200 涎腺炎
K11.200x009 下颌下腺炎
K11.200x011 舌下腺炎
K11.200x012 慢性唾液腺炎
K11.200x014 硬化性唾液腺炎
K11.201 急性腮腺炎
K11.202 急性颌下腺炎
K11.203 急性舌下腺炎
K11.204 慢性腮腺炎
K11.205 慢性颌下腺炎
K11.206 慢性舌下腺炎
K11.207 腮腺炎性假瘤
K11.208 硬化性涎腺炎
K11.209 阻塞性颌下腺炎
K11.210 阻塞性腮腺炎
K11.211 化脓性腮腺炎
K11.300 涎腺脓肿
K11.301 腮腺脓肿
K11.302 颌下腺脓肿
K11.303 舌下腺脓肿
K11.400 涎腺瘘
K11.400x003 唾液导管瘘
K11.401 腮腺瘘
K11.402 腮腺导管瘘
K11.404 颌下腺瘘
K11.500x003 舌下管结石
K11.500x005 唾液腺导管结石
K11.501 腮腺导管结石
K11.503 颌下腺导管结石
K11.600 涎腺黏液囊肿
K11.600x005 口腔黏膜粘液囊肿
K11.600x008 舌下腺粘液囊肿
K11.601 腮腺囊肿
K11.602 腮腺涎液潴留
K11.603 舌下腺囊肿
