包含以下主要诊断：
B90.000 中枢神经系统结核的后遗症
Z27.200 为抗白喉-破伤风-百日咳伴有伤寒-副伤~~寒采取必要的免疫[DTP+TAB]
Z27.300 为抗白喉-破伤风-百日咳伴有脊髓灰质~~炎采取必要的免疫[DTP+脊灰]
Z27.400x001 麻疹-流行性腮腺炎-风疹联合预防~~接种
Z27.800 为抗其他多种传染病采取必要的联合免~~疫
Z27.900 为抗多种传染病采取必要的联合免疫
Z28.000 由于禁忌证未进行免疫
Z28.100 由于信仰或群体压力使病人决定不进行~~免疫
Z28.101 由于群体压力使病人决定不进行免疫
Z28.201 病人决定不进行免疫
Z28.800 由于其他原因未进行免疫
Z28.900 未进行免疫
Z29.000 隔离
Z29.100 预防性免疫治疗
Z29.101 术后免疫治疗
Z29.200x001 化学预防
Z29.201 预防性抗生素治疗
Z29.800 预防措施，其他特指的
Z29.900 预防措施
Z30.000x001 计划生育指导
Z30.000x002 有关避孕的初次指导
Z30.000x003 有关避孕的咨询
Z30.101 安装曼月乐环
Z30.102 安装输卵管内节育器
Z30.103 安装子宫内节育器
Z30.201 腹腔镜绝育
Z30.202 输卵管绝育
Z30.203 输精管绝育
Z30.301 防止妊娠
Z30.302 月经调节
Z30.400x001 维持避孕的常规检查
Z30.400x003 避孕药的再次指导
Z30.400x004 避孕装置的再次指导
Z30.500x011 皮下避孕针埋植术
Z30.501 更换子宫内节育器
Z30.503 取除子宫内节育器
Z30.504 取除皮下避孕针
Z30.505 放置输卵管内避孕器失败
Z30.800x001 输精管切除术后精子计数
Z30.800x002 放置子宫内避孕装置失败
Z30.800x003 放置输卵管内避孕装置
Z30.800x004 放置输卵管内避孕装置失败
Z30.800x005 放置避孕装置后避孕失败
Z30.900 避孕问题
Z31.202 ICSI 术后
Z31.203 PGD 术后
Z31.400x003 生育检验
Z31.400x004 生育调查
Z31.401 输卵管吹气术
Z31.402 精子计数
Z31.500 遗传咨询
Z31.600x001 关于生育的一般性咨询和指导
Z31.900 生育问题
Z32.000x001 妊娠未确认
Z32.100 确认妊娠
Z39.100x001 哺乳期的监督
Z39.100x002 授乳的指导
Z39.100x003 授乳母亲的医疗照顾
Z39.200x001 产后随诊
Z40.000x001 为预防恶性肿瘤的手术医疗
Z40.900x001 预防性手术医疗
Z41.300 穿耳孔
Z41.800x002 处女膜修复
Z41.801 文身
Z41.900 非以改善健康状况为目的操作
Z42.000 涉及头和颈整形手术的随诊医疗
Z42.900 涉及整形手术的随诊医疗
Z43.000 气管造口维护
Z43.000x002 气管套管拔除
Z43.001 关闭气管造口
Z43.100 胃造口维护
Z43.101 更换胃造瘘导管
Z43.102 关闭胃造口
Z43.200 回肠造口维护
Z43.201 关闭回肠造口
Z43.300 结肠造口维护
Z43.301 关闭结肠造口
Z43.302 巨结肠术后肠造瘘
Z43.400x002 去除 T 型引流管
Z43.400x003 T 型引流管置换
Z43.400x004 胰管内支架维护
Z43.400x005 胆管内支架维护
Z43.401 关闭消化道人工造口
Z43.402 更换胆管引流管
Z43.403 胆道引流术后 T 管拔管
Z43.500 膀胱造口维护
Z43.600x002 输尿管造口维护
Z43.601 肾造口维护
Z43.602 取除肾盂造瘘管
Z43.603 取除输尿管支架
Z43.604 尿道造口维护
Z43.700 人工阴道维护
Z43.801 脑室引流管维护
Z43.802 关闭动静脉造口
Z43.900x001 人工造口维护
Z44.300 外部假乳房的安装和调整
Z45.101 取除输注泵
Z45.200 血管通路装置的调整和管理
Z45.201 取除下腔静脉滤器
Z45.202 取除输液港
Z45.802 取除喉模
Z45.803 取除胃内支架
Z45.804 更换胆管支架
Z45.805 取除胆管支架
Z45.806 取除宫颈管支架
Z45.807 安装阴道模具
Z45.900 植入装置的调整和管理
Z46.500x001 回肠造口的安装和调整
Z46.501 更换空肠造口导管
Z46.502 调整或更换回肠造口导管
Z46.503 调整或更换结肠造口导管
Z46.700 矫形外科用装置的安装和调整
Z46.701 调整外固定支架
Z47.800x003 合成植入物植入术后随诊医疗
Z47.800x004 乳房假体植入术后随诊医疗
Z47.800x005 隆鼻术后随诊医疗
Z47.800x006 瘢痕切除术后随诊医疗
Z47.800x007 耳再造术后随诊医疗
Z47.800x008 乳房英捷尔法勒注射术后随诊医疗
Z47.800x009 尿道下裂术后随诊医疗
Z47.800x010 鼻再造术后随诊医疗
Z47.800x011 乳房再造术后随诊医疗
Z47.800x012 磨削术后随诊医疗
Z47.800x013 阴道再造术后随诊医疗
Z47.800x014 下颌骨延长器植入术后随诊医疗
Z47.800x015 睑再造术后随诊医疗
Z47.800x016 眼睑整形术后随诊医疗
Z47.800x017 重睑术后随诊医疗
Z47.800x018 吸脂术后随诊医疗
Z47.800x019 整形外科术后随诊医疗
Z47.800x020 尿道术后随诊医疗
Z47.800x021 阴道英捷尔法勒注射术后随诊医疗
Z47.800x022 阴茎再造术后随诊医疗
Z47.800x023 面部除皱术后随诊医疗
Z47.800x024 颏英捷尔法勒注射术后随诊医疗
Z47.800x025 颌骨手术后随诊医疗
Z47.800x026 皮肤英捷尔法勒注射后随诊医疗
Z47.800x027 脂肪注射术后随诊医疗
Z47.800x028 皮管成形术后随诊医疗
Z47.800x029 乳房人工材料注射术后随诊医疗
Z47.800x030 颧骨截骨术后随诊医疗
Z47.800x031 皮肤奥美定注射术后随诊医疗
Z47.800x032 外耳义耳植入术后随诊医疗
Z47.800x033 上颌后缩截骨牵引术后随诊医疗
Z47.800x034 骨固定装置植入术后随诊医疗
Z47.800x035 颏部水平截骨术后随诊医疗
Z47.800x036 扩张器植入术后随诊医疗
Z47.900 矫形外科的随诊医疗
Z48.000x001 手术后拆除缝线
Z48.000x002 手术后更换敷料
Z48.900x001 手术后随诊医疗
Z50.000 心脏病康复
Z50.100x001 物理治疗
Z50.101 脑出血后物理康复训练
Z50.200 酒精滥用康复
Z50.300 药物滥用康复
Z50.400x001 心理治疗
Z50.500 言语治疗
Z50.501 脑出血后语言康复训练
Z50.600 视轴矫正训练
Z50.700x001 职业康复训练和治疗
Z50.800x002 烟草滥用康复
Z50.801 烧伤后康复治疗
Z50.900x001 康复医疗
Z51.300 无诊断报告的输血
Z51.400x002 随后治疗的准备医疗
Z51.400x003 自体血准备
Z51.600 对变应原脱敏
Z51.901 对症治疗
Z52.000 供血者
Z52.001 供干细胞者
Z52.300x002 骨髓干细胞供者
Z52.900 器官或组织的供者
Z54.000 手术后恢复期
Z54.000x002 睑袋术后恢复期
Z54.000x003 吸脂术后恢复期
Z54.000x004 隆鼻术后恢复期
Z54.000x005 重睑术后恢复期
Z54.000x006 毛发移植术后恢复期
Z54.000x007 瘢痕切除术后恢复期
Z54.000x008 痣切除术后恢复期
Z54.000x009 睑闭合不全矫正术后恢复期
Z54.000x010 开放性外伤术后恢复期
Z54.000x012 面部瘢痕磨削术后恢复期
Z54.000x013 上睑下垂术后恢复期
Z54.000x014 拆线术后恢复期
Z54.000x015 假体取出术后恢复期
Z54.000x016 扩张器植入术后恢复期
Z54.000x017 除皱术后恢复期
Z54.000x018 皮肤异物取出术后恢复期
Z54.000x019 睑外翻术后恢复期
Z54.000x020 隆颏术后恢复期
Z54.000x021 内眦成形术后恢复期
Z54.000x022 骨折术后恢复期
Z54.100 放疗后恢复期
Z54.200x001 恶性肿瘤化学治疗后恢复期
Z54.300 心理治疗后恢复期
Z54.400 骨折治疗后恢复期
Z54.700 联合治疗后恢复期
Z54.800x001 风疹恢复期
Z54.800x002 肝炎恢复期
Z54.800x003 脊髓灰质炎恢复期
Z54.800x004 脑外伤恢复期
Z54.800x005 脑炎恢复期
Z54.800x006 沙眼恢复期
Z54.800x007 天花恢复期
Z54.800x008 乙肝恢复期
Z54.800x009 脑膜炎恢复期
Z54.800x010 肺炎恢复期
Z54.900x001 治疗后恢复期
Z57.000 职业性暴露于噪声
Z57.100 职业性暴露于辐射
Z57.201 接触粉尘
Z57.300 职业性暴露于其他大气污染
Z57.400 职业性暴露于农业毒物
Z57.501 接触锰
Z57.502 接触苯
Z57.503 接触铅
Z57.504 接触汞
Z57.505 接触二氯乙烷
Z57.506 接触甲苯二异氢酸
Z57.507 接触二氯油硝基苯
Z57.508 接触汽油
Z57.600 职业性暴露于极端温度
Z57.700 职业性暴露于振动
Z57.800 职业性暴露于其他危险因素
Z57.900 职业性暴露于危险因素
Z58.000 暴露于噪声，具有潜在健康问题
Z58.100 暴露于大气污染，具有潜在健康问题
Z58.200 暴露于水污染，具有潜在健康问题
Z58.300 暴露于土壤污染，具有潜在健康问题
Z58.400 暴露于辐射，具有潜在健康问题
Z58.500 暴露于其他污染，具有潜在健康问题
Z58.600 饮用水供应不足，具有潜在健康问题
Z58.700 暴露于烟草烟雾，具有潜在健康问题
Z59.000x001 与无家可归有关的问题
Z60.000x001 对生活周期转换的适应问题
Z60.100x001 与单亲家庭有关的问题
Z60.200x001 与独自生活有关的问题
Z60.300x002 与社会移居者有关的问题
Z61.000x001 与童年时失去所爱亲属有关的问题
Z61.100x001 与童年离家有关的问题
Z61.200x001 与童年时家庭关系模式改变有关的~~问题
Z61.300x001 与童年时导致丧失自尊事件有关的~~问题
Z61.400x001 与儿童据说受家族内成员的性虐待~~有关的问题
Z61.500x001 与儿童据说受家族以外人员的性虐~~待有关问题
Z61.600x001 与儿童据说身体被虐待有关的问题
Z61.700x001 与童年时受惊吓的经历有关的问题
Z61.900x001 与童年时消极生活事件有关的问题
Z62.000x001 与父母监督和管教不足有关的问题
Z62.100x001 与父母溺爱有关的问题
Z62.200x001 与公共机构的养育有关的问题
Z62.300x001 与敌视儿童和儿童代为受过有关的~~问题
Z62.400x001 与对儿童情感的忽视有关的问题
Z62.500x001 与缺乏学习和游戏的体验有关的问~~题
Z62.600x001 与父母的不适当压力和异常性质的~~养育有关的问题
Z63.100x001 与亲子有关的问题
Z63.200x001 与家庭生活不适当有关的问题
Z63.300x001 与家庭成员缺少有关的问题
Z63.400x001 与家庭成员假定的死亡有关的问题
Z63.400x002 与家庭成员失踪有关的问题
Z63.400x003 与家庭成员死亡有关的问题
Z63.500x001 与离婚使家庭分裂有关的问题
Z63.500x002 与分居使家庭分裂有关的问题
Z63.500x003 与疏远有关的问题
Z63.700x001 与影响家庭和家属的充满压力的生~~活事件有关的问题
Z63.700x011 与家庭中的酒精中毒有关的问题
Z63.700x021 与家庭中的赌博有关的问题
Z63.700x091 与家中的健康问题有关的问题
Z63.700x092 与患病或受滋扰的家庭成员有关的~~问题
Z63.700x093 与孤立的家庭有关的问题
Z63.800x001 与家庭不和有关的问题
Z63.800x002 与家中表现的高度情绪激动有关的~~问题
Z63.800x003 与家中交往不足有关的问题
Z63.800x004 与家中交往曲解有关的问题
Z64.100x001 与多产有关的问题
Z64.400x001 与监督缓刑犯的官员不和的有关问~~题
Z64.400x002 与社会工作者不和的有关问题
Z64.400x003 与顾问不和的有关问题
Z65.100x001 与监禁有关的问题
Z65.300x001 与逮捕有关的问题
Z65.300x002 与儿童监护有关的问题
Z65.300x003 与诉讼有关的问题
Z65.300x004 与起诉有关的问题
Z65.300x005 与抚养的诉讼程序有关的问题
Z65.400x001 与犯罪行为的受害者有关的问题
Z65.400x002 与拷打的受害者有关的问题
Z65.400x003 与恐怖主义的受害者有关的问题
Z65.500x001 与暴露于灾害有关的问题
Z65.500x002 与暴露于敌对行为有关的问题
Z65.500x003 与暴露于战争有关的问题
Z73.100x001 与人格特征突出有关的问题
Z74.100x001 院外无人承担看护
Z75.800x001 临终看护
Z75.900x001 由它院转入
Z76.800x001 拒尊医嘱并离院
