包含以下主要诊断：
A18.700+E35.1* 肾上腺结核
E70.000x002 苯丙酮酸性精神幼稚病
E70.100x001 苯丙酮尿症
E70.100x004 苯丙氨酸羟化酶缺乏症
E70.101 高苯丙氨酸血症
E70.102 四氢生物蝶呤缺乏症
E70.200 酪氨酸代谢紊乱
E70.201 高酪氨酸血症
E70.202 黑尿酸症
E70.203 褐黄病
E70.204 酪氨酸尿症
E70.205 原发性酪氨酸血症
E70.300 白化病
E70.300x003 切迪阿克-施泰因布林克-东综合征~~[Chediak-Steinbrinck-Higashi 综合征]
E70.300x004 克罗斯综合征[Cross 综合征]
E70.300x005 赫日曼斯基 - 普德拉克综合征~~[Hermansky-Pudlak 综合征]
E70.301 瓦登伯格综合征
E70.800x001 组氨酸血症
E70.800x002 色氨酸代谢紊乱
E70.800x003 组氨酸代谢紊乱
E70.900 芳香氨基酸代谢紊乱
E71.000 槭糖尿病
E71.100x003 高缬氨酸血症
E71.100x004 异缬氨酸血症
E71.100x005 甲基丙二酸尿症
E71.101 丙酸血症
E71.102 甲基丙二酸血症
E71.103 异戊酸血症
E71.200 支链氨基酸代谢紊乱
E71.300 脂肪酸代谢紊乱
E71.300x005 继发性肉碱缺乏症
E71.300x011 肾上腺脑白质营养不良[AddisonSchilder 综合征]
E71.302 原发性肉碱缺乏症
E71.304 肉毒碱棕榈酰转移酶缺乏症
E71.305 极长链酰基辅酶 A 脱氢酶缺陷症
E71.307 中链酰基辅酶 A 脱氢酶缺乏症
E71.308 极长链酰基辅酶 A 脱氢酶缺乏症
E71.309 长链 3-羟酰基辅酶 A 脱氢酶缺乏症
E71.310 多种酰基辅酶 A 脱氢酶缺乏症
E72.001 甘氨酸尿症
E72.002 范科尼综合征
E72.003 胱氨酸尿症
E72.004 哈特纳普病
E72.005 洛氏综合征
E72.100x003 胱硫醚尿症
E72.100x004 高胱氨酸尿症
E72.100x005 蛋氨酸血症
E72.100x006 亚硫酸盐氧化酶缺乏症
E72.100x007 同型半胱氨酸尿症
E72.101 高同型半胱氨酸血症
E72.102 同型半胱氨酸血症
E72.200x002 一过性高氨血症
E72.200x004 精氨酸血症
E72.200x007 先天性高氨血症
E72.200x008 尿素循环障碍
E72.201 高氨血症
E72.202 瓜氨酸血症
E72.203 精氨基琥珀酸尿症
E72.204 精氨酸酶缺乏症
E72.205 N-乙酰谷氨酸合成酶缺乏症
E72.300x001 羟赖氨酸血症
E72.300x002 高赖氨酸血症
E72.301 羟赖氨酸代谢紊乱
E72.302 戊二酸血症
E72.303 戊二酸尿症
E72.304 戊二酸血症 I 型
E72.305 戊二酸血症Ⅱ型
E72.306 戊二酸血症Ⅲ型
E72.400 鸟氨酸代谢紊乱
E72.400x001 鸟氨酸血症 I 型
E72.400x002 鸟氨酸血症 II 型
E72.401 高鸟胺酸血症-高氨血症-高瓜胺酸血症~~候群
E72.402 鸟氨酸氨甲酰基转移酶缺乏症
E72.500 甘油酸代谢紊乱
E72.500x001 高羟氨酸血症
E72.500x002 高脯氨酸血症 I 型
E72.500x003 高脯氨酸血症 II 型
E72.500x004 非酮病性高甘胺酸血症
E72.500x005 肌氨酸血症
E72.800x001 脲环代谢紊乱
E72.800x002 直链氨基酸代谢障碍
E72.800x004 β 氨基酸代谢紊乱
E72.800x005 γ 氨基酸代谢紊乱
E72.900x002 氨基酸尿
E72.900x004 低氨基酸尿症
E72.900x006 氨基酸代谢病
E72.901 低氨基酸血症
E72.902 高氨基酸尿症
E74.000 糖原贮积病
E74.000x006 肝磷酸化酶缺乏
E74.000x007 安德森病
E74.000x008 科里病
E74.000x009 福布斯病
E74.000x010 赫尔病
E74.000x011 麦卡德尔病
E74.000x012 蓬佩病
E74.000x013 冯-吉尔克病
E74.000x016+I43.1* Danon 病
E74.001 Ⅰ型糖原贮积症
E74.002 葡萄糖-6-磷酸酶缺乏
E74.003 Ⅱ型糖原贮积症
E74.004 Ⅲ型糖原贮积症
E74.005 Ⅴ型糖原贮积症
E74.006+K77.8* 肝糖原贮积症
E74.007+G73.6* 糖原贮积症肌病
E74.009 Ⅶ型糖原贮积症
E74.100 果糖代谢紊乱
E74.100x002 原发性果糖尿症
E74.100x004 果糖-1,6-二磷酸缺乏
E74.101 遗传性果糖不耐受症
E74.200 半乳糖代谢紊乱
E74.200x002 半乳糖激酶缺乏
E74.201 半乳糖血症
E74.300x001 葡萄糖及半乳糖吸收不良
E74.300x002 肠二糖酶缺乏及二糖吸收不良
E74.300x003 庶糖酶缺乏
E74.400 丙酮酸盐代谢和糖异生紊乱
E74.400x005 丙酮酸脱羧酶缺乏
E74.401 丙酮酸羧化酶缺乏
E74.402 磷酸烯醇丙酮酸羧激酶缺乏
E74.403 丙酮酸脱氢酶缺乏
E74.800x006 高乳酸血症
E74.800x007 葡萄糖转运体 1 缺陷
E74.801 肾性糖尿
E74.802 原发性戊糖尿
E74.803 草酸盐沉着症
E74.804 草酸尿
E74.900x002 多羧酶缺乏
E74.901 糖代谢紊乱
E75.501 黄色瘤
E75.502 幼年性黄色瘤
E75.503 原发性家族性黄瘤病
E75.504 脑腱胆固醇沉着病
E75.505 沃尔曼病
E75.600x001 脂贮积病
E76.000 黏多糖贮积症，Ⅰ型
E76.100 黏多糖贮积症，Ⅱ型
E76.200x001 粘多糖贮积病 III 型
E76.200x002 B 型圣菲利浦综合征
E76.200x003 C 型圣菲利浦综合征
E76.200x004 D 型圣菲利浦综合征
E76.200x006 粘多糖贮积病 VI 型
E76.200x007 粘多糖贮积病 VII 型
E76.200x008 类似莫固综合征
E76.200x009 典型莫固综合征
E76.200x010 轻度马罗托-拉米综合征
E76.200x011 重度马罗托-拉米综合征
E76.200x012 β 葡萄糖醛酸酶缺乏
E76.201 黏多糖贮积症，Ⅳ型
E76.300 黏多糖贮积症
E76.800 糖胺聚糖代谢紊乱,其他的
E76.900x001 氨基葡聚糖代谢紊乱
E77.000 溶酶体酶翻译后修饰缺陷
E77.000x002 粘脂贮积病 II 型[I 细胞病]
E77.000x003 粘脂贮积病 III 型[假胡勒多种营养~~不良]
E77.100x002 天冬氨酰葡萄糖胺尿症
E77.100x003 岩藻糖苷贮积病
E77.100x004 甘露糖苷过多症
E77.100x005 粘脂贮积病 I 型[唾液酸沉积病]
E77.801 低蛋白血症
E77.900 糖蛋白代谢紊乱
E78.000 纯高胆固醇血症
E78.000x003 A 族高脂血症
E78.000x004 高 β 脂蛋白血症
E78.000x005 弗雷德里克森高脂蛋白血症 IIa 型
E78.000x006 低密度脂蛋白型高脂蛋白血症
E78.000x007 胆固醇综合征
E78.001 家族性高胆固醇血症
E78.002 高低密度脂蛋白胆固醇血症
E78.003 纯合子家族性高胆固醇血症
E78.100 纯高甘油酯血症
E78.100x002 极低密度脂蛋白型高脂蛋白血症
E78.100x003 高前 β 脂蛋白血症
E78.100x004 内源性高甘油酯血症
E78.100x005 B 族高脂血症
E78.100x007 弗雷德里克森高脂蛋白血症 IV 型
E78.200 混合性高脂血症
E78.200x001 睑黄瘤
E78.200x008 高胆固醇血症伴内源性高甘油酯血~~症
E78.200x012 弗雷德里克森高脂蛋白血症 III 型
E78.201 结节性黄色瘤
E78.202 扁平黄色瘤
E78.203 高脂异常综合征
E78.204 悬浮 β 脂蛋白血症
E78.205 高 β 脂蛋白血症伴高前 β 脂蛋白血症
E78.206 播散性黄色瘤
E78.207 疹性黄色瘤
E78.208 高脂血症 C 族
E78.209 Ⅱb 型弗雷德里克森高脂蛋白血症
E78.210 结节疹性黄色瘤
E78.300x001 混合型高甘油酯血症
E78.300x002 弗雷德里克森高脂蛋白血症 I 型
E78.300x003 弗雷德里克森高脂蛋白血症 V 型
E78.300x004 D 族高脂血症
E78.401 家族性混合性高脂血症
E78.402 谷固醇血症
E78.500 高脂血症
E78.600 脂蛋白缺乏
E78.600x001 棘红细胞增多症
E78.600x003 卵磷脂胆固醇酰基转移酶缺乏
E78.600x006 高密度脂蛋白缺乏
E78.600x007 低 α 脂蛋白血症
E78.600x008 丹吉尔病
E78.600x009 低 β 脂蛋白血症
E78.600x010 家族性低 β 脂蛋白血症
E78.600x011 低胆固醇血症
E78.601 载脂蛋白 B 缺乏
E78.602 无 β 脂蛋白血症
E78.800x002 脂性乌尔巴赫蛋白沉积症
E78.801 脂肪肉芽肿病
E78.900 脂蛋白代谢紊乱
E78.901 骨软骨营养不良
E79.001 高尿酸血症
E79.100 莱施-尼汉综合征
E79.800x001 遗传性黄嘌呤尿
E79.900 嘌呤和嘧啶代谢紊乱
E80.000 遗传性红细胞生成性卟啉症
E80.000x004 血卟啉病
E80.001 先天性红细胞生成性卟啉病
E80.002 红细胞生成性卟啉病
E80.003 肝性红细胞生成性卟啉病
E80.100 迟发性皮肤卟啉症
E80.100x002 肝性红细胞生成型卟啉病
E80.200x001 卟啉病[紫质病]
E80.200x004 急性间歇性卟啉病
E80.200x005 急性间歇性肝卟啉病
E80.201 三羧基卟啉病
E80.202 混合型卟啉病
E80.203 遗传性粪卟啉病
E80.300x001 过氧化氢酶缺乏
E80.301 过氧化物酶缺乏
E80.302 δ-氨基酮戊酸脱水酶缺陷型卟啉病
E80.700 胆红素代谢紊乱
E83.000 铜代谢紊乱
E83.000x005 毛发纽结型门克病
E83.000x006 坚硬发型门克病
E83.001 肝豆状核变性
E83.002 门克斯综合征
E83.100 铁代谢紊乱
E83.200 锌代谢紊乱
E83.200x002 高锌血症
E83.300x007 抗维生素 D 性佝偻病
E83.300x008+M90.8* 维生素 D 依赖性佝偻病
E83.300x010 家族性低磷酸盐血症
E83.300x014 低磷酸脂酶症
E83.300x021+M90.8* 低磷抗 D 性软骨病
E83.301 高磷尿症
E83.302 酸性磷酸酶缺乏
E83.303 磷代谢紊乱
E83.304 低磷血症
E83.305 磷酸酶过少症
E83.306 低碱性磷酸酶血症
E83.307+M90.8* 低磷性骨软化症
E83.308+M90.8* 低磷性佝偻病
E83.309 高磷酸盐血症
E83.401 低镁血症
E83.402 高镁血症
E83.403 遗传性低镁血症
E83.500x001 低钙血性惊厥
E83.500x007 特发性高钙尿症
E83.500x008 家族性低钙尿性高钙血症
E83.500x009 钙质沉着症
E83.500x011 肿瘤样钙盐沉着症
E83.501 高钙危象
E83.502 高钙血症
E83.503 低钙血症
E83.504 高钙尿症
E83.505+F02.8* 高钙血症性痴呆
E83.800 矿物质代谢紊乱，其他的
E83.900 矿物质代谢紊乱
E84.801 囊性纤维化伴混合表现
E84.900 囊性纤维化病
E85.200x001 家族遗传性淀粉样变性
E85.300x002 继发性淀粉样变性
E85.400x014 局限性淀粉样变性
E85.406 淀粉样变甲状腺损害
E85.413+L99.0* 淀粉样变皮肤损害
E85.800 淀粉样变，其他的
E85.901 原发性淀粉样变性
E86.x00x001 低血容量
E86.x00x003 细胞外液缺失
E86.x00x004 血浆容量缺失
E86.x01 脱水
E87.001 高钠血症
E87.101 脑耗盐综合征
E87.102 低钠血症
E87.200x002 高血氯性酸中毒
E87.201 代谢性酸中毒
E87.202 混合性酸中毒
E87.203 呼吸性酸中毒
E87.204 乳酸性酸中毒
E87.205 有机酸血症
E87.206 先天性高乳酸血症
E87.301 代谢性碱中毒
E87.302 低钾性碱中毒
E87.303 呼吸性碱中毒
E87.400 混合性酸碱平衡失调
E87.500 高钾血症
E87.501 假性低醛固酮血症
E87.600 低钾血症
E87.600x002 低钾性抽搐
E87.600x003 钾缺乏
E87.600x004 低钾性肌病
E87.700 体液过多
E87.701 水中毒
E87.800x004 低钾钠氯综合征
E87.801 电解质代谢紊乱
E87.802 高氯血症
E87.803 低氯血症
E88.000x002 α1-抗胰蛋白酶缺乏症
E88.000x003 双白蛋白血症
E88.001 高蛋白血症
E88.100x001 部分性脂肪营养不良
E88.100x002 进行性脂肪营养不良
E88.100x004 脂肪营养不良
E88.100x005 胰岛素性脂肪营养不良
E88.100x006 蛋白酶抑制剂相关性脂肪营养不良
E88.101 全身性脂肪营养不良
E88.203 脂肪堆积
E88.300 肿瘤溶解综合征
E88.800x004 三甲胺尿症
E88.800x005 洛奴瓦-邦索德腺脂瘤病
E88.800x007 还原型烟酰胺腺嘌呤二核苷酸-辅酶~~Q 还原酶缺乏
E88.800x008 还原辅酶 Q-细胞色素水解酶还原酶~~缺乏
E88.800x009 琥珀酸-辅酶 Q 还原酶缺乏
E88.800x013 希特林蛋白缺乏症
E88.801 霍法病
E88.802 酮症
E88.803 饥饿性酮症
E88.804 良性对称性脂肪瘤病
E88.806 线粒体 DNA 缺失
E88.807 β-酮硫解酶缺乏症
E88.900x010 先天性遗传代谢病[先天性代谢缺陷]
E88.901 代谢障碍
E88.903 遗传性代谢病
E89.000 操作后甲状腺功能减退症
E89.001 手术后甲状腺功能减退
E89.002 放射后甲状腺功能减退
E89.100 操作后血内胰岛素不足
E89.101 手术后低血糖昏迷
E89.102 手术后低胰岛素血症
E89.200x001 甲状旁腺缺失性手足搐搦
E89.201 手术后甲状旁腺功能减退
E89.300x002 医源性垂体功能减退症
E89.300x003 放射后垂体功能减退症
E89.301 手术后垂体功能减退
E89.302 后天性垂体缺失
E89.303 手术后尿崩症
E89.601 手术后肾上腺皮质功能减退
E89.800x002 肝移植术后糖尿病
E89.800x003 肝移植术后高脂血症
E89.801 血透失衡综合征
K90.403 碳水化合物吸收不良
K90.405 淀粉吸收不良
N25.801 继发性肾源性甲状旁腺功能亢进
Q85.900x006 甲状腺错构瘤
Q87.100x904 面部红斑侏儒综合征[Bloom 综合征]
Q87.807 性幼稚-肥胖-多趾畸形综合征
Q89.100 肾上腺先天性畸形
Q89.101 异位肾上腺
Q89.200x012 先天性垂体发育异常
Q89.200x203 副甲状腺
Q89.200x204 甲状腺下降不全
Q89.200x601 胸腺发育不全
Q89.201 垂体发育不良
Q89.203 异位甲状腺
Q89.205 异位甲状旁腺
Q89.206 甲状舌管瘘
Q89.207 异位垂体
Q89.208 异位胸腺
Q90.000 三体性 21，减数分裂不分离，唐氏综合征
Q93.300 染色体 4 短臂缺失
R29.000 手足搐搦
R64.x00 恶病质
R73.000 葡萄糖耐量试验异常
R73.001 化学性糖尿病
R73.002 糖尿病前期
R73.003 潜伏性糖尿病
R73.900x001 血糖升高
R74.800x009 高脂肪酶血症
R79.801 丙酮血症
R81.x00x001 尿糖增高
R82.400 丙酮尿
R82.401 酮尿
R94.600 甲状腺功能检查的异常结果
R94.700 内分泌功能检查的异常结果，其他的
R94.801 基础代谢率异常
S37.803 肾上腺损伤
