包含以下主要诊断：
A02.200x005+M90.2* 沙门菌性骨髓炎
M21.700x031 后天性尺骨短缩变形
M21.700x061 后天性胫骨短缩变形
M21.701 后天性上臂短缩畸形
M21.702 后天性前臂短缩畸形
M21.703 后天性股骨短缩畸形
M21.704 后天性大腿短缩畸形
M21.705 后天性髋短缩畸形
M21.706 后天性小腿短缩畸形
M21.801 后天性锁骨畸形
M21.802 后天性肩胛骨畸形
M21.803 翼状肩胛
M21.804 后天性肱骨畸形
M21.805 后天性股骨畸形
M21.806 后天性胫骨畸形
M21.807 后天性腓骨畸形
M21.808 布鲁克病
M21.900 四肢后天性变形
M21.900x011 后天性肩关节变形
M21.900x041 后天性腕关节变形
M21.900x051 后天性上肢变形
M21.901 后天性上臂畸形
M21.902 后天性尺骨畸形
M21.903 后天性桡骨畸形
M21.904 后天性前臂畸形
M21.905 后天性掌骨畸形
M21.906 后天性髋关节畸形
M21.907 后天性膝关节畸形
M21.908 后天性下肢畸形
M22.000 复发性髌骨脱位
M22.100 复发性髌骨不全脱位
M22.200x001 髌股关节病
M22.201 髌骨关节病
M22.300x001 髌骨不稳定
M22.301 髌骨滑脱
M22.400 髌骨软骨软化
M22.801 髌骨外侧过度挤压综合征
M22.802 髌骨畸形
M22.900 髌骨疾患
M23.000x031 膝内侧半月板囊肿
M23.000x061 膝外侧半月板囊肿
M23.001 膝半月板囊肿
M23.100 盘状半月板(先天性)
M23.300x061 膝外侧半月板紊乱
M23.300x062 膝内侧半月板紊乱
M23.301 内侧半月板前角损伤
M23.302 内侧半月板后角损伤
M23.303 内侧半月板损伤
M23.304 外侧半月板前角损伤
M23.305 外侧半月板后角损伤
M23.306 外侧半月板损伤
M23.307 半月板变性
M23.308 半月板损伤
M23.309 半月板运动过度
M23.310 遗留的半月板
M23.311 复发性半月板紊乱
M23.400 膝关节游离体
M23.500x091 膝前内侧旋转不稳定
M23.601 自发性膝韧带破裂
M23.800x001 膝后外复合体损伤
M23.801 前十字韧带松弛
M23.802 后十字韧带松弛
M23.803 内侧副韧带松弛
M23.804 外侧副韧带松弛
M23.805 膝关节囊韧带松弛
M23.806 膝韧带松弛
M23.807 弹响膝
M23.808 膝关节滑膜嵌顿
M23.809 膝韧带囊肿
M23.810 膝关节锁定
M23.811 膝关节粘连
M23.812 髌韧带粘连
M23.900 膝关节内紊乱
M24.001 肩关节游离体
M24.002 肘关节游离体
M24.003 腕关节游离体
M24.004 指关节游离体
M24.005 髋关节游离体
M24.006 踝关节游离体
M24.101 关节软骨变性
M24.203 项韧带肥厚
M24.204 黄韧带肥厚
M24.205 寰枢横韧带松弛
M24.206 韧带钙化
M24.207 韧带后天性畸形
M24.208 韧带挛缩
M24.209 韧带内囊肿
M24.210 韧带松弛
M24.300x091 关节病理性脱位
M24.301 自发性寰枢椎脱位
M24.302 自发性寰枢椎半脱位
M24.303 髋关节病理性脱位
M24.304 髋关节病理性不全脱位
M24.305 膝关节病理性脱位
M24.306 膝关节病理性不全脱位
M24.307 踝关节病理性脱位
M24.308 踝关节病理性不全脱位
M24.309 足关节病理性脱位
M24.310 足关节病理性不全脱位
M24.311 自发性关节脱位
M24.401 复发性肩关节脱位
M24.402 复发性肩关节不全脱位
M24.403 复发性肘关节脱位
M24.404 复发性肘关节不全脱位
M24.405 复发性腕关节脱位
M24.406 复发性腕关节不全脱位
M24.407 复发性手骨间关节脱位
M24.408 复发性手骨间关节不全脱位
M24.409 复发性髋关节脱位
M24.410 复发性髋关节不全脱位
M24.411 复发性膝关节脱位
M24.412 复发性膝关节不全脱位
M24.414 复发性踝关节脱位
M24.415 复发性踝关节不全脱位
M24.416 关节习惯性脱位
M24.417 关节习惯性不全脱位
M24.500 关节挛缩
M24.500x001 多发关节挛缩
M24.501 髋关节挛缩
M24.502 膝关节挛缩
M24.503 踝关节挛缩
M24.600 关节强硬
M24.601 多发性关节强硬
M24.602 肩关节强硬
M24.603 肘关节强硬
M24.604 腕关节强硬
M24.605 手骨间关节强硬
M24.606 髋关节强硬
M24.607 膝关节强硬
M24.608 踝关节强硬
M24.609 关节骨性强硬
M24.610 关节纤维变性
M24.700 髋臼前突
M24.701 髋关节内陷
M24.800x052 髋关节撞击综合征
M24.802 肩关节粘连
M24.804 肘关节粘连
M24.811 关节粘连
M24.812 尺骨撞击综合征
M24.900 关节紊乱
M24.900x052 骶髂关节紊乱
M24.901 肩关节紊乱
M24.902 肘关节紊乱
M24.903 腕关节紊乱
M24.904 手骨间关节紊乱
M24.905 髋关节紊乱
M24.906 踝关节紊乱
M24.907 腰椎关节滑膜嵌顿
M24.908 腰椎小关节紊乱
M25.000 关节积血
M25.001 肩关节积血
M25.002 肘关节积血
M25.003 腕关节积血
M25.004 手骨间关节积血
M25.005 髋关节积血
M25.006 膝关节积血
M25.007 踝关节积血
M25.100 关节瘘
M25.100x011 肩关节瘘
M25.100x021 肘关节瘘
M25.100x031 腕关节瘘
M25.100x051 髋关节瘘
M25.100x061 膝关节瘘
M25.100x071 踝关节瘘
M25.200 连枷状关节
M25.201 关节松弛
M25.301 关节不稳定
M25.400 关节渗出
M25.401 肩关节积液
M25.402 肩关节肿胀
M25.403 肘关节积液
M25.404 肘关节肿胀
M25.405 腕关节积液
M25.406 腕关节肿胀
M25.407 手骨间关节积液
M25.408 手骨间关节肿胀
M25.409 髋关节积液
M25.410 髋关节肿胀
M25.411 膝关节积液
M25.412 膝关节肿胀
M25.413 踝关节积液
M25.414 踝关节肿胀
M25.415 关节积液
M25.416 关节肿胀
M25.500 关节痛
M25.501 肩关节痛
M25.502 肘关节痛
M25.503 腕关节痛
M25.504 手骨间关节痛
M25.505 髋关节痛
M25.506 膝关节痛
M25.507 踝关节痛
M25.600x091 关节僵硬
M25.601 肢体僵硬
M25.602 肩关节僵硬
M25.603 肘关节僵硬
M25.604 腕关节僵硬
M25.605 指关节僵硬
M25.606 髋关节僵硬
M25.607 膝关节僵硬
M25.608 踝关节僵硬
M25.700 骨赘
M25.800x092 关节周围骨化
M25.801 多部位关节钙化
M25.802 肩关节钙化
M25.803 肩关节囊肿
M25.804 肘关节囊肿
M25.805 腕关节囊肿
M25.807 髋关节囊肿
M25.808 膝关节囊肿
M25.809 踝关节囊肿
M25.810 关节周围异位骨化
M25.900x031 腕关节肿物
M25.900x061 膝关节肿物
M25.901 关节肿物
M30.000 结节性多动脉炎
M30.001+G73.7* 结节性多动脉炎性肌病
M30.002+G63.5* 结节性多动脉炎性多神经病
M30.003+G63.5* 结节性多动脉炎性周围神经病
M30.004 多脉管炎
M30.100x001 嗜酸性肉芽肿性血管炎
M30.101 变应性肉芽肿性血管炎
M30.200 幼年型多动脉炎
M30.300 黏膜皮肤淋巴结综合征[川崎病]
M30.301 IVIG 无应答型川崎病
M30.801 多脉管炎重叠综合征
M31.000 过敏性血管炎
M31.000x002 免疫性血管炎
M31.001 古德帕斯丘综合征
M31.100 血栓性微血管病
M31.101 血栓性血小板减少性紫癜
M31.300 韦格纳肉芽肿病
M31.500 巨细胞动脉炎伴有风湿性多肌痛
M31.700 显微镜下多脉管炎
M31.702+G63.5* 显微镜下多血管炎性周围神经病
M31.801 HCV 感染相关血管炎
M31.802 ANCA 相关性血管炎
M31.803 低补体血症血管炎
M31.900x001 坏死性脉管炎
M32.000 药物性系统性红斑狼疮
M32.100x016 狼疮性关节炎
M32.110+G73.7* 狼疮性肌病
M32.113+H36.8* 狼疮性视网膜病变
M32.115+K67.8* 狼疮性浆膜炎
M32.800 系统性红斑狼疮，其他形式的
M32.900 系统性红斑狼疮
M32.901 隐匿性系统性红斑狼疮
M33.000 幼年型皮肌炎
M33.001+J99.1* 幼年型皮肌炎累及肺
M33.100x001 儿童皮肌炎
M33.100x004 成人皮肌炎
M33.101 皮肌炎
M33.104 无肌病性皮肌炎
M33.105 异色皮肌炎
M33.200 多肌炎
M33.900 皮多肌炎
M33.901+J99.1* 皮多肌炎累及肺
M34.800x002+G73.7* 系统性硬化症性肌病
M34.800x004+N08.5* 系统性硬化症肾脏危象
M34.800x005+G53.8* 系统性硬化症累及脑神经
M34.800x006+K23.8* 系统性硬化症累及食管
M34.800x007+N08.5* 系统性硬化症肾损害
M34.802 布施克硬肿病
M34.804+G73.7* 全身性硬化性肌病
M34.805 肢端硬肿病
M34.806+G63.5* 全身性硬化性多神经病变
M34.900 全身性硬皮病
M34.900x001 系统性硬化症
M35.000 干燥综合征[舍格伦]
M35.001 继发性干燥综合征
M35.004+G73.7* 干燥综合征性肌病
M35.101 混合性结缔组织病
M35.102 混合性结缔组织病肾损害
M35.200 贝赫切特[贝切特]病
M35.201 贝赫切特病性关节炎
M35.203 神经贝赫切特病
M35.300 风湿性多肌痛
M35.400 弥漫性(嗜酸细胞性)筋膜炎
M35.500 多病灶性纤维硬化病
M35.700 过度活动综合征
M35.701 家族性韧带松弛
M35.800x001 抗合成酶综合征
M35.801 嗜酸性粒细胞增多-肌痛综合征
M35.802 近端指间关节周围胶原沉积症
M35.900x006+G63.5* 继发于结缔组织病的周围神~~经病
M35.900x007 高 IgD 综合征
M35.901 结缔组织病
M35.902 胶原病
M35.903+G63.5* 胶原血管性多神经病
M35.905 抗 J0-1 综合征
M35.906 IgG4 相关疾病
M35.907 自身免疫病
M40.000 姿势性脊柱后凸
M40.000x091 青年型姿势性脊柱后凸
M40.100 继发性脊柱后凸，其他的
M40.100x051 继发性胸腰段脊柱后凸
M40.101 强直性脊柱炎后凸畸形
M40.200x021 颈椎后凸
M40.200x041 胸椎后凸
M40.200x061 腰椎后凸
M40.201 脊柱后凸
M40.300 直背综合征
M40.401 后天性脊柱前凸
M40.402 姿势性脊柱前凸
M40.500 脊柱前凸
M40.501 鞍状背
M41.000 婴儿特发性脊柱侧弯
M41.101 青少年特发性脊柱侧弯
M41.200 特发性脊柱侧弯，其他的
M41.300 胸源性脊柱侧弯
M41.400 神经肌肉性脊柱侧弯
M41.400x091 脊髓灰质炎后脊柱侧弯
M41.401 麻痹性脊柱侧弯
M41.500 继发性脊柱侧弯，其他的
M41.501 创伤性脊柱侧弯
M41.800 脊柱侧弯，其他形式的
M41.900 脊柱侧弯
M41.900x061 腰椎侧弯
M41.901 脊柱后侧凸
M42.000x091 卡尔韦病
M42.002 幼年椎骨骺骨软骨病
M42.100 成年脊柱骨软骨病
M42.900 脊柱骨软骨病
M43.001 枕寰枢椎滑脱
M43.002 颈椎滑脱
M43.003 颈椎胸椎滑脱
M43.004 胸椎滑脱
M43.005 胸椎腰椎滑脱
M43.006 腰椎滑脱
M43.007 腰骶部脊椎滑脱
M43.008 骶尾部滑脱
M43.009 腰椎峡部裂
M43.100x011 后天性寰枢椎滑脱
M43.100x021 颈椎前移
M43.100x041 胸椎前移
M43.100x061 腰椎前移
M43.100x062 后天性腰椎滑脱
M43.100x071 腰骶脊椎前移
M43.100x091 后天性脊椎滑脱
M43.101 创伤性脊椎前移
M43.102 变性性脊椎前移
M43.201 寰枢椎关节强硬
M43.202 骶髂关节强硬
M43.203 后天性脊柱关节强硬
M43.300 复发性寰枢不完全性脱位伴有脊髓病
M43.400 复发性寰枢不完全性脱位，其他的
M43.501 复发性颈椎不完全性脱位
M43.502 复发性颈椎胸椎不完全性脱位
M43.503 复发性胸椎不完全性脱位
M43.504 复发性胸椎腰椎不完全性脱位
M43.505 复发性腰椎不完全性脱位
M43.600 斜颈
M43.601 肌性斜颈
M43.602 僵颈
M43.801 脊柱旋转不足
M43.802 腰骶关节畸形
M43.803 骶髂关节畸形
M43.804 骶骨畸形
M43.805 尾骨畸形
M43.901 后天性脊柱变形
M45.x00 强直性脊柱炎
M45.x01 类风湿性脊椎炎
M45.x02 萎缩性脊柱炎
M45.x03+H22.1* 强直性脊柱炎伴虹膜睫状体炎
M46.000 脊柱肌腱端病
M46.000x093 棘间韧带发育不良
M46.000x094 棘上韧带炎
M46.001 颈椎肌腱端炎
M46.002 胸椎肌腱端炎
M46.003 腰椎肌腱端炎
M46.004 颈椎棘上韧带炎
M46.100 骶髂关节炎，不可归类在他处者
M46.200 椎骨骨髓炎
M46.200x021 颈椎骨髓炎
M46.200x041 胸椎骨髓炎
M46.200x061 腰椎骨髓炎
M46.300 椎间盘感染(脓性)
M46.300x021 颈椎间盘感染
M46.300x041 胸椎间盘感染
M46.300x061 腰椎间盘感染
M46.301 化脓性胸椎间盘感染
M46.302 化脓性腰椎间盘感染
M46.400 关节盘炎
M46.401 颈椎椎间盘炎
M46.402 胸椎椎间盘炎
M46.403 腰椎椎间盘炎
M46.500x091 椎体感染
M46.500x092 化脓性脊柱炎
M46.501 颈椎脓肿
M46.502 胸椎脓肿
M46.503 腰椎脓肿
M46.504 骶尾椎脓肿
M46.800x091 肥大性脊柱炎
M46.800x093 变形性脊柱炎
M46.802 退行性脊柱炎
M46.803 增生性脊柱炎
M46.900 炎性脊椎病
M47.001+G99.2* 椎动脉型颈椎病
M47.002+G99.2* 椎动脉压迫综合征
M47.003+G99.2* 脊髓前动脉压迫综合征
M47.101+G99.2* 脊髓型颈椎病
M47.102+G99.2* 胸椎关节强硬伴脊髓病
M47.103+G99.2* 腰椎关节强硬伴脊髓病
M47.104+G99.2* 脊椎关节强硬伴脊髓病
M47.201 神经根型颈椎病
M47.202 交感神经型颈椎病
M47.203 神经根型胸椎病
M47.204 神经根型腰椎病
M47.205 颈-心综合征
M47.800x024 食管型颈椎病
M47.800x031 脊柱关节滑膜嵌顿
M47.800x032 齿状突骨质增生
M47.801 颈椎关节强硬
M47.802 混合型颈椎病
M47.803 胸椎关节强硬
M47.804 腰椎关节强硬
M47.806 腰骶关节强硬
M47.900x091 脊柱骨关节病
M47.901 肥厚性脊柱炎
M47.902 脊柱变性
M47.903 老年性脊柱炎
M47.904 椎骨关节面破坏
M48.000x081 尾部狭窄
M48.001 枕寰枢椎管狭窄
M48.002 颈椎椎管狭窄
M48.003 胸椎椎管狭窄
M48.004 胸腰椎椎管狭窄
M48.005 腰椎椎管狭窄
M48.006 颈腰综合征
M48.100 强直性骨肥厚[福雷斯蒂尔]
M48.100x091 弥漫性特发性骨肥厚[DISH 病]
M48.200 脊椎棘突吻合
M48.200x021 颈椎棘突吻合
M48.200x041 胸椎棘突吻合
M48.200x061 腰椎棘突吻合
M48.300x091 创伤后脊椎病
M48.301 颈椎椎间盘创伤性退变
M48.302 胸椎椎间盘创伤性退变
M48.303 腰椎椎间盘创伤性退变
M48.304 创伤性腰椎病
M48.305 屈梅尔脊柱炎
M48.401 脊椎应力性骨折
M48.500x092 脊椎楔入
M48.501 颈椎楔形变
M48.502 胸椎楔形变
M48.503 腰椎楔形变
M48.800x022 颈前纵韧带骨化
M48.800x091 脊椎半切综合征
M48.801 颈椎后纵韧带骨化
M48.802 胸椎后纵韧带骨化
M48.803 胸腰椎后纵韧带骨化
M48.804 腰椎后纵韧带骨化
M48.805 骶尾椎后纵韧带骨化
M48.806 后纵韧带骨化
M48.808 黄韧带骨化
M48.810 棘突间韧带综合征
M48.811 肌性脊柱炎
M48.812 老年性脊椎萎缩
M48.900x002 腰椎骨质增生
M48.901 颈椎退行性病变
M48.902 胸椎退行性病变
M48.903 腰椎退行性病变
M48.904 脊椎退行性病变
M50.000+G99.2* 颈椎间盘疾患伴有脊髓病
M50.001+G99.2* 颈椎间盘突出伴脊髓病
M50.100 颈椎间盘疾患伴有神经根病
M50.101+G55.1* 颈椎间盘突出伴有神经根病
M50.200x001 颈椎间盘脱出
M50.201 颈椎间盘突出
M50.202 颈椎胸椎椎间盘突出
M50.300x001 颈椎骨质增生
M50.301 颈椎胸椎椎间盘变性
M50.800 颈椎间盘疾患，其他的
M50.900 颈椎间盘疾患
M50.901 颈椎胸椎椎间盘疾患
M51.100x002+G55.1* 胸椎间盘突出伴神经根病
M51.101+G55.1* 腰椎间盘脱出伴坐骨神经痛
M51.102+G55.1* 髓核疝性神经炎
M51.103+G55.1* 椎间盘疾患性腰痛伴坐骨神经痛
M51.104+G55.1* 椎间盘破裂性神经炎
M51.105+G55.1* 椎间盘移位性脊髓神经根压迫
M51.106+G55.1* 椎间盘移位性神经炎
M51.200x001 胸椎间盘脱出
M51.200x004 腰骶椎间盘脱出
M51.200x005 颈胸间盘突出
M51.201 胸椎间盘突出
M51.202 腰椎间盘突出
M51.203 胸腰椎椎间盘突出
M51.204 腰骶椎间盘突出
M51.205 椎间盘移位性腰痛
M51.301 胸椎间盘变性
M51.302 胸腰椎间盘变性
M51.303 腰椎间盘变性
M51.304 腰骶椎间盘变性
M51.305 椎间盘变性
M51.400 施莫尔结
M51.800x003 椎间盘囊肿
M51.800x004 椎间盘突出
M51.801 椎间盘膨隆
M51.802 椎间盘钙化
M51.803 椎间盘畸形
M51.901 腰椎间盘退行性病变
M53.101 颈肩综合征
M53.201 多发性脊柱不稳定
M53.202 枕寰枢椎不稳定
M53.203 颈椎不稳定
M53.204 颈胸椎不稳定
M53.205 胸椎不稳定
M53.206 胸腰椎不稳定
M53.207 腰椎不稳定
M53.208 腰骶关节不稳定
M53.209 骶髂关节不稳定
M53.210 尾骨运动过度
M53.211 背部韧带松弛
M53.212 病理性脊柱关节脱位
M53.301 尾骨痛
M53.302 骶髂关节改变
M53.303 骶髂关节僵硬
M53.304 骶髂关节面破坏
M53.305 骶尾部痛
M53.306 非创伤性骶髂关节损害
M53.801 脊柱强直
M53.802 脊柱关节僵硬
M53.900 背部病
M54.100 神经根病
M54.100x021 颈神经根炎
M54.101 臂丛神经炎
M54.102 胸神经根炎
M54.103 腰神经根炎
M54.104 腰骶神经根炎
M54.105 神经根炎
M54.106 神经根痛
M54.107 神经根综合征
M54.200 颈痛
M54.300 坐骨神经痛
M54.400 腰痛伴有坐骨神经痛
M54.500 下背痛
M54.501 第三腰椎横突综合征
M54.502 腰痛
M54.503 腰背痛
M54.504 腰背肌筋膜炎
M54.505 腰肌劳损
M54.507 低背综合征
M54.600 胸段背痛
M54.801 脊椎源性痛综合征
M54.900 背痛
M60.000 感染性肌炎
M60.000x051 大腿感染性肌炎
M60.000x061 小腿感染性肌炎
M60.000x092 热带化脓性肌炎
M60.000x093 肌肉脓肿
M60.001 肩区感染性肌炎
M60.002 上臂感染性肌炎
M60.003 前臂感染性肌炎
M60.004 手感染性肌炎
M60.005 大腿肌间脓肿
M60.006 膝关节肌间脓肿
M60.007 足感染性肌炎
M60.008 腰大肌脓肿
M60.100 间质性肌炎
M60.200x091 肌肉肉芽肿
M60.201 滑石粉肉芽肿
M60.800x061 腓肠肌炎
M60.800x081 腹壁慢性肌炎
M60.801 坏死性肌炎
M60.802 陈旧性肌炎
M60.803 腰大肌炎
M60.804 增生性肌炎
M60.805 姿势性肌炎
M60.900 肌炎
M60.901 嗜酸性肌筋膜炎
M60.902 肌筋膜炎
M60.903 巨噬细胞肌筋膜炎
M61.000 外伤性骨化性肌炎
M61.000x051 髋关节创伤后骨化性肌炎
M61.100 进行性骨化性肌炎
M61.101 进行性骨化性纤维发育不良
M61.102 弥漫性进行性骨化性多肌炎
M61.201 肌肉麻痹性骨化
M61.301 烧伤后肌肉骨化
M61.400 肌肉的其他钙化
M61.501 骨化性肌炎
M61.502 骑士骨
M61.900 肌肉钙化和骨化
M62.000 肌肉分离
M62.100 肌肉的其他(非创伤性)破裂
M62.200x001 骨筋膜室综合征
M62.202 非创伤性腔隙综合征
M62.203 肌间隙综合征
M62.300 不动综合征(截瘫性)
M62.400 肌肉挛缩
M62.401 肩区肌肉挛缩
M62.402 上臂肌肉挛缩
M62.403 前臂肌肉挛缩
M62.404 手部肌挛缩
M62.405 臀肌挛缩
M62.406 大腿肌肉挛缩
M62.407 小腿肌肉挛缩
M62.408 踝肌肉挛缩
M62.409 足肌肉挛缩
M62.410 头颈肌挛缩
M62.411 躯干肌挛缩
M62.501 上臂肌肉萎缩
M62.502 前臂肌肉萎缩
M62.503 手肌肉萎缩
M62.504 大腿肌萎缩
M62.505 小腿肌肉萎缩
M62.506 咀嚼肌萎缩
M62.507 头颈部肌萎缩
M62.508 单侧肢体肌萎缩
M62.509 弥漫性肌肉萎缩
M62.510 失用性肌肉萎缩
M62.511 原发性肌肉萎缩
M62.512 全身性肌萎缩
M62.513 少肌症
M62.600 肌肉劳损
M62.600x081 陈旧性腰肌劳损
M62.601 上臂肌肉劳损
M62.602 前臂肌肉劳损
M62.603 大腿肌肉劳损
M62.604 小腿肌肉劳损
M62.605 头颈部肌肉劳损
M62.606 胸肌劳损
M62.607 躯干肌肉劳损
M62.800x002 肌肉血肿
M62.800x051 股四头肌内侧头囊肿
M62.800x053 髂肌囊肿
M62.800x061 腓骨长肌腱滑脱
M62.800x062 腓肠肌肥大
M62.800x081 咬肌肥大
M62.800x095 肌肉脂肪浸润
M62.800x096 肌肉血肿机化
M62.800x097 肌玻璃体变性
M62.800x101 筋膜病
M62.800x102 发作性四肢强直
M62.802 大腿肌肥厚
M62.803 横纹肌溶解症
M62.804 后天性肌强直
M62.805 后天性肌鞘疝
M62.806 后天性肌肉畸形
M62.807 后天性筋膜疝
M62.808 肌肉瘢痕
M62.809 肌肉变性
M62.810 肌肉肥大
M62.811 肌肉纤颤
M62.812 肌软化
M62.813 肌疝
M62.814 肌纤维变性
M62.815 肌张力缺失
M62.817 阔筋膜挛缩症
M62.819 膝关节肌肥大
M62.821 足筋膜挛缩
M62.822 疼痛性肌痉挛综合征
M62.901 肌肉肿物
M65.000 腱鞘脓肿
M65.001 肩区腱鞘脓肿
M65.002 上臂腱鞘脓肿
M65.003 前臂腱鞘脓肿
M65.004 手腱鞘脓肿
M65.005 骨盆区腱鞘脓肿
M65.006 大腿腱鞘脓肿
M65.007 小腿腱鞘脓肿
M65.008 踝腱鞘脓肿
M65.009 足腱鞘脓肿
M65.010 特指部位腱鞘脓肿
M65.101 感染性滑膜炎
M65.200 钙化性肌腱炎
M65.300 扳机指
M65.301 结节性腱鞘病
M65.400 桡骨茎突腱鞘炎[德奎尔万]
M65.800x093 创伤后滑膜炎
M65.802 指肌腱粘连
M65.803 肌腱钙化
M65.804 粘连性肌腱炎
M65.805 趾肌腱粘连
M65.806 臀部易激惹
M65.900x062 膝关节滑膜皱襞综合征
M65.900x093 狭窄性腱鞘炎
M65.901 肩关节滑膜炎
M65.902 肘关节滑膜炎
M65.903 腕关节滑膜炎
M65.904 手关节滑膜炎
M65.905 髋关节滑膜炎
M65.906 膝关节滑膜炎
M65.907 踝关节滑膜炎
M65.908 跖趾关节滑膜炎
M65.909 滑膜炎
M65.910 腱鞘炎
M66.000 腘囊肿破裂
M66.101 多关节滑膜破裂
M66.102 肩锁关节滑膜破裂
M66.103 盂肱关节滑膜破裂
M66.104 胸锁关节滑膜破裂
M66.105 肘关节滑膜破裂
M66.106 腕关节滑膜破裂
M66.107 手骨间关节滑膜破裂
M66.108 髋关节滑膜破裂
M66.109 骶髂关节滑膜破裂
M66.110 膝关节滑膜破裂
M66.111 踝关节滑膜破裂
M66.112 足关节滑膜破裂
M66.113 滑膜囊肿破裂
M66.201 肩区伸肌腱自发性破裂
M66.202 上臂伸肌腱自发性破裂
M66.203 前臂伸肌腱自发性破裂
M66.204 手伸肌腱自发性破裂
M66.205 骨盆区伸肌腱自发性破裂
M66.206 大腿伸肌腱自发性破裂
M66.207 小腿伸肌腱自发性破裂
M66.208 踝伸肌腱自发性破裂
M66.209 足伸肌腱自发性破裂
M66.301 肩区屈肌腱自发性破裂
M66.302 上臂屈肌腱自发性破裂
M66.303 前臂屈肌腱自发性破裂
M66.304 手屈肌腱自发性破裂
M66.305 骨盆区屈肌腱自发性破裂
M66.306 大腿屈肌腱自发性破裂
M66.307 小腿屈肌腱自发性破裂
M66.308 踝屈肌腱自发性破裂
M66.309 足屈肌腱自发性破裂
M66.400 肌腱的自发性破裂，其他的
M66.501 非创伤性肌腱断裂
M66.502 非创伤性肌腱连接点断裂
M67.001 跟腱挛缩
M67.100x041 掌腱膜挛缩
M67.100x051 髂胫束挛缩
M67.101 肌腱挛缩
M67.102 腓肠肌腱膜挛缩症
M67.103 拇指屈肌肌腱挛缩
M67.104 足跖腱膜挛缩
M67.200 滑膜肥大，不可归类在他处者
M67.300 短暂性滑膜炎
M67.301 中毒性滑膜炎
M67.302 暂时性髋关节滑膜炎
M67.400 腱鞘囊肿
M67.400x031 腕腱鞘囊肿
M67.401 肌腱腱鞘囊肿
M67.402 关节腱鞘囊肿
M67.800x041 手指屈肌肌腱粘连
M67.800x091 滑膜脂肪疝
M67.800x092 肌腱滑脱
M67.800x093 肌腱松弛
M67.800x094 滑膜嵌顿
M67.800x095 瘢痕性肌腱粘连
M67.800x096 肌腱囊肿
M67.803 滑膜增生
M67.804 滑膜皱襞综合征
M67.805 肌腱疝
M67.806 腱鞘游离体
M67.807 韧带骨化
M67.901 肌腱疾患
M70.001 腕慢性碎裂音滑膜炎
M70.002 手慢性碎裂音滑膜炎
M70.100 手滑囊炎
M70.101 腕滑囊炎
M70.102 过度打击手
M70.200 鹰嘴囊炎
M70.201 矿工肘
M70.202 学生肘
M70.301 过度打击肘
M70.400 髌前囊炎
M70.402 努恩膝
M70.403 髌前水囊瘤
M70.500x002 膝假性滑囊炎
M70.501 鹅趾滑囊炎
M70.502 腘滑囊炎
M70.503 过度打击膝
M70.504 膝半膜肌肉滑囊炎
M70.600 转子滑囊炎
M70.600x001 转子腱炎
M70.700 髋的其他滑囊炎
M70.700x002 髂耻滑囊炎
M70.701 坐骨滑囊炎
M70.702 大粗隆滑囊炎
M70.800 与使用、过度使用和压迫有关的其他软组~~织疾患
M70.800x001 手指滑囊炎
M70.901 体位性劳损
M70.902 职业性滑囊炎
M71.000 黏液囊脓肿
M71.001 肩区黏液囊脓肿
M71.002 上臂黏液囊脓肿
M71.003 前臂黏液囊脓肿
M71.004 手黏液囊脓肿
M71.005 骨盆区黏液囊脓肿
M71.006 大腿黏液囊脓肿
M71.007 小腿黏液囊脓肿
M71.008 踝黏液囊脓肿
M71.009 足黏液囊脓肿
M71.100 感染性滑囊炎，其他的
M71.101 肩区感染性滑囊炎
M71.102 上臂感染性滑囊炎
M71.103 前臂感染性滑囊炎
M71.104 手感染性滑囊炎
M71.105 骨盆区感染性滑囊炎
M71.106 大腿感染性滑囊炎
M71.107 小腿感染性滑囊炎
M71.108 踝感染性滑囊炎
M71.109 足感染性滑囊炎
M71.200 腘间隙滑膜囊肿[贝克]
M71.200x001 腘窝囊肿
M71.300x021 肘窝囊肿
M71.301 肩区滑膜囊肿
M71.302 肘窝滑膜囊肿
M71.303 腕关节滑膜囊肿
M71.304 手关节滑膜囊肿
M71.305 坐骨滑膜囊肿
M71.306 髋关节滑膜囊肿
M71.307 膝关节滑膜囊肿
M71.308 踝关节滑膜囊肿
M71.309 足滑膜囊肿
M71.310 滑膜囊肿
M71.400 黏液囊钙沉着
M71.401 上臂滑膜钙化
M71.402 前臂滑膜钙化
M71.403 手部滑膜钙化
M71.404 骨盆区滑膜钙化
M71.405 大腿滑膜钙化
M71.406 小腿滑膜钙化
M71.407 踝关节滑膜钙化
M71.408 足滑膜钙化
M71.501 肘关节粘连性滑囊炎
M71.502 腕关节粘连性滑囊炎
M71.503 手骨间关节粘连性滑囊炎
M71.504 髋关节粘连性滑囊炎
M71.505 骶髂关节粘连性滑囊炎
M71.506 膝关节粘连性滑囊炎
M71.507 踝关节粘连性滑囊炎
M71.508 足粘连性滑囊炎
M71.801 异位滑囊
M71.900 黏液囊病
M71.900x001 肘关节粘液囊病
M71.900x002 腕关节粘液囊病
M71.900x003 手骨间关节粘液囊病
M71.900x004 髋关节粘液囊病
M71.900x005 骶髂关节粘液囊病
M71.900x006 膝关节粘液囊病
M71.900x007 踝关节粘液囊病
M71.909 滑囊炎
M72.001 掌筋膜挛缩症
M72.100 指节垫
M72.200 跖筋膜纤维瘤病
M72.201 足底筋膜纤维瘤病
