诊断操作包括如下：
B90.000 中枢神经系统结核的后遗症
Z90.500x001 手术后肾缺失
Z90.600 泌尿道其他部分后天性缺失
Z90.600x002 后天性膀胱缺失
Z90.600x003 后天性输尿管缺失
Z90.700x002 后天性阴囊缺失
Z90.700x003 后天性龟头缺失
Z90.700x005 后天性阴茎缺失
Z90.700x006 后天性卵巢缺失
Z90.701 子宫切除术后状态
Z90.702 子宫部分切除术后状态
Z90.703 宫颈切除术后状态
Z90.704 单侧卵巢切除术后状态
Z90.705 双侧卵巢切除术后状态
Z90.706 单侧输卵管卵巢切除术后状态
Z90.707 双侧输卵管卵巢切除术后状态
Z90.708 前列腺切除术后状态
Z90.709 睾丸切除术后状态
Z90.800x002 后天性肋骨缺失
Z91.000 非药物和生物制品过敏个人史
Z91.100 不服从医疗和医疗制度个人史
Z91.200 个人卫生不良个人史
Z91.300 有害健康的作息安排个人史
Z91.400x001 心理创伤史
Z91.500x001 假自杀史
Z91.500x003 自杀企图史
Z91.501 服毒个人史
Z91.601 损伤个人史
Z91.700 女性生殖器官切割史
Z91.800x001 铅中毒史
Z91.800x002 吸烟史
Z92.000x001 避孕史
Z92.001 输卵管绝育史
Z92.100 长期(近期)使用抗凝血药个人史
Z92.200 长期(近期)使用其他药剂个人史
Z92.200x021 胰岛素使用史
Z92.201 使用阿司匹林个人史
Z92.300x001 放射治疗史
Z92.401 脑血管手术史
Z92.402 脑肿瘤切除史
Z92.500 康复措施个人史
Z92.800x001 电除颤史
Z92.800x002 电复律史
Z92.900 医疗个人史
Z93.000 气管造口状态
Z93.100 胃造口状态
Z93.200 回肠造口状态
Z93.201 空肠造口状态
Z93.300 结肠造口状态
Z93.400 胃肠道的其他人工造口状态
Z93.500 膀胱造口状态
Z93.601 肾造口术状态
Z93.602 输尿管造术状态
Z93.603 尿道造口状态
Z93.800 人工造口状态,其他的
Z93.900 人工造口状态
Z94.001 自体肾移植状态
Z94.002 异体肾移植状态
Z94.100 心脏移植状态
Z94.200 肺移植状态
Z94.300x001 心肺移植状态
Z94.400 肝移植状态
Z94.500 皮肤移植状态
Z94.500x001 自体皮肤移植状态
Z94.500x003 皮管移植状态
Z94.500x004 皮瓣移植状态
Z94.500x005 原皮回植状态
Z94.500x006 皮瓣舒平状态
Z94.500x007 皮瓣延迟状态
Z94.600 骨移植状态
Z94.700 角膜移植状态
Z94.800x004 外周干细胞移植状态
Z94.800x006 外耳移植状态
Z94.800x007 毛发移植状态
Z94.800x010 脐血干细胞移植状态
Z94.800x011 自体造血干细胞移植状态
Z94.800x012 造血干细胞移植状态
Z94.801 肠移植状态
Z94.802 骨髓移植状态
Z94.803 胰腺移植状态
Z94.804 干细胞移植状态
Z94.900 器官和组织移植状态
Z95.001 具有心脏起搏器
Z95.002 具有心脏再同步治疗除颤器(CRT-D)
Z95.003 具有心脏再同步治疗起搏器
Z95.004 具有复律除颤器
Z95.101 冠状动脉搭桥术后状态
Z95.200x002 二尖瓣机械瓣置换状态
Z95.200x003 主动脉瓣机械瓣置换状态
Z95.200x004 三尖瓣机械瓣置换状态
Z95.300x002 二尖瓣生物瓣置换状态
Z95.300x003 主动脉瓣生物瓣置换状态
Z95.300x004 三尖瓣生物瓣置换状态
Z95.400 具有其他心脏瓣膜置换
Z95.500x002 冠状血管成形术后状态
Z95.501 冠状动脉支架植入后状态
Z95.800x001 血管置换术后状态
Z95.800x003 周围血管支架植入术后状态
Z95.800x004 血管支架植入术后状态
Z95.800x005 心脏介入封堵术后状态
Z95.800x006 人工心脏置入术后
Z95.800x007 具有心脏除颤器
Z95.801 周围血管成形术后状态
Z95.900 具有心脏和血管植入物和移植物
Z96.001 输尿管内支架
Z96.101 人工晶体植入术后
Z96.102 带晶状体眼的人工晶体植入术后
Z96.200x001 骨传导听力装置植入状态
Z96.200x005 镫骨装置植入状态
Z96.201 人工耳蜗植入
Z96.300 具有人工喉
Z96.401 胰岛素泵植入状态
Z96.500 具有牙根和下颌骨植入物
Z96.600x001 具有关节置入物
Z96.600x011 具有肩关节置入物
Z96.600x021 具有肘关节置入物
Z96.600x031 具有腕关节置入物
Z96.600x061 具有踝关节置入物
Z96.601 人工髋关节
Z96.602 人工膝关节
Z96.603 人工肘关节
Z96.700 具有其他骨和腱的植入物
Z96.701 颅骨板植入物
Z96.800 具有其他特指的功能性植入物
Z96.900 具有功能性植入物
Z97.000x001 义眼
Z97.000x002 人工义眼托植入状态
Z97.100x001 具有人工肢体
Z97.200x001 具有假牙装置
Z97.300x002 具有接触镜
Z97.301 配戴眼镜
Z97.400 具有外部助听器
Z97.500x001 具有子宫内避孕装置
Z97.800 具有其他特指的装置
Z98.000x001 肠搭桥状态
Z98.000x002 肠吻合状态
Z98.100 关节固定术状态
Z98.200x001 脑脊液分流状态
Z98.800x001 鼻咽术后
Z98.800x002 扁桃体术后
Z98.800x003 喉术后
Z98.800x004 气管术后
Z98.800x005 肺术后
Z98.800x006 胸腔闭式引流术后
Z98.800x007 腺样体术后
Z98.800x101 牙外科正畸术后
Z98.800x102 牙龈术后
Z98.800x103 舌术后
Z98.800x104 咽术后
Z98.800x105 咽腭成形术后
Z98.800x107 食管术后
Z98.800x108 胃术后
Z98.800x109 壶腹术后
Z98.800x110 贲门术后
Z98.800x111 胆道术后
Z98.800x112 胆囊术后
Z98.800x114 腹膜术后
Z98.800x115 肝术后
Z98.800x116 空肠术后
Z98.800x117 胰腺术后
Z98.800x118 结肠术后
Z98.800x119 回肠术后
Z98.800x120 肛管术后
Z98.800x121 盲肠术后
Z98.800x122 直肠术后
Z98.800x123 阑尾术后
Z98.800x124 十二指肠术后
Z98.800x201 输尿管术后
Z98.800x202 尿道术后
Z98.800x203 膀胱术后
Z98.800x205 前列腺术后
Z98.800x208 阴茎术后
Z98.800x209 睾丸术后
Z98.800x210 肾术后
Z98.800x301 宫颈术后
Z98.800x302 子宫术后
Z98.800x303 卵巢术后
Z98.800x305 盆腔术后
Z98.800x306 葡萄胎术后
Z98.800x307 前庭大腺术后
Z98.800x308 人流术后
Z98.800x309 输卵管术后
Z98.800x310 引产术后
Z98.800x311 外阴术后
Z98.800x312 药物流产术后
Z98.800x313 胚胎移植术后
Z98.800x315 输卵管假体置入术后
Z98.800x316 左侧输卵管绝育术后
Z98.800x317 右侧输卵管绝育术后
Z98.800x318 双侧输卵管绝育术后
Z98.800x319 多胎妊娠减胎术后
Z98.800x401 动静脉畸形栓塞术后
Z98.800x402 动脉狭窄扩张成型术后
Z98.800x403 冠状动脉造影术后
Z98.800x404 静脉曲张术后
Z98.800x405 先天性心脏病术后
Z98.800x406 二尖瓣球囊扩张术后
Z98.800x407 法洛四联症术后
Z98.800x408 室间隔缺损修补术后
Z98.800x409 二尖瓣成形术后
Z98.800x410 心内膜垫缺损修补术后
Z98.800x411 房间隔缺损修补术后
Z98.800x412 肺动脉瓣球囊扩张术后
Z98.800x413 三尖瓣成形术后
Z98.800x414 主动脉瓣成形术后
Z98.800x416 动脉导管结扎术后
Z98.800x417 淋巴静脉吻合术后
Z98.800x418 心脏消融术后
Z98.800x420 血管成形术后
Z98.800x421 心脏置入装置调整术后
Z98.800x422 心脏术后
Z98.800x423 主动脉瓣球囊扩张术后
Z98.800x501 垂体术后
Z98.800x502 甲状腺术后
Z98.800x503 肾上腺术后
Z98.800x507 脑术后
Z98.800x602 骨折术后
Z98.800x605 胸廓术后
Z98.800x606 腹股沟术后
Z98.800x609 清创术后
Z98.800x610 韧带术后
Z98.800x611 脊柱术后
Z98.800x612 乳腺术后
Z98.800x614 颈椎术后
Z98.800x615 胸椎术后
Z98.800x616 腰椎术后
Z98.800x701 耳术后
Z98.800x704 眼术后
Z98.800x901 气管支架置入术后
Z98.800x902 食管支架置入术后
Z98.800x903 胆管支架置入术后
Z98.800x904 胰管支架置入术后
Z98.800x905 十二直肠支架置入术后
Z98.800x906 结肠支架置入术后
Z98.800x907 输尿管支架置入术后
Z98.800x908 脾术后
Z98.801 玻璃体切除硅油充填状态
Z99.000 依赖吸引器
Z99.100x001 依赖于呼吸器者
Z99.300 依赖轮椅
Z99.400 依赖人工心脏
Z99.800 依赖其他可启动机器和装置
Z99.900 依赖可启动机器和装置
