包含以下主要诊断：
A34.x00 产科破伤风
O99.308 妊娠合并截瘫
O99.309 妊娠合并脑瘫
O99.310 妊娠合并重症肌无力
O99.311 妊娠合并精神病
O99.312 妊娠合并精神障碍
O99.313 妊娠合并强迫症
O99.314 妊娠合并智力障碍
O99.315 妊娠合并多发性硬化
O99.400x004 妊娠合并肺动脉高压
O99.400x008 妊娠合并心力衰竭
O99.400x010 妊娠合并大动脉炎
O99.400x011 妊娠合并循环系统疾病
O99.400x021 分娩合并循环系统疾病
O99.400x022 妊娠合并交界性心动过速
O99.400x023 妊娠合并左心衰竭
O99.400x027 妊娠合并心房颤动(心房纤颤)
O99.400x030 妊娠合并心室肥厚
O99.400x031 妊娠合并感染性心包炎
O99.400x032 产褥期肺动脉高压
O99.400x033 妊娠合并急性心肌梗死
O99.400x034 产褥期循环系统疾病
O99.401 产褥期脑血管病
O99.402 产褥期心功能不全
O99.403 妊娠合并窦性心动过速
O99.404 妊娠合并二尖瓣关闭不全
O99.405 妊娠合并二尖瓣脱垂
O99.406 妊娠合并房性期前收缩
O99.407 妊娠合并频发室性期前收缩
O99.408 妊娠合并风湿性心脏病
O99.409 妊娠合并冠状动脉供血不足
O99.410 妊娠合并室上性心动过速
O99.411 妊娠合并室性心动过速
O99.412 妊娠合并室性期前收缩
O99.413 妊娠合并心包积液
O99.414 妊娠合并心功能不全
O99.415 妊娠合并心肌病
O99.416 妊娠合并心肌炎后遗症
O99.418 妊娠合并心律失常
O99.419 妊娠合并心血管病
O99.420 妊娠合并心脏病
O99.421 妊娠合并心脏扩大
O99.422 妊娠合并右束支传导阻滞
O99.423 妊娠合并预激综合征
O99.424 妊娠合并左束支传导阻滞
O99.425 妊娠合并风湿性关节炎
O99.426 妊娠合并肾下腔静脉压迫
O99.427 妊娠合并血栓形成
O99.428 妊娠合并原发性肺动脉高压
O99.429 妊娠合并颈动脉狭窄
O99.430 妊娠合并脑出血
O99.431 妊娠合并脑梗死
O99.432 妊娠合并脑血管病
O99.433 妊娠合并烟雾病
O99.434 妊娠合并子宫动静脉瘘
O99.500x008 产后并发急性肺水肿
O99.500x011 妊娠合并呼吸系统疾病
O99.500x021 分娩合并呼吸系统疾病
O99.500x031 产褥期呼吸系统疾病
O99.501 妊娠合并慢性气管炎
O99.502 妊娠合并支气管扩张
O99.503 妊娠合并支气管炎
O99.504 妊娠期合并支气管哮喘
O99.505 妊娠合并肺不张
O99.506 妊娠合并肺部感染
O99.507 妊娠合并肺水肿
O99.508 妊娠合并过敏性哮喘
O99.509 妊娠合并呼吸衰竭
O99.510 妊娠合并上呼吸道感染
O99.511 妊娠合并胸水
O99.512 妊娠合并急性呼吸窘迫综合征
O99.600x001 妊娠合并急性阑尾炎
O99.600x011 妊娠合并消化系统疾病
O99.600x012 妊娠合并胃痉挛
O99.600x014 妊娠合并牙髓炎
O99.600x021 分娩合并消化系统疾病
O99.601 妊娠合并上消化道出血
O99.602 妊娠合并牙周炎
O99.603 妊娠合并急性胃炎
O99.604 妊娠合并胃炎
O99.605 妊娠合并出血性胃炎
O99.607 妊娠合并肠梗阻
O99.609 妊娠合并小肠疝
O99.610 妊娠合并阑尾穿孔
O99.611 妊娠合并阑尾炎
O99.614 妊娠合并门脉高压
O99.615 妊娠合并胆囊结石
O99.616 妊娠合并胆囊息肉
O99.617 妊娠合并胆囊炎
O99.618 妊娠合并硬化性胆管炎
O99.619 妊娠合并急性胰腺炎
O99.620 妊娠合并腹膜囊肿
O99.621 妊娠合并腹膜炎
O99.622 妊娠合并肛瘘
O99.623 妊娠合并腹股沟疝
O99.624 妊娠合并胃穿孔
O99.700x006 妊娠合并颈部脓肿
O99.700x008 妊娠合并瘙痒性毛囊炎
O99.700x009 妊娠合并瘙痒性荨麻疹性丘疹
O99.700x010 妊娠合并线状 IgM 皮病
O99.700x011 妊娠合并丘疹性皮炎
O99.700x012 妊娠合并瘙痒性荨麻疹性斑块
O99.700x013 妊娠合并皮肤和皮下组织的疾病
O99.700x021 分娩合并皮肤和皮下组织的疾病
O99.700x031 产褥期皮肤和皮下组织的疾病
O99.701 妊娠合并过敏性皮炎
O99.702 妊娠合并黑棘皮病
O99.703 妊娠合并红皮病
O99.704 妊娠合并疖肿
O99.705 妊娠合并结节性红斑
O99.706 妊娠合并玫瑰糠疹
O99.707 妊娠合并银屑病
O99.708 妊娠合并皮炎
O99.709 妊娠合并荨麻疹
O99.710 妊娠合并湿疹
O99.711 妊娠合并痒疹
O99.800x012 妊娠合并原位肿瘤
O99.800x014 妊娠合并交界性肿瘤
O99.800x016 妊娠合并垂体瘤
O99.800x017 妊娠合并骨髓异常增生综合征
O99.800x018 妊娠合并脑肿瘤
O99.800x019 妊娠合并血管瘤
O99.800x021 分娩合并恶性肿瘤
O99.800x022 分娩合并原位肿瘤
O99.800x023 分娩合并良性肿瘤
O99.800x024 分娩合并交界性肿瘤
O99.800x031 产褥期恶性肿瘤
O99.800x032 产褥期原位肿瘤
O99.800x033 产褥期良性肿瘤
O99.800x034 产褥期交界性肿瘤
O99.800x111 妊娠合并眼和附器疾病
O99.800x112 妊娠合并耳和乳突疾病
O99.800x113 妊娠合并高度近视
O99.800x114 妊娠合并视网膜病
O99.800x115 妊娠合并黄斑区囊肿
O99.800x116 妊娠合并视野缺损
O99.800x121 分娩合并眼和附器疾病
O99.800x122 分娩合并耳和乳突疾病
O99.800x131 产褥期眼和附器疾病
O99.800x132 产褥期耳和乳突疾病
O99.800x211 妊娠合并肌肉骨骼系统和结缔组织~~疾病
O99.800x213 妊娠合并硬皮病
O99.800x215 妊娠合并腰椎间盘突出
O99.800x216 妊娠合并强直性脊柱炎
O99.800x217 产褥期股内收肌腱炎
O99.800x221 分娩合并肌肉骨骼系统和结缔组织~~疾病
O99.800x231 产褥期肌肉骨骼系统和结缔组织疾~~病
O99.800x312 妊娠合并外阴白斑
O99.800x314 妊娠合并尿道结石
O99.800x315 妊娠合并肾小管酸中毒
O99.800x316 妊娠合并输尿管结石
O99.800x317 妊娠合并外阴营养不良
O99.800x318 妊娠合并卵巢过度刺激综合征
O99.800x319 妊娠期前庭大腺囊肿
O99.800x321 分娩合并泌尿生殖系统疾病
O99.800x331 产褥期泌尿生殖系统疾病
O99.800x411 妊娠合并先天性畸形、变形和染色体~~异常
O99.800x412 妊娠合并先天性心脏病
O99.800x413 妊娠合并先天性脑血管畸形
O99.800x414 妊娠合并先天性房间隔缺损
O99.800x415 妊娠合并肾畸形
O99.800x416 妊娠合并先天性脊柱畸形
O99.800x417 妊娠合并先天性肾缺失
O99.800x421 分娩合并先天性畸形、变形和染色体~~异常
O99.800x431 产褥期先天性畸形、变形和染色体异~~常
O99.800x511 妊娠合并糖耐量异常
O99.801 妊娠合并良性肿瘤
O99.802 妊娠合并恶性肿瘤
O99.803 妊娠合并眼疾病
O99.804 妊娠合并肌肉骨骼疾病
O99.805 妊娠合并结缔组织疾病
O99.806 妊娠合并泌尿生殖系统疾病
O99.807 妊娠合并先天性畸形
O99.808 妊娠合并染色体异常
O99.809 妊娠合并白血病
O99.810 妊娠合并肾结石
O99.811 妊娠合并系统性红斑狼疮
O99.812 妊娠合并干燥综合征
O99.813 妊娠合并风湿病
O99.814 妊娠合并视网膜剥离
包含以下主要手术或操作：
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
48.7100 直肠裂伤缝合术
48.7900x003 直肠修补术
69.0202 分娩后刮宫术
69.5201 分娩后电吸刮宫术
72.0x00 低位产钳手术
72.1x00 低位产钳手术伴外阴切开术
72.2100 中位产钳手术伴外阴切开术
72.2900x001 中位产钳术
72.3100 高位产钳手术伴外阴切开术
72.3900x001 高位产钳术
72.4x00 产钳胎头旋转
72.5100x001 后出头产钳伴部分臀牵引术
72.5200x001 部分臀位牵引术
72.5300 头娩出后用产钳的全部臀位牵引
72.5400x001 全部臀位牵引术
72.6x00 头后出产钳助产
72.7100x001 胎头吸引伴会阴切开术
72.7900x001 胎头吸引术
72.8x00 其他特定器械的分娩
73.1x00x001 剥膜引产
73.1x00x002 子宫颈扩张引产
73.2100x001 内倒转助产
73.2200 内倒转术与联合倒转术伴牵引术
73.3x00x001 试用产钳
73.5100 手法旋转胎头
73.5900x001 臀助产术
73.5900x002 头位阴道助产
73.5900x003 克勒德手法助产[Crede]
73.6x00x002 会阴中切缝合术
73.6x01 会阴侧切缝合术
73.6x02 会阴直切缝合术
73.8x00x002 毁胎术
73.9100 胎位外倒转术
73.9200 脐带脱垂复位
73.9300 子宫颈切开助产
73.9400 耻骨切开助产
73.9900 其他助产手术
75.4x00x001 手取胎膜
75.4x00x002 手取胎盘
75.4x00x003 胎盘钳夹术
75.5100 子宫颈近期产科裂伤修补术
75.5200 子宫体近期产科裂伤修补术
75.6902 近期产科会阴裂伤修补术
75.6903 近期产科外阴裂伤修补术
75.6905 近期产科阴道裂伤修补术
75.9100x001 产科会阴血肿去除术
75.9200x001 产科外阴血肿去除术
75.9200x002 产科阴道血肿去除术
75.9201 外阴产科血肿排除术
75.9202 阴道产科血肿排除术
75.9300 内翻子宫的手术矫正术
75.9400x001 产科内翻子宫手法复位
75.9900x004 多胎妊娠减胎术
