包含以下主要诊断：
B33.000 流行性肌痛
M96.801 继发于关节假体取出后关节不稳定
M96.900 肌肉骨骼疾患，操作后的
M99.000 节段性和躯体性功能障碍
M99.100x001 枕颈椎骨不全脱位
M99.100x002 颈胸椎骨不全脱位
M99.100x003 胸腰椎骨不全脱位
M99.100x004 腰骶椎骨不全脱位
M99.100x005 骶尾椎骨不全脱位
M99.100x006 骶髂椎骨不全脱位
M99.900 生物力学损害
N25.003+M90.8* 肾性骨软化
Q77.200 短肋综合征
Q77.201 窒息性胸廓发育不良
Q77.300 点状软骨发育不良
Q77.301 先天性多发性骨骺发育不良
Q77.500 弯曲变形性发育不良(骨骼)
Q77.600 软骨外胚层发育不良
Q77.700 脊椎骨骺发育不良
Q77.701 进行性假性类风湿发育不良症
Q77.800 骨软骨发育不良伴有管状骨和脊柱发育~~缺陷，其他的
Q77.801 Leri-Weill 综合征
Q77.900 骨软骨发育不良伴有管状骨和脊柱发育~~缺陷
Q78.000 成骨不全
Q78.000x003 瓦登伯格综合征[Waardenburg 综合~~征]
Q78.100 多骨纤维性结构不良
Q78.100x001 先天性弥漫性纤维性骨炎
Q78.100x002 多发性骨纤维发育不良伴性早熟综~~合征[Albright 综合征]
Q78.200 骨硬化症
Q78.201 播散性骨硬化病
Q78.300 进行性骨干发育异常
Q78.400 内生软骨瘤病
Q82.900 皮肤先天性畸形
Q84.100 先天性毛发形态障碍，不可归类在他处者
Q84.101 先天性念珠状发
Q84.900 体被先天性畸形
Q85.900x008 前臂错构瘤
Q85.900x014 足错构瘤
Q85.900x023 横纹肌间质错构瘤
Q85.900x027 平滑肌错构瘤
Q85.900x030 下肢错构瘤
Q85.900x039 膝部错构瘤
Q85.900x040 肢体错构瘤
Q85.900x051 骨错构瘤
Q85.900x057 软骨间叶性错构瘤
Q86.800 已知的外源性原因引起的其他先天性畸~~形综合征
Q87.000x201 阿佩尔综合征[Apert 综合征]
Q87.000x501 哈勒曼 - 斯特雷夫综合征~~[Hallerman-Streiff 综合征]
Q87.000x904 腭心面综合征[Velo-Cardio-Facia~~综合征]
Q87.000x905 歌舞伎面谱综合征[Kabuki 综合征]
Q87.000x906 默比乌斯综合征[Moebius 综合征]
Q87.000x907 短指-球状晶体异位综合征[马尔凯~~萨尼综合征]
Q87.000x909 口-面-指综合征
Q87.001 戈尔登哈尔综合征
Q87.002 马尔凯萨尼(-魏尔)综合征
Q87.003 皮-罗综合征
Q87.100x601 塞克尔综合征[Seckel 综合征]
Q87.100x701 史密斯 - 莱尔米 - 奥 皮 茨 综 合 征~~[Smith-Lemli-Opitz 综合征]
Q87.100x901 奥斯科格综合征[Aarskog 综合征]
Q87.100x903 罗比诺-西尔弗曼-史密斯综合征~~[Robinow-Silverman-Smith 综合征]
Q87.101 德朗热综合征
Q87.102 杜博维茨综合征
Q87.103 科凯恩综合征
Q87.104 鲁塞尔-西尔弗综合征
Q87.105 努南综合征
Q87.106 普拉德-威利综合征
Q87.200 主要涉及四肢的先天性畸形综合征
Q87.200x601 桡骨发育不全-血小板减少综合征~~[TAR 综合征]
Q87.200x701 VATER 综合征
Q87.202 甲-髌综合征
Q87.204 鲁宾斯坦-塔比综合征
Q87.301 贝克威思-威德曼综合征
Q87.302 索托斯综合征
Q87.500 其他先天性畸形综合征，伴有其他骨改变
Q87.800 其他先天性畸形综合征，不可归类在他处~~者
Q87.800x901 痣样基底细胞癌综合征[Gorlin 综合~~征]
Q87.800x902 Frasier 综合征
Q87.801 奥尔波特综合征
Q87.802 策尔韦格综合征
Q87.803 颈-眼-听神经综合征
Q87.805 类马方综合征
Q89.700 多发性先天性畸形，不可归类在他处者
Q89.900 先天性畸形
R07.300x002 肋软骨痛
R29.400 弹响髋
R93.600 肢体诊断性影像检查的异常所见
R93.700 肌肉骨骼系统其他部位诊断性影像检查~~的异常所见
R94.104 肌电图异常
S22.910 开放性胸廓骨折
S32.710 开放性腰椎和骨盆多处骨折
S32.711 开放性多发性骨盆骨折
S32.712 开放性多发性腰椎骨折
S33.701 骶髂区扭伤
S33.702 耻骨联合扭伤
S39.000x001 腹部肌肉损伤
S39.000x003 下背肌肉损伤
S39.000x005 骨盆肌肉损伤
S39.001 腹直肌断裂
S39.002 开放性腰大肌断裂
S39.800x001 腹部软组织损伤
S39.800x002 下背软组织损伤
S39.800x003 骨盆软组织损伤
S39.800x004 腹部和下背及骨盆软组织损伤
S39.800x005 臀部软组织损伤
S42.810 开放性肩和上臂特指部位骨折
S48.900 在肩和上臂水平的创伤性切断
S57.800 前臂其他部位的挤压伤
S59.800 前臂其他特指的损伤
S62.810 开放性腕和手其他和未特指部位骨折
S72.810 开放性股骨特指部位骨折
S78.900 髋和大腿水平的创伤性切断
S79.800 髋和大腿其他特指的损伤
S79.800x001 髋关节周围软组织损伤
S88.900 小腿水平的创伤性切断
S98.300 足其他部位的创伤性切断
S98.400 足创伤性切断
T02.100x001 躯干多发性骨折
T02.110 开放性多发性躯干骨折
T02.900 多处骨折
T02.910 开放性多发性骨折
T03.000x001 头和颈脱位
T03.000x002 头和颈扭伤
T03.000x003 头和颈损伤
T03.100x001 胸伴下背及骨盆脱位
T03.100x002 胸伴下背及骨盆扭伤
T03.100x003 胸伴下背及骨盆损伤
T03.200x001 上肢多处脱位
T03.200x002 上肢多处扭伤
T03.300x001 下肢多处脱位
T03.300x002 下肢多处扭伤
T03.300x003 下肢多处损伤
T03.400x001 上肢和下肢多处脱位
T03.400x002 上肢和下肢多处扭伤
T03.400x003 上肢和下肢多处损伤
T03.800x001 身体复合部位的脱位
T03.800x002 身体复合部位的扭伤
T03.900 多处脱位、扭伤和劳损
T03.900x001 多处脱位
T03.900x002 多处扭伤
T04.800x001 身体复合部位的挤压伤
T05.800x003 身体复合部位的创伤性切断
T06.400x001 多处肌肉和肌腱损伤
T06.400x002 多处肌肉损伤
T06.401 多发性肌腱损伤
T06.800x001 身体复合部位的损伤
T09.200 躯干关节和韧带脱位、扭伤和劳损
T09.200x006 躯干韧带扭伤
T09.200x009 躯干韧带损伤
T09.500 躯干肌肉和肌腱的损伤
T09.500x002 躯干肌肉损伤
T09.500x003 躯干肌腱损伤
T11.200 上肢关节和韧带脱位、扭伤和劳损
T11.200x001 上肢关节和韧带脱位
T11.200x002 上肢关节脱位
T11.200x003 上肢韧带脱位
T11.200x004 上肢关节和韧带扭伤
T11.200x007 上肢关节和韧带损伤
T14.200 身体骨折
T14.210 开放性骨折
T14.300 脱位、扭伤和劳损
T14.500 血管损伤
T14.501 创伤性动脉瘤
T14.601 肌腱损伤
T14.602 肌肉损伤
T14.701 挤压伤
T14.702 创伤性切断
T79.600 创伤性肌肉缺血
T79.600x003 腔隙综合征
T79.600x004 上肢骨筋膜室综合征
T79.600x006 下肢骨筋膜室综合征
T79.601 创伤性骨筋膜室综合征
T79.602 福耳克曼缺血性挛缩
T79.603 腹腔间隔室综合征
T79.800x002 创伤性下肢坏死
T87.300 截断术残端的神经瘤
T87.300x001 创伤性神经瘤
T87.300x002 指创伤性神经瘤
T87.400 截断术残端的感染
T87.500 截断术残端的坏死
T87.600x002 截断术残端挛缩
T87.600x003 截断术残端血肿
T87.600x004 截断术残端水肿
T87.601 截肢残端溃疡
T87.602 残端综合征
Z52.200 供骨者
