包含以下主要诊断：
C45.900 间皮瘤
54.3x03 腹股沟病损切除术
54.3x04 脐切除术
54.3x05 盆腔壁病损切除术
54.4x02 腹膜后病损切除术
54.6101 腹壁切口裂开缝合术
54.6301 腹壁裂伤缝合术
54.6400 腹膜缝合术
54.6401 网膜裂伤缝合术
54.7100 腹裂（畸形）修补术
54.7200x001 腹壁补片修补术
54.9100x002 经腹盆腔穿刺引流术
54.9100x009 超声引导下盆腔穿刺术
54.9101 腹腔穿刺引流术
54.9104 腹膜后穿刺引流术
54.9300x001 腹壁造口术
55.3301 超声引导下肾病损射频消融术
55.3302 经皮肾镜肾病损消融术
56.4100x012 经尿道输尿管病损激光切除术
56.5101 乙状结肠膀胱腹壁造口术
56.5102 回肠输尿管皮肤造口术
56.5200x001 输尿管-回肠皮肤造口修正术
56.6100x001 输尿管-皮肤造口术
56.6100x003 输尿管造口术
56.6100x004 腹腔镜下输尿管-皮肤造口术
56.7100x002 输尿管-乙状结肠吻合术
56.7100x004 腹腔镜下输尿管-乙状结肠吻合术
56.7300 肾膀胱吻合术
56.7402 腹腔镜下输尿管膀胱吻合术
56.7501 左右输尿管吻合术
56.8100 输尿管管腔内粘连松解术
56.8200x002 腹腔镜下输尿管损伤修复术
56.8201 输尿管裂伤修补术
56.8300 输尿管造口闭合术
56.8400x001 输尿管瘘修补术
56.8401 输尿管阴道瘘修补术
56.8500 输尿管固定术
56.8600 输尿管结扎去除术
57.1200 膀胱切开的膀胱腔内粘连松解术
57.1901 膀胱探查术
57.1902 膀胱切开取石术
57.1903 膀胱切开异物取出术
57.1905 膀胱切开血块清除术
57.2100 膀胱造口术
57.4100x002 经尿道膀胱腔内粘连松解术
57.8200 膀胱造口闭合术
57.8900x003 腹腔镜下膀胱颈悬吊术
57.8900x004 膀胱颈悬吊术
57.8903 膀胱悬吊术
57.9102 经尿道膀胱颈切断术
57.9201 经尿道膀胱颈扩张术
57.9600 电子膀胱刺激器置入术
57.9900x001 膀胱封闭术
58.0x00x003 尿道切开探查术
58.0x01 尿道切开取石术
58.0x02 尿道会阴造口术
58.1x01 尿道外口切开术
58.3101 经尿道尿道病损电切术
58.3103 经尿道尿道狭窄电切术
58.3901 尿道病损切除术
58.3902 尿道瓣膜切除术
58.3903 尿道切除术
58.3904 尿道部分切除术
58.3905 尿道狭窄切除术
58.3906 尿道口病损切除术
58.4301 尿道瘘修补术
58.4302 尿道阴道瘘修补术
58.4303 尿道直肠瘘修补术
58.4304 尿道会阴瘘修补术
58.4305 腹腔镜下尿道瘘修补术
58.9102 尿道旁切开引流术
58.9200x002 尿道旁腺病损切除术
58.9201 尿道旁病损切除术
58.9300 人工尿道括约肌[AUS]置入
58.9901 可膨胀的尿道括约肌去除术
59.0000 腹膜后清扫术
59.0201 输尿管狭窄松解术
59.0202 输尿管周围粘连松解术
59.0203 肾周围粘连松解术
59.0301 腹腔镜下输尿管狭窄松解术
59.0302 腹腔镜下肾周粘连松解术
59.0303 腹腔镜下输尿管周围粘连松解术
59.0901 肾周切开引流术
59.0902 肾周血肿清除术
59.0903 肾周区域探查术
59.1901 膀胱周围探查术
59.1902 耻骨后探查术
60.2100x001 经尿道前列腺激光切除术[TULIP 手~~术]
60.2900x003 经尿道前列腺绿激光汽化术(PVP)
60.2901 经尿道前列腺气化电切术[TEVAP 手术]
60.2902 经尿道前列腺切除术（TURP）
60.6100x001 前列腺病损切除术
60.6100x002 前列腺部分切除术
60.6101 腹腔镜下前列腺病损切除术
60.6200 经会阴前列腺切除术
60.6201 经会阴前列腺冷冻切除术
60.6900x001 前列腺切除术
60.6900x002 腹腔镜下前列腺切除术
65.1100 卵巢抽吸活组织检查
65.1200x001 直视下卵巢活检术
65.1201 卵巢活组织检查
65.1300 腹腔镜卵巢活组织检查
67.2x00 子宫颈锥形切除术
67.2x01 宫腔镜子宫颈锥形切除术
67.3904 子宫颈病损切除术
67.4x08 宫腔镜子宫颈切除术
68.1300 开放性子宫活组织检查
68.1400 开放性子宫韧带活组织检查
68.1501 腹腔镜子宫韧带活组织检查
68.1601 腹腔镜子宫活组织检查
68.2903 子宫内膜病损切除术
68.2915 宫腔镜子宫内膜病损切除术
68.2917 宫腔镜子宫病损切除术
71.2400x003 前庭大腺切除术
86.1100 皮肤和皮下组织的活组织检查
