主诊表
包含以下主要诊断：
A01.001+K77.0* 伤寒性肝炎
S36.200x021 胰体损伤
S36.200x031 胰尾损伤
S36.200x091 胰管损伤
S36.200x092 胰腺和胰管损伤
S36.201 创伤性胰腺破裂
S36.202 胰腺包膜撕裂
S36.210 开放性胰损伤
T81.800x006 操作后胰腺炎
T82.813 肝移植后肝动脉假性动脉瘤破裂
T85.800x802 TIPSS 肝内支架狭窄
T86.400x001 肝移植失败
T86.400x003 肝移植排斥
T86.400x004 肝移植物急性抗宿主病
T86.400x005 肝移植物慢性抗宿主病
T86.400x006 肝移植急性排斥
T86.400x007 肝移植慢性排斥
T86.400x009 肝移植后肝动脉血栓形成
T86.400x010 肝移植后肝动脉狭窄
T86.400x011 肝移植后肝动脉假性动脉瘤
T86.400x012 肝移植后门静脉血栓形成
T86.400x013 肝移植后门静脉狭窄
T86.400x014 肝移植后下腔静脉血栓形成
T86.400x015 肝移植后下腔静脉狭窄
T86.400x016 肝移植后肝静脉回流障碍
T86.400x017 肝移植后肝功能不全
T86.400x018 肝移植后门静脉闭塞
T86.401 移植肝功能衰竭
T86.800x021 胰移植失败
T86.804 移植胰排斥反应
Z52.600x001 供肝脏者
