包含以下主要诊断：
A01.000x016+I41.0* 伤寒并发中毒性心肌炎
I47.100x005 房室折返性心动过速
I47.100x013 自律性增高性房性心动过速
I47.100x014 窄 QRS 心动过速
I47.101 房性心动过速
I47.102 阵发性室上性心动过速
I47.103 阵发性交界性心动过速
I47.104 阵发性房室折返性心动过速
I47.105 交界性心动过速
I47.106 阵发性房室结内折返性心动过速
I47.107 非阵发性交界性心动过速
I47.108 阵发性房性心动过速
I47.109 阵发性房室性心动过速
I47.110 房内折返性心动过速
I47.111 局灶性房性心动过速
I47.200 室性心动过速
I47.200x001 尖端扭转型室性心动过速
I47.200x003 右室室性心动过速
I47.200x005 左室室性心动过速
I47.200x006 宽 QRS 心动过速
I47.200x007 非持续性室性心动过速
I47.200x008 束支折返性室性心动过速
I47.200x009 儿茶酚胺敏感性室性心动过速
I47.200x010 多形性室性心动过速
I47.200x011 单形性室性心动过速
I47.200x013 双向性室性心动过速
I47.200x014 心律失常电风暴
I47.201 阵发性室性心动过速
I47.202 非阵发性室性心动过速
I47.203 持续性室性心动过速
I47.204 儿茶酚胺敏感性多形性室性心动过速
I47.204 儿茶酚胺敏感性多形性室性心动过速
I47.900 阵发性心动过速
I48.000 阵发性心房颤动
I48.100 持续性心房颤动
I48.100x002 永久性心房颤动
I48.100x003 长程持续性心房颤动
I48.200 慢性心房颤动
I48.300 典型心房扑动
I48.301 I 型心房扑动
I48.400 非典型心房扑动
I48.401 II 型心房扑动
I48.900x003 心房扑动
I48.900x004 心房颤动[心房纤颤]
I48.900x015 新诊断心房颤动
I49.001 心室颤动
I49.002 心室扑动
I49.100x001 房性期前收缩[房性早搏]
I49.101 频发性房性期外收缩
I49.200x001 结性期前收缩[交界性过早搏动]
I49.300x002 室性期前收缩
I49.300x005 加速性室性自主心律
I49.301 频发性室性期外收缩
I49.302 室性自搏
I49.303 阵发性室性期外收缩
I49.400x001 期前收缩
I49.401 频发性期外收缩
I49.402 偶发房室性期外收缩
I49.403 结性逸搏
I49.404 过早除极
I49.500 病态窦房结综合征
I49.501 快慢综合征
I49.800x001 室性并行心律
I49.800x002 窦房结-房室结游走节律
I49.800x003 窦房结游走性心律
I49.800x005 反复心律(逆节律)
I49.800x006 房性心律
I49.800x007 结性心律
I49.800x010 紊乱性房性心律
I49.800x015 房性逸搏
I49.800x016 室性逸搏
I49.801 窦性心律失常
I49.802 室性心律失常
I49.804 长 QT 间期综合征
I49.805 布鲁咯哒综合征[Brugada 综合征]
I49.805 布鲁咯哒综合征[Brugada 综合征]
I49.900 心律失常
I50.000 充血性心力衰竭
I50.000x005 右心室衰竭(继发于左心衰竭)
I50.000x006 急性右心衰竭
I50.001 右心衰竭
I50.002 全心衰竭
I50.100 左心室衰竭
I50.100x006 左心衰竭
I50.101 急性左心衰竭
I50.102 左心房衰竭
I50.103 左心衰竭合并肺水肿
I50.104 心源性哮喘
I50.105 慢性左心功能不全
I50.900 心力衰竭
I50.900x001 低心排综合征
I50.900x002 心功能不全
I50.900x007 心功能Ⅱ级(NYHA 分级)
I50.900x008 心功能 III 级(NYHA 分级)
I50.900x009 心功能Ⅱ--Ⅲ级(NYHA 分级)
I50.900x010 心功能 IV 级(NYHA 分级)
I50.900x014 KillipII 级
I50.900x015 KillipIII 级
I50.900x016 KillipIV 级
I50.900x017 难治性心力衰竭
I50.900x018 慢性心功能不全急性加重
I50.900x019 舒张性心力衰竭
I50.906 心肌损害
I50.907 急性心力衰竭
I50.908 慢性心力衰竭
I51.000x001 后天性室间隔缺损
I51.001 后天性房间隔缺损
I51.100x001 心脏腱索断裂
I51.200x001 心脏乳头肌断裂
I51.301 心室血栓
I51.302 心房血栓
I51.303 心耳血栓
I51.304 心尖部血栓
I51.400 心肌炎
I51.400x005 肉芽肿型心肌炎
I51.400x006 巨细胞型心肌炎
I51.401 老年性心肌炎
I51.402 老年性心脏病
I51.403 心肌炎后遗症
I51.403 心肌炎后遗症
I51.404 间质性心肌炎
I51.500x002 心肌劳损
I51.500x006 老年性心肌病
I51.501 老年性心肌变性
I51.502 心肌脂肪变性
I51.600x002 心血管意外
I51.600x003 心血管硬化
I51.700 心脏肥大
I51.700x003 心房扩大
I51.700x004 心肌肥大
I51.700x006 心室肥厚
I51.700x007 心室扩大
I51.700x009 心脏扩大
I51.700x014 左室扩大
I51.700x015 右室扩大
I51.701 左室肥大
I51.702 右室肥大
I51.703 左房扩大
I51.704 右房扩大
I51.705 运动员心脏综合征
I51.706 室间隔肥大
I51.707 心房肥大
I51.708 心肌肥厚
I51.709 心室肥大
I51.800x004 心肌功能不全
I51.800x005 心室肿物
I51.800x006 心房肿物
I51.801 心室假腱索
I51.802 全心炎
I51.803 乳头肌功能不全
I51.900 心脏病
I51.900x001 肝源性心脏病
I51.900x002 心功能Ⅰ级(NYHA 分级)
I51.900x003 KillipⅠ级
I51.901 心脏肿物
I51.903 贫血性心脏病
I67.200x003 颈动脉斑块
I67.200x004 #N/A
I67.203 椎动脉粥样硬化
I67.203 椎动脉粥样硬化
I67.203 椎动脉粥样硬化
I70.000x003 主动脉硬化
I70.000x005 升主动脉粥样硬化
I70.000x006 主动脉弓粥样硬化
I70.000x007 胸主动脉粥样硬化
I70.000x008 胸腹主动脉粥样硬化
I70.000x009 升主动脉钙化
I70.000x010 主动脉弓钙化
I70.000x011 胸主动脉钙化
I70.000x012 腹主动脉钙化
I70.000x013 胸腹主动脉钙化
I70.001 主动脉钙化
I70.002 腹主动脉粥样硬化
I70.003 升主动脉狭窄
I70.004 髂总动脉粥样硬化
I70.010 主动脉的动脉粥样硬化伴坏疽
I70.011 主动脉钙化伴坏疽
I70.012 腹主动脉粥样硬化伴坏疽
I70.013 升主动脉狭窄伴坏疽
I70.014 髂总动脉粥样硬化伴坏疽
I70.100x002 肾动脉动脉硬化症
I70.101 肾动脉狭窄
I70.102 移植肾动脉狭窄
I70.110 肾动脉动脉粥样硬化伴坏疽
I70.111 肾动脉狭窄伴坏疽
I70.112 移植肾动脉狭窄伴坏疽
I70.200x002 肢体动脉硬化
I70.200x004 肢体闭塞性动脉硬化
I70.200x005 动脉中层硬化症
I70.200x011 肢体动脉粥样硬化伴间歇性跛行
I70.200x021 肢体动脉粥样硬化伴疼痛
I70.200x031 肢体动脉粥样硬化伴溃疡
I70.200x061 肱动脉粥样硬化
I70.200x062 股动脉粥样硬化
I70.200x063 腘动脉粥样硬化
I70.200x064 胫动脉粥样硬化
I70.200x065 腓动脉粥样硬化
I70.201 上肢动脉粥样硬化
I70.203 下肢动脉粥样硬化
I70.204 下肢动脉硬化闭塞症
I70.206 蒙克贝格硬化
I70.207 趾动脉粥样硬化
I70.208 闭塞性周围动脉粥样硬化
I70.209 肢体动脉硬化性闭塞症
I70.210 四肢动脉的动脉粥样硬化伴坏疽
I70.211 上肢动脉粥样硬化性坏疽
I70.213 下肢动脉粥样硬化伴坏疽
I70.214 下肢动脉硬化闭塞症伴坏疽
I70.217 趾动脉粥样硬化性坏疽
I70.218 闭塞性周围动脉粥样硬化伴坏疽
I70.219 肢体动脉硬化性闭塞症伴坏疽
I70.800x005 髂动脉硬化
I70.800x006 腋动脉粥样硬化
I70.802 髂动脉闭塞性粥样硬化
I70.804 锁骨下动脉粥样硬化
I70.805 乳内动脉粥样硬化
I70.810 其他动脉粥样硬化伴坏疽
I70.812 髂动脉闭塞性粥样硬化伴坏疽
I70.900x002 闭塞性动脉硬化
I70.900x003 动脉硬化
I70.900x004 动脉粥样硬化
I70.900x006 老年性动脉炎
I70.900x007 外周动脉粥样硬化
I70.901 闭塞性动脉炎
I70.902 周身性动脉硬化
I70.910 全身性的动脉粥样硬化伴坏疽
I70.911 闭塞性动脉炎伴坏疽
I70.912 周身性动脉硬化伴坏疽
I71.000x002 主动脉夹层
I71.000x003 主动脉壁内血肿
I71.000x004 升主动脉壁内血肿
I71.000x005 主动脉弓壁内血肿
I71.000x006 胸主动脉壁内血肿
I71.000x007 腹主动脉壁内血肿
I71.000x008 胸腹主动脉壁内血肿
I71.000x011 主动脉夹层 A 型
I71.000x012 主动脉夹层 A1S 型
I71.000x013 主动脉夹层 A2S 型
I71.000x014 主动脉夹层 A3S 型
I71.000x015 主动脉夹层 A1C 型
I71.000x016 主动脉夹层 A2C 型
I71.000x017 主动脉夹层 A3C 型
I71.000x021 主动脉夹层 B 型
I71.000x022 主动脉夹层 B1S 型
I71.000x023 主动脉夹层 B2S 型
I71.000x024 主动脉夹层 B3S 型
I71.000x025 主动脉夹层 B1C 型
I71.000x026 主动脉夹层 B2C 型
I71.000x027 主动脉夹层 B3C 型
I71.000x028 主动脉弓夹层
I71.000x029 胸腹主动脉夹层
I71.001 主动脉夹层动脉瘤破裂
I71.002 降主动脉夹层
I71.003 升主动脉夹层
I71.004 腹主动脉夹层
I71.005 主动脉夹层壁间血肿
I71.006 腹主动脉壁间出血
I71.007 胸主动脉夹层
I71.100 胸主动脉瘤破裂
I71.100x002 升主动脉瘤破裂
I71.100x003 主动脉弓动脉瘤破裂
I71.101 主动脉弓破裂
I71.200x006 主动脉根部假性动脉瘤
I71.200x010 主动脉根部动脉瘤
I71.200x011 胸主动脉瘤
I71.200x014 主动脉弓扩张
I71.201 升主动脉瘤
I71.202 胸主动脉假性动脉瘤
I71.203 升主动脉扩张
I71.204 主动脉弓动脉瘤
I71.205 主动脉弓假性动脉瘤
I71.206 升主动脉假性动脉瘤
I71.300 腹主动脉瘤破裂
I71.400x002 腹主动脉瘤
I71.401 腹主动脉假性动脉瘤
I71.402 腹主动脉扩张
I71.500 胸腹主动脉瘤破裂
I71.600x001 胸腹主动脉瘤
I71.600x004 胸腹主动脉假性动脉瘤
I71.600x005 胸腹主动脉扩张
I71.800 主动脉瘤破裂
I71.801 主动脉破裂
I71.900x002 主动脉瘤
I71.900x004 真菌性主动脉瘤
I71.901 主动脉扩张
I71.902 降主动脉瘤
I71.903 降主动脉假性动脉瘤
I72.000 颈动脉瘤伴夹层
I72.000x011 颈总动脉瘤
I72.000x012 颈总动脉假性动脉瘤
I72.000x013 颈总动脉夹层
I72.000x022 颈内动脉假性动脉瘤
I72.000x023 颈内动脉夹层
I72.000x031 颈外动脉瘤
I72.000x032 颈外动脉假性动脉瘤
I72.000x033 颈外动脉夹层
I72.000x321 颞浅动脉假性动脉瘤
I72.001 颈动脉假性动脉瘤
I72.002 颈内动脉瘤
I72.003 颈动脉扩张
I72.004 颈内动脉颅内段动脉瘤
I72.005 颈动脉夹层
I72.006 颈动脉动脉瘤
I72.100 上肢动脉瘤伴夹层
I72.100x003 肱动脉瘤
I72.100x004 肱动脉假性动脉瘤
I72.100x005 肱动脉夹层
I72.100x006 上肢动脉瘤破裂
I72.100x007 上肢动脉瘤
I72.101 上肢假性动脉瘤
I72.103 上肢假性动脉瘤破裂
I72.200 肾动脉瘤伴夹层
I72.200x001 肾动脉瘤
I72.200x003 肾动脉夹层
I72.201 肾假性动脉瘤
I72.300 髂动脉瘤伴夹层
I72.300x003 髂动脉夹层
I72.300x006 髂动脉瘤
I72.300x012 髂总动脉假性动脉瘤
I72.300x013 髂总动脉夹层
I72.300x021 髂内动脉瘤
I72.300x022 髂内动脉假性动脉瘤
I72.300x023 髂内动脉夹层
I72.300x031 髂外动脉瘤
I72.300x032 髂外动脉假性动脉瘤
I72.300x033 髂外动脉夹层
I72.301 髂总动脉瘤
I72.302 髂动脉假性动脉瘤破裂
I72.303 髂动脉假性动脉瘤
I72.304 髂动脉瘤破裂
I72.305 髂动脉扩张
I72.400 下肢动脉瘤伴夹层
I72.400x010 下肢动脉瘤
I72.400x030 下肢动脉瘤破裂
I72.400x110 股动脉瘤
I72.400x111 股总动脉瘤
I72.400x112 股深动脉瘤
I72.400x113 股浅动脉瘤
I72.400x121 股总动脉假性动脉瘤
I72.400x122 股深动脉假性动脉瘤
I72.400x123 股浅动脉假性动脉瘤
I72.400x130 股动脉夹层
I72.400x131 股总动脉夹层
I72.400x132 股深动脉夹层
I72.400x133 股浅动脉夹层
I72.400x210 胫动脉瘤
I72.400x212 胫前动脉瘤
I72.400x213 胫后动脉瘤
I72.400x220 胫动脉假性动脉瘤
I72.400x222 胫前动脉假性动脉瘤
I72.400x223 胫后动脉假性动脉瘤
I72.400x230 胫动脉夹层
I72.400x232 胫前动脉夹层
I72.400x233 胫后动脉夹层
I72.400x310 腓动脉瘤
I72.400x320 腓动脉假性动脉瘤
I72.400x330 腓动脉夹层
I72.400x410 胫腓干动脉瘤
I72.400x420 胫腓干动脉假性动脉瘤
I72.400x430 胫腓干动脉夹层
I72.400x520 腘动脉假性动脉瘤
I72.400x530 腘动脉夹层
I72.401 下肢假性动脉瘤
I72.402 下肢假性动脉瘤破裂
I72.403 股动脉假性动脉瘤破裂
I72.404 股动脉假性动脉瘤
I72.405 腘动脉瘤
I72.501 基底动脉瘤伴夹层
I72.600 椎动脉瘤伴夹层
I72.800x023 锁骨下动脉夹层
I72.800x042 腹腔动脉假性动脉瘤
I72.800x051 腹腔干动脉瘤
I72.800x053 腹腔干动脉夹层
I72.800x061 肠系膜动脉瘤
I72.800x093 脾动脉夹层
I72.800x101 腋动脉瘤
I72.800x102 腋动脉假性动脉瘤
I72.800x103 腋动脉夹层
I72.800x111 支气管动脉瘤
I72.800x121 脊髓前动脉瘤
I72.800x151 胰十二指肠动脉瘤
I72.804 锁骨下动脉瘤
I72.805 锁骨下动脉假性动脉瘤
I72.806 无名动脉瘤
I72.808 胰十二指肠动脉假性动脉瘤
I72.811 脾动脉瘤
I72.812 脾动脉假性动脉瘤
I72.813 腹腔动脉瘤
I72.814 腹腔干动脉假性动脉瘤
I72.900 动脉瘤伴夹层
I72.900x002 肢端小动脉扩张
I72.900x003 动脉瘤
I72.900x004 动脉夹层
I72.901 假性动脉瘤
I73.001 雷诺现象
I73.100 血栓闭塞性血管炎［伯格］
I73.800x001 股绀红皮病
I73.800x003 四肢供血不足
I73.800x006 肢端血管功能失调
I73.800x007 腘动脉陷迫综合征
I73.800x008 肢端发绀
I73.802 上肢缺血
I73.803 下肢缺血
I73.804 红斑性肢痛症
I73.805 肢端绀红皮病
I73.901 间歇性跛行
I73.902 血管痉挛
I73.903 动脉痉挛
I74.000x003 勒里施综合征[Leriche 综合征]
I74.001 腹主动脉栓塞
I74.002 腹主动脉血栓形成
I74.003 主动脉分叉综合征
I74.004 平肾腹主动脉闭塞
I74.005 肾下腹主动脉闭塞
I74.006 腹主动脉闭塞
I74.101 主动脉栓塞
I74.102 主动脉血栓形成
I74.200x001 上肢动脉闭塞
I74.200x004 肱动脉栓塞
I74.200x005 肱动脉血栓形成
I74.200x006 桡动脉闭塞
I74.200x007 肱动脉闭塞
I74.201 上肢动脉栓塞
I74.202 上肢动脉血栓形成
I74.300x030 下肢动脉闭塞
I74.300x111 股总动脉血栓形成
I74.300x112 股深动脉血栓形成
I74.300x113 股浅动脉血栓形成
I74.300x121 股总动脉栓塞
I74.300x122 股深动脉栓塞
I74.300x123 股浅动脉栓塞
I74.300x131 股总动脉闭塞
I74.300x132 股深动脉闭塞
I74.300x133 股浅动脉闭塞
I74.300x210 胫动脉血栓形成
I74.300x212 胫前动脉血栓形成
I74.300x213 胫后动脉血栓形成
I74.300x220 胫动脉栓塞
I74.300x222 胫前动脉栓塞
I74.300x223 胫后动脉栓塞
I74.300x230 胫动脉闭塞
I74.300x232 胫前动脉闭塞
I74.300x233 胫后动脉闭塞
I74.300x310 腓动脉血栓形成
I74.300x320 腓动脉栓塞
I74.300x330 腓动脉闭塞
I74.300x410 胫腓干动脉血栓形成
I74.300x420 胫腓干动脉栓塞
I74.300x430 胫腓干动脉闭塞
I74.300x510 腘动脉血栓形成
I74.300x520 腘动脉栓塞
I74.301 下肢动脉栓塞
I74.302 下肢动脉血栓形成
I74.303 创伤性股动脉血栓形成
I74.304 股动脉栓塞
I74.305 股动脉闭塞
I74.307 股动脉血栓形成
I74.308 腘动脉闭塞
I74.310 蓝趾综合征
I74.401 四肢动脉栓塞
I74.402 四肢动脉血栓形成
I74.500x002 髂动脉闭塞
I74.500x007 髂总动脉闭塞
I74.500x008 髂动脉血栓形成
I74.500x009 髂内动脉血栓形成
I74.500x010 髂外动脉血栓形成
I74.500x011 髂动脉栓塞
I74.500x012 髂内动脉栓塞
I74.500x013 髂外动脉栓塞
I74.501 髂总动脉栓塞
I74.502 髂总动脉血栓形成
I74.503 髂内动脉闭塞
I74.504 髂外动脉闭塞
I74.800x001 腹腔动脉闭塞
I74.800x004 脾栓塞
I74.800x005 腋动脉栓塞
I74.800x006 腋动脉闭塞
I74.800x007 腋动脉血栓形成
I74.800x008 腹腔干动脉栓塞
I74.800x009 腹腔干动脉闭塞
I74.800x010 脾动脉闭塞
I74.800x012 脾动脉血栓
I74.801 锁骨下动脉闭塞
I74.802 锁骨下动脉血栓形成
I74.805 脾动脉栓塞
I74.806 腹腔动脉栓塞
I74.807 腹腔动脉血栓形成
I74.901 多发性动脉栓塞
I74.902 动脉栓塞
I77.000x008 子宫旁动静脉瘘
I77.000x011 动静脉内瘘血栓形成
I77.000x014 桡动静脉瘘
I77.000x015 肱动静脉瘘
I77.005 锁骨下动静脉瘘
I77.006 支气管动静脉瘘
I77.007 腹主动脉下腔静脉瘘
I77.008 脾动静脉瘘
I77.010 肾动静脉瘘
I77.011 盆腔动静脉瘘
I77.012 股动静脉瘘
I77.013 下肢动静脉瘘
I77.014 多发性动静脉瘘
I77.100x004 髂动脉狭窄
I77.100x005 髂动脉迂曲
I77.100x012 降主动脉狭窄
I77.100x014 股深动脉狭窄
I77.100x015 股浅动脉狭窄
I77.100x018 胫动脉狭窄
I77.100x027 股总动脉狭窄
I77.100x028 胫腓干动脉狭窄
I77.100x029 脾动脉狭窄
I77.100x031 肠系膜下动脉狭窄
I77.100x032 桡动脉狭窄
I77.101 颈动脉迂曲
I77.102 锁骨下动脉狭窄
I77.103 无名动脉迂曲
I77.104 无名动脉狭窄
I77.105 肱动脉狭窄
I77.106 肱动脉迂曲
I77.107 腋动脉狭窄
I77.108 上肢动脉狭窄
I77.109 主动脉迂曲
I77.110 后天性主动脉狭窄
I77.111 胸主动脉狭窄
I77.112 腹主动脉狭窄
I77.113 主动脉弓狭窄
I77.114 腹腔干动脉狭窄
I77.115 股动脉狭窄
I77.117 腘动脉狭窄
I77.118 腘动脉挤压综合征
I77.118 腘动脉挤压综合征
I77.120 胫前动脉狭窄
I77.121 胫后动脉狭窄
I77.123 腓动脉狭窄
I77.125 髂总动脉狭窄
I77.126 髂外动脉狭窄
I77.127 髂内动脉狭窄
I77.129 下肢动脉狭窄
I77.131 移植肝动脉狭窄
I77.200 动脉破裂
I77.201 动脉瘘
I77.202 支气管动脉-肺动脉瘘
I77.203 肺动脉瘘
I77.204 腹主动脉-空肠瘘
I77.300x002 动脉肌纤维发育不良
I77.300x003 锁骨下动脉纤维肌性结构发育不良
I77.301 肾动脉纤维肌肉发育不良
I77.500 动脉坏死
I77.600 动脉炎
I77.600x001 大动脉炎
I77.600x004 多发性大动脉炎
I77.600x012 药物性血管炎
I77.600x013 脓疱性血管炎
I77.600x014 重症血管炎
I77.600x015 肺动脉炎
I77.600x016 中枢神经系统血管炎
I77.601 主动脉炎
I77.602 动脉内膜炎
I77.603 血管炎
I77.604 上肢动脉炎
I77.605 下肢动脉炎
I77.800x002 主动脉根部病变
I77.800x006 颈动脉溃疡
I77.800x007 锁骨下动脉溃疡
I77.800x008 椎动脉溃疡
I77.800x009 肾动脉溃疡
I77.800x010 腹腔动脉溃疡
I77.800x011 肠系膜动脉溃疡
I77.800x012 腋动脉溃疡
I77.800x013 肱动脉溃疡
I77.800x014 髂动脉溃疡
I77.800x015 股动脉溃疡
I77.800x016 胫动脉溃疡
I77.800x017 胫腓干动脉溃疡
I77.800x018 腓动脉溃疡
I77.800x019 腘动脉溃疡
I77.800x020 升主动脉溃疡
I77.800x021 主动脉弓溃疡
I77.800x022 胸主动脉溃疡
I77.800x024 胸腹主动脉溃疡
I77.801 动脉溃疡
I77.802 腹主动脉溃疡
I77.803 主动脉溃疡
I77.804 德戈病
I77.805 后天性腹主动脉畸形
I77.806 主动脉脓肿
I77.807 动脉糜烂
I77.900 动脉和小动脉的疾患
I78.000 遗传性出血性毛细血管扩张
I78.101 老年痣
I78.102 蜘蛛痣
I78.801 毛细血管渗漏综合征
I78.803 毛细血管扩张症
I78.900 毛细血管疾病
I80.001 下肢浅表静脉炎
I80.002 下肢化脓性浅表血栓静脉炎
I80.100x003 髂股静脉炎
I80.101 股静脉炎
I80.102 股静脉血栓性静脉炎
I80.103 髂股静脉血栓形成
I80.104 股静脉血栓形成
I80.201 下肢深静脉血栓性静脉炎
I80.202 下肢深静脉炎
I80.203 髂内静脉血栓形成
I80.204 髂外静脉血栓形成
I80.206 髂静脉血栓形成
I80.207 下肢深静脉血栓形成
I80.208 下肢深静脉栓塞
I80.209 手术后下肢深静脉血栓形成
I80.300x005 下肢静脉闭塞
I80.300x006 下肢静脉肌间血栓形成
I80.301 下肢静脉炎
I80.302 下肢血栓性静脉炎
I80.303 下肢静脉血栓形成
I80.800 静脉炎和血栓性静脉炎，其他部位的
I80.800x002 胸壁血栓性静脉炎[蒙道尔病]
I80.800x006 腹壁静脉炎
I80.800x007 肾静脉周围炎
I80.802 乳腺血栓性静脉炎
I80.803 上肢静脉炎
I80.804 上肢血栓性静脉炎
I80.901 静脉炎
I80.902 血栓性静脉炎
I82.100x001 游走性血栓性静脉炎
I82.200x001 腔静脉栓塞
I82.201 腔静脉瘤栓
I82.202 上腔静脉血栓形成
I82.203 下腔静脉血栓形成
I82.204 下腔静脉栓塞
I82.300x001 肾静脉栓塞
I82.301 肾静脉血栓形成
I82.302 肾静脉瘤栓
I82.800x002 脾静脉栓塞
I82.800x003 髂静脉栓塞
I82.800x004 髂内静脉栓塞
I82.800x005 髂外静脉栓塞
I82.800x009 腋静脉栓塞
I82.801 颈内静脉血栓形成
I82.802 颈静脉血栓形成
I82.803 锁骨下静脉血栓形成
I82.804 腋静脉血栓形成
I82.805 上肢深静脉血栓形成
I82.806 上肢静脉血栓形成
I82.900x001 静脉栓塞
I82.900x002 静脉血栓形成
I82.900x003 非化脓性血栓形成
I82.900x004 静脉血栓栓塞症
I83.000 下肢静脉曲张伴有溃疡
I83.001 大隐静脉曲张伴有溃疡
I83.100x001 下肢静脉曲张性皮炎
I83.101 下肢静脉曲张伴静脉炎
I83.102 淤积性皮炎
I83.200x001 下肢静脉曲张伴静脉炎和溃疡
I83.900x004 下肢静脉曲张
I83.901 下肢静脉瘤
I83.902 下肢静脉曲张破裂
I83.903 大隐静脉曲张
I83.904 大隐静脉瘤
I83.905 小隐静脉曲张
I86.800x005 颈外静脉扩张
I86.800x011 上肢静脉瘤
I86.800x015 静脉湖
I86.800x017 鼻中隔静脉曲张性溃疡
I86.801 颞静脉曲张
I86.802 颞静脉瘤
I86.804 颈总静脉瘤
I86.805 颈外静脉瘤
I86.806 颈静脉曲张
I86.807 冠状静脉窦扩张
I86.811 肾静脉瘤
I86.813 腹壁静脉曲张
I86.814 躯干静脉瘤
I86.815 颈静脉扩张
I86.816 颈内静脉扩张
I87.000 血栓形成后综合征
I87.001 静脉炎后综合征
I87.100x003 腔静脉综合征
I87.100x007 上腔静脉梗阻
I87.100x008 锁骨下静脉压迫综合征
I87.100x009 头臂静脉狭窄[无名静脉狭窄]
I87.101 上肢静脉阻塞
I87.102 上肢静脉狭窄
I87.103 无名静脉狭窄
I87.104 无名静脉阻塞
I87.106 上腔静脉综合征
I87.110 肝静脉-下腔静脉阻塞
I87.111 下腔静脉综合征
I87.112 下腔静脉狭窄
I87.113 下腔静脉阻塞
I87.114 上下腔静脉回流障碍综合征
I87.115 髂总静脉狭窄
I87.116 髂总静脉压迫综合征[Cockett 综合征]
I87.117 左肾静脉压迫综合征[胡桃夹现象]
I87.118 下肢静脉狭窄
I87.119 下肢静脉阻塞
I87.200x001 慢性周围静脉功能不全
I87.201 下肢静脉功能不全
I87.202 下肢深静脉瓣膜功能不全
I87.801 静脉硬化
I87.802 静脉石
I87.805 下肢静脉回流障碍
I87.900 静脉疾患
I89.001 原发性淋巴水肿
I89.007 盆腔淋巴管阻塞
I89.100x003 亚急性淋巴管炎
I95.000 特发性低血压
I95.100 直立性低血压
I95.101 体位性低血压
I95.200 药物性低血压
I95.800x001 慢性低血压
I95.900 低血压
I97.000 心脏切开术后综合征
I97.000x002 心包切开术后综合征
I97.001 心脏手术后低心排综合征
I97.100x004 手术后心力衰竭伴肺水肿
I97.101 瓣膜置换术后心脏功能衰竭
I97.102 心脏手术后心力衰竭
I97.800x001 动脉导管未闭结扎术后残余分流
I97.800x002 动脉导管未闭封堵术后残余分流
I97.800x004 上肢动脉穿刺后痉挛
I97.800x005 室间隔缺损修补术后残余分流
I97.800x006 手术后腹主动脉阻塞
I97.800x008 房间隔缺损修补术后残余分流
I97.800x009 右室外管道狭窄
I97.800x010 右室流出道疏通术后残余狭窄
I97.800x011 左室流出道疏通术后残余狭窄
I97.800x013 心脏瓣膜置换术后瓣周漏
I97.800x014 房间隔缺损封堵术后残余分流
I97.800x015 室间隔缺损封堵术后残余分流
I97.800x016 心脏机械瓣膜置换术后功能障碍
I97.800x017 生物瓣膜置换术后功能衰竭
I97.800x020 二尖瓣闭式扩张术后再狭窄
I97.801 手术后淋巴水肿
I97.802 手术后会阴部静脉回流障碍
I97.803 手术后心力衰竭
I97.804 人工动静脉瘘瘤形成
I97.900 循环系统的操作后疾患
I99.x01 循环系统疾患
J09.x03+I41.1* 已确认的人畜共病或大流行性流~~感病毒性心肌炎
J10.800x003+I41.1* 已知病毒的流感性心肌炎
J10.802+I41.1* 甲型 H1N1 型流行性感冒性心肌炎
J11.801+I41.1* 未明确病毒性流行性感冒性心肌~~炎
J94.000 乳糜性渗出
M05.302+I43.8* 类风湿性关节炎伴心肌病
M05.304+I52.8* 类风湿性关节炎伴心炎
M05.305+I32.8* 类风湿性关节炎伴心包炎
M05.306+I41.8* 类风湿性关节炎伴心肌炎
M05.307+I39.8* 类风湿性关节炎伴心内膜炎
M10.004+I43.8* 心脏尿酸盐痛风石
M31.400 主动脉弓综合征[高安病]
M31.600 巨细胞动脉炎，其他的
M31.804 系统性血管炎
M32.104+I43.8* 狼疮性心肌病
M32.105+I32.8* 狼疮性心包炎
M32.109+I39.8* 利布曼-萨克斯病
M34.800x009+I52.8* 系统性硬化症心脏损害
N18.505+I68.8* 尿毒症性脑血管病
N18.506+I32.8* 尿毒症性心包炎
Q20.000 共同动脉干
Q20.100 右心室双出口
Q20.101 陶-宾综合征
Q20.200 左心室双出口
Q20.200x002 先天性左心室瘘
Q20.300 心室动脉连接不协调
Q20.300x002 主动脉右转位
Q20.301 纠正性大动脉转位
Q20.302 完全性大动脉转位
Q20.400 双入口心室
Q20.500 房室连接不协调
Q20.500x001 心室反位
Q20.600 心耳异构
Q20.600x001 心房异构
Q20.601 先天性心耳畸形
Q20.800x003 先天性小心室
Q20.801 单房心脏
Q20.802 双腔心
Q20.900 心腔和心连接的先天性畸形
Q21.000 室间隔缺损
Q21.100 房间隔缺损
Q21.100x001 共同心房
Q21.101 中央型房间隔缺损(卵圆孔型)
Q21.102 房间隔缺损(继发孔型)
Q21.103 上腔型房间隔缺损(高位缺损或静脉窦缺~~损)
Q21.104 混合型房间隔缺损
Q21.105 下腔型房间隔缺损(低位缺损)
Q21.106 鲁登巴赫综合征
Q21.200 房室间隔缺损
Q21.201 Ⅰ型房间隔缺损
Q21.202 房室管型室间隔缺损
Q21.203 部分性房室隔缺损
Q21.204 过渡性房室隔缺损
Q21.205 完全性房室隔缺损
Q21.206 单心房
Q21.300x001 法洛四联症
Q21.300x002 法洛四联症,肺动脉瓣缺如
Q21.300x003 法洛四联症,心内膜垫缺损
