包含以下主要诊断：
A01.000 伤寒
B74.902 丝虫性象皮病
B75.x00 旋毛虫病
B76.000 十二指肠钩虫病
B76.100 美洲钩虫病
B76.800 钩虫病，其他的
B76.900 钩虫病
B76.900x003 皮肤蠕虫蚴移行症
B76.901 胃钩虫病
B76.902 肠道钩虫病
B77.800x002 肝管蛔虫病
B77.800x004 蛔虫病伴胆道并发症
B77.800x005 蛔虫病伴肝管并发症
B77.803 胆道蛔虫病
B77.900 蛔虫病
B78.000 肠道类圆线虫病
B78.700 播散性类圆线虫病
B78.901 粪类圆线虫感染
B78.902+N08.0* 类圆线虫病性肾小球病变
B79.x00 鞭虫病
B80.x00 蛲虫病
B81.000 异尖线虫病
B81.100 肠道毛细线虫病
B81.200 毛圆线虫病
B81.300 肠道血管圆线虫病
B81.400 混合型肠道蠕虫病
B81.800x001 结节线虫病
B81.800x002 三齿线虫病
B81.801 食道口线虫病
B81.802 缩小三齿线虫病
B83.000 内脏幼虫移行症
B83.000x001 内脏蠕虫蚴移行症
B83.000x002 弓蛔虫病
B83.100 颚口线虫病
B83.200x001 广州管圆线虫病
B83.200x003 广州管圆线虫病性脑炎
B83.201 广州血管圆线虫病
B83.300 比翼(线虫)病
B83.400 内部水蛭病
B83.800x001 棘头虫病
B83.800x002 美丽筒线虫病
B83.800x003 肝毛细线虫病
B83.800x004 后圆线虫病
B83.800x005 结膜吸吮线虫病
B83.800x006 管圆线虫病
B83.800x007 腹部管圆线虫病
B83.800x008 肾膨结线虫病
B83.800x009 猪巨吻棘头虫病
B83.900 蠕虫病
B85.000 头虱引起的虱病
B85.100 体虱引起的虱病
B85.200 虱病
B85.300 阴虱病
B85.400 混合型虱病和阴虱病
B87.100 伤口蝇蛆病
B87.300 鼻咽蝇蛆病
B87.800x001 泌尿生殖道蝇蛆病
B87.900 蝇蛆病
B88.000x002 螨虫病
B88.000x003 蠕形螨病
B88.100 潜蚤病[沙蚤侵染]
B88.200x001 肠蜣螂病
B88.300 外部水蛭病
B88.800x001 舌形虫病
B88.800x002 蛇舌状虫病
B88.800x004 蚰蜒皮炎
B88.900x001 皮肤病虫侵染
B88.900x002 螨侵染
B88.900x003 皮肤寄生虫侵染
B89.x00 寄生虫病
B89.x01 颅内寄生虫感染
B90.102+N29.1* 肾自截
B99.x00x001 感染
B99.x01 感染性发热
J10.800x002 已知病毒的流感性胃肠炎
O98.600x001 孕妇疟疾
P37.000 先天性结核病
P37.100 先天性弓形虫病
P37.300 先天性恶性疟
R50.800x002 发热伴强直
R50.801 发热伴恶寒
R50.802 发热伴寒颤
R50.803 持续性发热
R50.900 发热
R50.900x002 高热
R50.901 夏季热
R68.801 毒血症
T79.300x001 创伤后伤口感染
T80.200 输注、输血和治疗性注射后的感染
T80.200x004 输注后感染
T80.201 输注后脓毒症
T81.400x001 操作后伤口感染
T81.400x002 操作后伤口积液
T81.400x004 手术后切口脂肪液化
T81.400x005 操作后感染性发热
T81.400x006 操作后脓毒症
T81.401 手术后口腔感染
T81.402 手术后耳部感染
T81.403 手术后胸腔感染
T81.404 手术后胆道感染
T81.405 手术后膝关节感染
T81.406 手术后切口感染
T82.700x001 血管导管相关性感染
T82.700x002 起搏器周围组织感染
T82.700x003 心脏导管相关性感染
T82.700x004 心脏电子装置感染
T82.700x005 心脏电子装置囊袋感染
T82.700x007 肾透析的动静脉瘘感染
T82.700x008 肾透析的静脉导管感染
T82.700x009 肾透析的血管通路感染
T82.700x010 肾透析的人造血管感染
T82.700x011 肾透析的移植血管感染
T82.701 化疗泵植入感染
T84.701 下颌骨假体植入感染
T85.700x103 腹膜透析导管隧道感染
T85.700x104 腹膜透析导管外口感染
T85.700x808 植入装置后感染
T85.700x809 鼻假体植入后感染
T85.701 脑室腹腔分流管置入感染
T85.702 人工硬脑膜植入感染
T85.703 导管相关性感染
T85.706 鼻硅胶植入感染
T85.708 胆道造影术后感染
T85.709 腹腔插管感染
T85.710 腹膜透析中腹腔感染
T85.711 腹膜透析后腹膜炎
T85.712 皮肤扩张器植入感染
T86.807 皮瓣移植感染
T88.000 免疫接种后的感染
T98.200x012 开放性损伤伴异物合并感染
T98.200x021 开放性损伤伴感染
Z03.000 可疑结核病的观察
