包含以下主要诊断：
A01.002+G01* 伤寒性脑膜炎
D48.200x013 肩周围神经和自主神经交界性肿瘤
D48.200x014 手周围神经和自主神经交界性肿瘤
D48.200x015 腕周围神经和自主神经交界性肿瘤
D48.200x016 臂神经交界性肿瘤
D48.200x017 臂丛交界性肿瘤
D48.200x018 正中神经交界性肿瘤
D48.200x019 桡神经交界性肿瘤
D48.200x020 尺神经交界性肿瘤
D48.200x022 髋周围神经和自主神经交界性肿瘤
D48.200x023 足周围神经和自主神经交界性肿瘤
D48.200x024 髂周围神经和自主神经交界性肿瘤
D48.200x025 踝周围神经和自主神经交界性肿瘤
D48.200x026 股神经交界性肿瘤
D48.200x027 闭孔神经交界性肿瘤
D48.200x028 坐骨神经交界性肿瘤
D48.200x029 胸周围神经和自主神经交界性肿瘤
D48.200x030 腋周围神经和自主神经交界性肿瘤
D48.200x031 膈周围神经和自主神经交界性肿瘤
D48.200x032 肩胛区周围神经和自主神经交界性肿~~瘤
D48.200x033 肋间神经交界性肿瘤
D48.200x034 腹周围神经和自主神经交界性肿瘤
D48.200x035 脐周围神经和自主神经交界性肿瘤
D48.200x036 骨盆周围神经和自主神经交界性肿瘤
D48.200x037 臀周围神经和自主神经交界性肿瘤
D48.200x038 腹股沟周围神经和自主神经交界性肿~~瘤
D48.200x039 会阴周围神经和自主神经交界性肿瘤
D48.200x040 骶周围神经和自主神经交界性肿瘤
D48.200x041 骶尾周围神经和自主神经交界性肿瘤
D48.200x042 直肠膀胱隔周围神经和自主神经交界~~性肿瘤
D48.200x043 直肠阴道隔周围神经和自主神经交界~~性肿瘤
D48.200x044 直肠周围周围神经和自主神经交界性~~肿瘤
D48.200x045 坐骨直肠窝周围神经和自主神经交界~~性肿瘤
D48.200x046 盆腔周围神经和自主神经交界性肿瘤
D48.200x047 腰骶丛交界性肿瘤
D48.200x048 骶神经交界性肿瘤
D48.200x049 骶丛交界性肿瘤
D48.200x051 背周围神经和自主神经交界性肿瘤
D48.200x052 腰周围神经和自主神经交界性肿瘤
D48.200x053 腰神经交界性肿瘤
D48.201 周围神经肿瘤
D48.202 自主神经肿瘤
D48.203 头颈部周围神经动态未定肿瘤
D48.204 头颈部周围神经肿瘤
D48.205 头颈部自主神经动态未定肿瘤
D48.206 头颈部自主神经肿瘤
D48.207 躯干周围神经动态未定肿瘤
D48.208 躯干周围神经肿瘤
D48.209 躯干自主神经动态未定肿瘤
D48.210 躯干自主神经肿瘤
D48.211 上肢周围神经动态未定肿瘤
D48.212 上肢周围神经肿瘤
D48.213 上肢自主神经动态未定肿瘤
D48.214 上肢自主神经肿瘤
D48.215 下肢周围神经动态未定肿瘤
D48.216 下肢周围神经肿瘤
D48.217 下肢自主神经动态未定肿瘤
D48.218 下肢自主神经肿瘤
D48.700x026 颅眶沟通交界性肿瘤
D48.700x027 颅鼻眶沟通交界性肿瘤
D48.900x004+G94.1* 肿瘤引起的脑积水
D48.900x010+G05.8* 副肿瘤相关性边缘叶脑炎
D48.900x011+G63.1* 副肿瘤相关性周围神经病
D48.900x012+G73.2* 副肿瘤综合征相关性肌无力~~综合征
D48.905+G13.1* 副肿瘤性小脑共济失调
D48.907+G13.0* 神经系统副肿瘤综合征
D51.901+G32.0* 维生素B12缺乏性贫血性脊髓后侧~~索硬化
D86.800x002+G53.2* 结节病性多发性脑神经麻痹
E01.802+F02.8* 后天性甲状腺机能减退性痴呆
E03.500 黏液性水肿昏迷
E03.803+F02.8* 其他特指的后天性甲状腺机能减~~退性痴呆
E03.902+G73.5* 甲状腺功能减退性肌病
E05.900x002+G73.0* 甲状腺功能亢进症合并周期~~性麻痹
E05.900x002+G73.0* 甲状腺功能亢进症合并周期~~性麻痹
E05.900x007+G73.0* 甲亢性肌无力综合征
E05.904+G73.5* 甲状腺功能亢进性肌病
E06.302+G94.8* 桥本脑病
E10.400x021+G63.2* 1 型糖尿病性多发性神经病
E10.400x022+G63.2* 1 型糖尿病性胰岛素相关性神~~经炎
E10.400x024+G63.2* 1 型糖尿病性远端对称性周围~~神经病
E10.400x025+G63.2* 1 型糖尿病性小神经纤维周围~~神经病
E10.400x026+G63.2* 1 型糖尿病性感觉运动性周围~~神经病
E10.400x110+G59.0* 1 型糖尿病性单神经病
E10.400x111+G59.0* 1 型糖尿病性胸神经根病
E10.400x112+G59.0* 1 型糖尿病性躯干神经根病
E10.400x121+G73.0* 1 型糖尿病性肌无力综合征
E10.400x130+G59.0* 1 型糖尿病性脑神经麻痹
E10.400x140+G59.0* 1 型糖尿病性动眼神经麻痹
E10.400x150+G59.0* 1 型糖尿病性外展神经麻痹
E10.400x160+G59.0* 1 型糖尿病性股神经病
E10.400x170+G59.0* 1 型糖尿病性多发性单神经病
E10.400x180+G59.0* 1 型糖尿病性眼肌麻痹
E10.400x190+G59.0* 1 型糖尿病性神经根病
E10.400x191+G59.0* 1 型糖尿病腰骶神经根神经丛~~病
E10.400x310+G99.0* 1 型糖尿病性出汗异常
E10.400x360+G99.0* 1 型糖尿病性性无能
E10.400x380+G99.0* 1 型糖尿病性膀胱张力减弱
E10.400x381+N33.8* 1 型糖尿病神经源性膀胱炎
E10.400x390+G99.0* 1 型糖尿病性神经性水肿
E10.400x901+G99.0* 1 型糖尿病性脊髓病
E10.400x910+G63.2* 1 型糖尿病伴神经系统并发症
E10.401+G63.2* 1 型糖尿病性周围神经病
E10.402+G99.0* 1 型糖尿病性自主神经病变
E10.403+G63.2* 1 型糖尿病性神经炎
E10.404+G99.0* 1 型糖尿病性神经源性膀胱
E10.405+G73.0* 1 型糖尿病性肌萎缩
E11.400 2 型糖尿病伴有神经的并发症
E11.400x021+G63.2* 2 型糖尿病性多发性神经病
E11.400x022+G63.2* 2 型糖尿病性胰岛素相关性神~~经炎
E11.400x024+G63.2* 2 型糖尿病性远端对称性周围~~神经病
E11.400x025+G63.2* 2 型糖尿病性小神经纤维周围~~神经病
E11.400x026+G63.2* 2 型糖尿病性感觉运动性周围~~神经病
E11.400x110+G59.0* 2 型糖尿病性单神经病
E11.400x111+G59.0* 2 型糖尿病性胸神经根病
E11.400x112+G59.0* 2 型糖尿病性躯干神经根病
E11.400x121+G73.0* 2 型糖尿病性肌无力综合征
E11.400x130+G59.0* 2 型糖尿病性脑神经麻痹
E11.400x140+G59.0* 2 型糖尿病性动眼神经麻痹
E11.400x150+G59.0* 2 型糖尿病性外展神经麻痹
E11.400x160+G59.0* 2 型糖尿病性股神经病
E11.400x170+G59.0* 2 型糖尿病性多发性单神经病
E11.400x180+G59.0* 2 型糖尿病性眼肌麻痹
E11.400x190+G59.0* 2 型糖尿病性神经根病
E11.400x191+G59.0* 2 型糖尿病腰骶神经根神经丛~~病
E11.400x310+G99.0* 2 型糖尿病性出汗异常
E11.400x360+G99.0* 2 型糖尿病性性无能
E11.400x390+G99.0* 2 型糖尿病性神经性水肿
E11.400x901+G99.0* 2 型糖尿病性脊髓病
E11.401+G63.2* 2 型糖尿病性周围神经病
E11.402+G99.0* 2 型糖尿病性自主神经病变
E11.403+G63.2* 2 型糖尿病性神经炎
E11.404+G99.0* 2 型糖尿病性神经源性膀胱
E11.405+G73.0* 2 型糖尿病性肌萎缩
E12.400 营养不良相关性糖尿病伴有神经的并发症
E12.400x001+G99.0* 营养不良相关性糖尿病伴自~~主神经病变
E12.400x002+N33.8* 营养不良相关性糖尿病伴神~~经源性膀胱
E13.400x223+G63.2* 继发性糖尿病性周围神经病~~变
E14.400 糖尿病伴有神经的并发症
E14.400x021+G63.2* 糖尿病性多发性神经病
E14.400x022+G63.2* 糖尿病性胰岛素相关性神经~~炎
E14.400x023+G63.2* 糖尿病性周围神经病
E14.400x024+G63.2* 糖尿病性远端对称性周围神~~经病
E14.400x025+G63.2* 糖尿病性小神经纤维周围神~~经病
E14.400x026+G63.2* 糖尿病性感觉运动性周围神~~经病
E14.400x110+G59.0* 糖尿病性单神经病
E14.400x111+G59.0* 糖尿病性胸神经根病
E14.400x112+G59.0* 糖尿病性躯干神经根病
E14.400x120+G73.0* 糖尿病性肌萎缩
E14.400x121+G73.0* 糖尿病性肌无力综合征
E14.400x130+G59.0* 糖尿病性脑神经麻痹
E14.400x140+G59.0* 糖尿病性动眼神经麻痹
E14.400x150+G59.0* 糖尿病性外展神经麻痹
E14.400x160+G59.0* 糖尿病性股神经病
E14.400x170+G59.0* 糖尿病性多发性单神经病
E14.400x190+G59.0* 糖尿病性神经根病
E14.400x191+G59.0* 糖尿病腰骶神经根神经丛病
E14.400x310+G99.0* 糖尿病性出汗异常
E14.400x311+G99.0* 糖尿病性体位性低血压
E14.400x312+G99.0* 糖尿病性自主神经病
E14.400x360+G99.0* 糖尿病性性无能
E14.400x390+G99.0* 糖尿病性神经性水肿
E14.400x901+G99.0* 糖尿病性脊髓病
E16.107+G94.8* 低血糖昏迷性脑病
E16.108+G94.8* 低血糖性脑病
E16.111+G94.3* 低血糖性脑昏迷
E20.900x004+G73.5* 甲状旁腺功能减低合并肌病
E21.300x004+G73.5* 甲状旁腺亢进合并肌病
E23.000x001+G73.5* 垂体功能减退性肌病
E34.901+G73.5* 内分泌病性肌病
E51.100x002+G63.4* 糙皮病性多神经病
E51.100x003+G63.4* 脚气病性多神经炎
E51.200+G32.8* 韦尼克脑病
E53.800x003+G32.0* 侧索联合变性病
E53.800x014+G32.0* 维生素 B12 缺乏性贫血性脊~~髓后侧索硬化症
E53.801+G32.0* 脊髓亚急性联合变性
E53.803+G63.4* 维生素 B12 缺乏性周围神经病
E53.805+F02.8* 维生素 B12 缺乏性痴呆
E53.900x002+G63.4* 维生素 B 缺乏性周围神经病
E56.900x003+G63.4* 维生素缺乏性周围神经病
E56.901+G63.4* 维生素缺乏性多神经炎
E63.900x001 营养缺乏性多神经炎
E63.902+G63.4* 营养性周围神经病
E71.300x006 新生儿肾上腺脑白质病
E71.301 肾上腺脑白质营养不良
E71.303 肾上腺脊髓周围神经病
E74.007+G73.6* 糖原贮积症肌病
E75.000x001 桑德霍夫病[Sandhoff 病]
E75.000x002 泰-萨克斯病[Tay-Sachs 病]
E75.000x003 成年型 GM2 神经节苷脂贮积症
E75.000x004 幼年型 GM2 神经节苷脂贮积症
E75.100x001 神经节苷脂贮积症
E75.100x002 GM1 神经节苷脂贮积症
E75.100x004 粘脂贮积病 IV 型
E75.101 GM3 神经节苷脂沉积症
E75.200x006 克拉贝病
E75.200x007 法伯综合征
E75.200x009 中枢神经系统海绵样变性[卡纳万病]
E75.200x010 海蓝组织细胞增生症
E75.200x011 戈谢病 II 型
E75.200x012 尼曼-匹克病 A 型
E75.200x013 弥漫性体部血管角化瘤
E75.201 戈谢病
E75.202 脑白质营养不良
E75.203 尼曼-皮克病
E75.204 异染性脑白质营养不良
E75.205 法布里病
E75.206 硫酸酯酶缺乏
E75.300 神经鞘脂贮积症
E75.400 神经元蜡样脂褐质贮积症
E75.400x002 巴藤病
E75.400x003 比尔朔夫斯基-杨斯基病
E75.400x004 库夫斯病
E75.400x005 施皮格尔迈尔-沃格特病
E75.600x002+G32.8* 全身性脂贮积症性大脑变性
E75.601+G73.6* 脂质沉积性肌病
E75.602+F02.8* 脑脂质沉积性痴呆
E80.200x006 卟啉病神经病
E83.001 肝豆状核变性
E83.003+F02.8* 肝豆状核变性痴呆
E83.505+F02.8* 高钙血症性痴呆
E85.100x002 淀粉样多发性神经病变
E85.101+G63.3* 淀粉样变性周围神经病
E85.400x008+G99.0* 淀粉样变性性周围神经病
E85.400x012 脑淀粉样变
E85.414+I68.0* 淀粉样变脑血管损害
E88.904+G99.2* 代谢性脊髓病
E88.905+G99.0* 代谢性周围神经病
E88.908+G73.6* 代谢性肌病
F01.000 急性发作的血管性痴呆
F01.100 多发脑梗死性痴呆
F01.101 常染色体显性遗传性脑动脉病
F01.102 遗传性多发脑梗死性痴呆
F01.200 皮层下血管性痴呆
F01.300 混合型皮层和皮层下血管性痴呆
F01.800x001 出血性痴呆
F01.900 血管性痴呆
F01.901 动脉硬化性痴呆
F01.902 脑动脉硬化性精神病
F03.x00 痴呆
F03.x01 老年性痴呆
G00.000 嗜血杆菌脑膜炎
G00.000x001 流感嗜血杆菌脑膜炎
G00.100 肺炎球菌性脑膜炎
G00.200 链球菌性脑膜炎
G00.300 葡萄球菌性脑膜炎
G00.800 细菌性脑膜炎，其他的
G00.800x002 大肠埃希杆菌脑膜炎
G00.800x003 弗里德伦德尔肺炎杆菌脑膜炎
G00.800x005 鲍曼不动杆菌性脑膜炎
G00.801 变形杆菌性脑膜炎
G00.802 大肠杆菌性脑膜炎
G00.803 克雷伯杆菌性脑膜炎
G00.900 细菌性脑膜炎
G00.900x003 颅底化脓性脑膜炎
G00.901 化脓性脑膜炎
G00.902 新生儿化脓性脑膜炎
G00.903 耳源性脑膜炎
G00.904 手术后化脓性脑膜炎
G03.000 非化脓性脑膜炎
G03.001 无菌性脑膜炎
G03.002 局限性脑膜炎
G03.100 慢性脑膜炎
G03.200 良性复发性脑膜炎［莫拉利特］
G03.800 脑膜炎，其他特指原因引起的
G03.800x003 肥厚性硬脑膜炎
G03.800x004 肥厚性硬脊膜炎
G03.800x005 肥厚性硬脑脊膜炎
G03.801 化学性脑膜炎
G03.802 反应性脑膜炎
G03.900 脑膜炎
G03.900x008 脑脊膜炎
G03.901 颅底蛛网膜炎
G03.902 脊髓蛛网膜炎
G03.903 硬脑膜炎
G03.904 蛛网膜炎
G03.905 原发性肥厚性硬脑膜炎
G03.906 非特异性脑脊膜炎
G03.907 急性脑膜炎
G04.000 急性播散性脑炎
G04.000x004 疫苗接种后脑脊髓炎
G04.001 急性播散性脑脊髓炎
G04.002 疫苗接种后脑炎
G04.100 人类 T 细胞淋巴病毒相关脊髓病
G04.101 热带痉挛性截瘫
G04.200 细菌性脑膜脑炎和脊髓脊膜炎，不可归类~~在他处者
G04.201 绿脓杆菌性脑膜脑炎
G04.800 脑炎、脊髓炎和脑脊髓炎，其他的
G04.800x003 化脓性脊髓炎
G04.800x004 抗 NMDA 受体脑炎
G04.800x005 脱髓鞘性脊髓炎
G04.800x007 边缘叶脑炎
G04.800x008 肺炎支原体性脑炎
G04.800x009 猫抓性脑炎
G04.800x010 感染性边缘叶脑炎
G04.800x012 免疫介导性脑脊髓炎
G04.800x013 免疫介导性脑炎
G04.800x014 免疫介导性脊髓炎
G04.800x015 免疫介导性脊髓神经根神经病
G04.800x016 免疫介导性脑干脑炎
G04.801 自体免疫性脑炎
G04.802 感染后脑炎
G04.803 感染后脑脊髓炎
G04.804 变态反应性脑炎
G04.805 化脓性脑炎
G04.807 化脓性脑膜脑炎
G04.808 化脓性脑室炎
G04.900x001 非特异性脑炎
G04.900x005 脊髓神经根病
G04.900x010 脑干脑炎
G04.900x011 脑脊髓神经根炎
G04.900x019 散发性脑炎
G04.900x021 脑室管膜炎
G04.900x024 急性脑膜脑炎
G04.900x025 急性小脑炎
G04.900x027 大脑性脑室炎
G04.900x031 脊髓神经根炎
G04.902 急性上行性脊髓炎
G04.903 脑室炎
G04.904 中枢神经系统感染
G04.905 急性神经根脊髓炎
G04.906 室管膜炎
G04.907 局灶性脑炎
G04.908 脊髓炎
G04.909 急性脊髓炎
G04.910 上行性脊髓炎
G04.911 脑脊髓炎
G04.912 神经根脊髓炎
G04.913 脑炎
G04.914 脑膜脑炎
G04.915 脑炎性假瘤
G04.916 脑炎性肿物
G04.917 脑炎性病变
G04.918 椎管内炎性肿物
G04.919 小脑炎
G04.920 复发性多灶性炎性脑病
G04.921 脑干炎
G04.922 脑性发热
G06.000x001 小脑脓肿
G06.000x002 额叶脓肿
G06.000x003 顶叶脓肿
G06.000x004 颞叶脓肿
G06.000x005 枕叶脓肿
G06.000x007 基底节脓肿
G06.000x008 丘脑脓肿
G06.000x009 下丘脑脓肿
G06.000x011 半卵圆中心脓肿
G06.000x012 胼胝体脓肿
G06.000x013 中脑脓肿
G06.000x014 脑桥脓肿
G06.000x015 延髓脓肿
G06.000x018 颅内硬脑膜外肉芽肿
G06.000x020 颅内硬脑膜下肉芽肿
G06.000x021 侧窦周围脓肿
G06.000x022 耳源性脑脓肿
G06.001 脑脓肿
G06.002 脑肉芽肿
G06.003 海绵窦脓肿
G06.004 颅内脓肿
G06.005 颅内炎性肉芽肿
G06.006 颅内感染
G06.008 硬脑膜下脓肿
G06.009 硬脑膜外脓肿
G06.100x002 椎管内脓肿
G06.100x003 脊髓脓肿
G06.100x004 脊髓肉芽肿
G06.100x006 硬脊膜外肉芽肿
G06.100x008 硬脊膜下肉芽肿
G06.100x009 椎管内感染
G06.101 椎管内肉芽肿
G06.102 硬脊膜下脓肿
G06.103 硬脊膜外脓肿
G06.200 硬膜外和硬膜下脓肿
G06.200x003 硬脑膜下炎性肉芽肿
G06.201 硬膜下脓肿
G06.202 硬膜下肉芽肿
G06.203 硬膜外脓肿
G08.x00 颅内和椎管内的静脉炎和血栓性静脉炎
G08.x00x001 化脓性失状窦血栓形成
G08.x00x002 化脓性直窦血栓形成
G08.x00x003 化脓性乙状窦血栓形成
G08.x00x004 乙状窦栓塞
G08.x00x005 乙状窦血栓性静脉炎
G08.x00x006 化脓性海绵窦血栓形成
G08.x00x007 海绵窦血栓性静脉炎
G08.x00x008 海绵窦炎
G08.x00x009 化脓性横窦血栓形成
G08.x00x010 侧窦栓塞
G08.x00x011 颅内静脉窦静脉炎
G08.x00x013 耳源性颅内静脉窦血栓性静脉炎
G08.x01 颅内静脉窦化脓性血栓形成
G08.x02 耳源性乙状窦血栓性静脉炎
G09.x00 中枢神经系统炎性疾病的后遗症
G09.x00x001 脊髓炎后遗症
G09.x00x002 脑炎后遗症
G09.x00x003 脑膜炎后遗症
G09.x00x004 脑脊髓炎后遗症
G09.x01 感染中毒性脑病后遗症
G10.x00 亨廷顿病
G10.x00x004 良性非进行性家族性舞蹈病
G10.x00x005 先天性舞蹈病
G10.x01+F02.2* 亨廷顿病性痴呆
G11.000 先天性非进行性共济失调
G11.000x002 小脑性发育不良及发育不全
G11.000x003 先天性小脑性共济失调
G11.000x004 先天性小脑性共济失调双侧瘫痪
G11.000x005 先天性小脑蚓部发育不全
G11.000x006 先天性小脑颗粒细胞发育不全
G11.000x007 先天性共济失调,精神发育迟缓及部分~~无虹膜
G11.000x008 先天性平衡失调综合征
G11.100 早期发病的小脑性共济失调
G11.100x002 脊髓小脑性共济失调
G11.100x003 早发型小脑性共济失调增加遗传性共~~济失调-侏儒-智力缺陷综合征[Marinesco-Sjogren~~综合征]
G11.100x004 周期性共济失调[发作性共济失调]
G11.100x005 肌阵挛小脑性共济失调[Ramsay-Hunt~~综合征]
G11.100x006 反射保留型 Friedreich 共济失调
G11.101 X-连锁隐性遗传脊髓小脑性共济失调
G11.102 弗里德赖希共济失调
G11.200 晚期发病的小脑性共济失调
G11.200x002 进行性小脑共济失调[橄榄体脑桥小~~脑萎缩]
G11.200x004 晚发型 Friedreich 共济失调
G11.201 遗传性小脑性共济失调[Marie 共济失调]
G11.300 小脑共济失调伴有脱氧核糖核酸［DNA］修~~复缺陷
G11.300x001 共济失调性毛细血管扩张症
G11.300x002 小脑性共济失调,伴有脱氧核糖核酸修~~复缺陷[Kearn-Sayre 综合征]
G11.301 路易斯-巴尔综合征
G11.400 遗传性痉挛性截瘫
G11.400x001 遗 传 性 痉 挛 性 截 瘫~~[Strumpell-Lorrain 病]
G11.800 遗传性共济失调，其他的
G11.801 共济失调-手笨拙综合征
G11.900 遗传性共济失调
G11.900x001 共济失调综合征
G11.900x005 常染色体显性小脑共济失调
G11.900x006 常染色体隐性遗传性共济失调
G11.901 小脑共济失调
G11.902 原发性小脑变性
G12.000 婴儿脊髓性肌萎缩，Ⅰ型［韦德尼希-霍夫~~曼］
G12.100 肌萎缩，其他遗传性脊髓性的
G12.100x001 成人型脊髓性肌萎缩(IV 型)
G12.100x003 幼年型进行性球麻痹[Fazio-Londe~~病]
G12.100x004 远端型脊髓性肌萎缩
G12.100x008 青年上肢远端肌萎缩症[平山病]
G12.101 肩腓型脊髓性肌萎缩
G12.102 少年型脊髓性肌萎缩，Ⅲ型
G12.103 婴儿型脊髓性肌萎缩，Ⅱ型
G12.104 成人型进行性脊髓性肌萎缩
G12.200 运动神经元病
G12.200x002 继发性侧索硬化
G12.200x005 进行性肌萎缩
G12.200x007 遗传性运动神经元病
G12.200x008 进行性假性延髓麻痹
G12.200x009 运动神经元变性病
G12.200x010 连枷臂综合征
G12.200x011 上运动神经元综合征
G12.200x012 真性球麻痹
G12.200x013 下运动神经元综合征
G12.200x015 免疫介导性运动神经元病
G12.200x016 假性延髓麻痹
G12.201 肌萎缩侧索硬化症(ALS)
G12.202 锥体束变性
G12.203 球麻痹
G12.204 进行性球麻痹
G12.205 原发性侧索硬化症
G12.206 进行性脊髓性肌萎缩
G12.207 家族性运动神经元病
G12.208 假性球麻痹
G12.209 脊髓延髓肌萎缩症[肯尼迪病]
G12.800 脊髓性肌萎缩和有关的综合征，其他的
G12.800x001 发作性非运动源性运动障碍
G12.803 克吕韦耶病
G12.900 脊髓性肌萎缩
G14.x00 脊髓灰质炎后综合征
G20.x00 帕金森病
G20.x00x006 少年型帕金森综合征
G20.x01 帕金森叠加综合征
G20.x02+F02.3* 帕金森病性痴呆
G20.x03 帕金森综合征
G20.x04 帕金森病 3 级
G20.x05 帕金森病 4 级
G20.x06 帕金森病 5 级
G20.x07 青年型帕金森病
G20.x08 早发型帕金森病
G21.000 恶性抗精神病药综合征
G21.001 恶性综合征
G21.100 帕金森综合征，其他药物性继发性的
G21.101 中毒性帕金森综合征
G21.102 药源性静坐不能
G21.200 继发性帕金森综合征，其他外部因素引起~~的
G21.201 外伤性帕金森综合征
G21.300 脑炎后帕金森综合征
G21.400 血管性帕金森综合征
G21.401 动脉硬化性帕金森综合征
G21.800 继发性帕金森综合征，其他的
G21.800x002 不典型帕金森综合征
G21.801 感染后帕金森综合征
G21.900 继发性帕金森综合征
G23.000 哈勒沃登-施帕茨病
G23.000x002 进行性苍白球变性
G23.000x003 苍白球黑质红核色素变性
G23.100 进行性核上性眼肌麻痹［斯蒂尔-里查森- 奥尔谢夫斯基］
G23.101 进行性核上性麻痹
G23.200 帕金森型多系统萎缩
G23.300 小脑型多系统萎缩
G23.300 小脑型多系统萎缩
G23.800 基底核变性疾病，其他特指的
G23.800x005 家族性特发性基底节钙化症[Fahr 病]
G23.800x006 齿状红核苍白球丘脑底核萎缩症
G23.800x007 关岛肌萎缩侧索硬化-帕金森-痴呆~~综合征
G23.801 橄榄体脑桥小脑萎缩
G23.802 原发性基底节钙化
G23.803 皮质基底节变性
G23.804 神经源性直立性低血压
G23.900 基底核变性疾病
G24.000 药物性张力失常
G24.100 特发性家族性张力失常
G24.101 扭转痉挛
G24.102 特发性肌张力异常
G24.103 多巴胺反应性肌张力障碍
G24.104 特发性扭转性肌张力障碍
G24.105 原发性肌张力障碍
G24.106 原发性遗传性肌张力不全
G24.200 特发性非家族性张力失常
G24.200x001 婴儿大脑性手足徐动型轻瘫
G24.200x003 运动诱发性肌张力障碍
G24.201 继发性肌张力障碍
G24.202 症状性肌张力障碍
G24.300 痉挛性斜颈
G24.300x002 痉挛性颈后倾
G24.300x003 痉挛性颈前倾
G24.300x004 痉挛性颈侧倾
G24.400 特发性口面运动障碍
G24.400x002 无牙性口面运动障碍
G24.400x003 单纯口下颌张力障碍
G24.400x004 睑痉挛-口下颌肌张力障碍
G24.500 睑痉挛
G24.500x002 梅热睑痉挛[Meige 综合征]
G24.501 眼睑痉挛-口下颌肌张力障碍
G24.800 张力失常，其他的
G24.800x008 非运动诱发性肌张力障碍
G24.801 发作性肌张力障碍
G24.804 局灶型肌张力障碍
G24.805 节段型肌张力障碍
G24.806 多灶型肌张力障碍
G24.807 全身型肌张力障碍
G24.808 偏身型肌张力障碍
G24.900 张力失常
G24.900x003 肌张力障碍
G24.901 迟发性运动障碍
G24.902 运动障碍
G25.000 特发性震颤
G25.000x002 家族性震颤
G25.000x003 单纯头部震颤
G25.000x004 单纯面部震颤
G25.000x005 单纯声音震颤
G25.000x006 单纯手震颤
G25.000x007 儿童的战栗发作
G25.000x008 红核震颤
G25.000x009 原发性震颤
G25.100 药物性震颤
G25.200 震颤，其他特指型的
G25.200x002 小脑性震颤
G25.200x003 任务特异性震颤
G25.200x004 原发性书写震颤
G25.200x005 直立性震颤
G25.200x006 周围神经病性震颤
G25.200x007 肌张力障碍性震颤
G25.200x008 静止性震颤
G25.200x009 姿势性震颤
G25.201 意向性震颤
G25.202 动作性震颤
G25.300 肌阵挛
G25.300x002 药物性肌阵挛
G25.300x003 非进展性脑病的肌阵挛持续状态
G25.300x004 睡眠肌阵挛
G25.400 药物性舞蹈症
G25.500 舞蹈症，其他的
G25.500x003 发作性运动诱发性舞蹈手足徐动症~~[阵发性运动神经源性运动障碍]
G25.500x005 老年性舞蹈病
G25.501 偏身舞蹈症
G25.502 神经棘红细胞增多症
G25.600 药物性抽搐和其他器质性原因的抽搐
G25.600x001 药物性抽搐
G25.601 面肌抽搐
G25.800x001 不安腿综合征[不宁腿综合征]
G25.800x004 器质性书写痉挛
G25.800x005 非药物性静坐不能
G25.802 僵人综合征
G25.900 锥体束外和运动疾患
G25.901 锥体外系综合征
G25.902 基底神经节综合征
G25.903 基底节病变
G30.000 阿尔茨海默病伴有早期发病
G30.000x002 家族性阿尔茨海默病(老年前期型)
G30.000x003+F00.0* 阿尔茨海默病性痴呆(老年前~~期型)
G30.000x004+F00.0* 家族性阿尔茨海默病性痴呆~~(老年前期型)
G30.100 阿尔茨海默病伴有晚期发病
G30.100x002+F00.1* 家族性阿尔茨海默病性痴呆~~(老年型)
G30.100x003+F00.1* 阿尔茨海默病性痴呆(老年型)
G30.800 阿尔茨海默病,其他的
G30.800x001 阿尔茨海默病(混合型)
G30.800x003+F00.2* 混合性痴呆
G30.801+F00.2* 混合型阿尔茨海默病性痴呆伴幻~~觉妄想状态
G30.802+F00.2* 混合型阿尔茨海默病性痴呆伴抑~~郁状态
G30.900 阿尔茨海默病
G30.901+F00.9* 阿尔茨海默病性痴呆
G31.000 局限性脑萎缩
G31.000x003 进行性孤立性失语症
G31.000x005+F02.8* 额颞叶痴呆
G31.000x006+F02.8* 语义性痴呆
G31.001 皮克病
G31.002+F02.0* 皮克病性痴呆
G31.100 老年性脑变性，不可归类在他处者
G31.100x007 额颞叶变性
G31.101 老年性脑萎缩
G31.200 酒精性神经系统变性
G31.200x001 慢性酒精中毒性神经系统损害
G31.200x005 酒精性大脑变性
G31.201 酒精中毒性小脑共济失调
G31.202 酒精性小脑变性
G31.203 酒精中毒性脑病
G31.800 神经系统其他特指的变性疾病
G31.800x004 灰质变性[阿尔珀斯]
G31.800x008 亚急性小脑变性
G31.801 额颞痴呆
G31.802 脊髓变性
G31.803 亚急性坏死性脑病
G31.804 皮质纹状体脊髓变性
G31.805+F02.8* 路易体痴呆
G31.806 婴儿进行性脑灰质营养不良综合征
G31.807 亚速尔病
G31.900 神经系统的变性性疾病
G31.900x003 儿童期脑萎缩
G31.900x004 脊髓小脑变性
G31.900x006 皮质延髓小脑萎缩
G31.900x008 婴儿进行性大脑变性
G31.900x009 中枢神经系统变性
G31.901 大脑变性
G31.902 脑萎缩
G31.903 小脑萎缩
G31.904 小脑变性
G35.x00 多发性硬化
G35.x00x002 脑干多发性硬化
G35.x00x003 脊髓多发性硬化
G35.x01 多发性硬化，复发缓解型
G35.x02 多发性硬化，原发进展型
G35.x03 多发性硬化，继发进展型
G35.x04 多发性硬化，进展复发型
G35.x05 多发性硬化，同心圆型
G35.x06+F02.8* 多发性硬化性痴呆
G36.000 视神经脊髓炎［德维克］
G36.000x002 视神经脊髓炎谱系疾病
G36.100 急性和亚急性出血性白质脑炎［赫斯特］
G36.101 急性出血性白质脑炎
